概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日本化薬(4272)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,148円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,146円",日本化薬,2017/03/27,14:08,買い予想,twitter88さん,-0.95,"1,524.0",-11.38,"2,148",長期(数ヶ月～数年),チャート,,"1,464.0",04月08日,23:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\1.html
"日本化薬(4272)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 1,201円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,191円",日本化薬,2016/07/03,16:45,買い予想,リサ・ランドールさん,137.27,"1,005.0",+129.58,"1,201",長期(数ヶ月～数年),その他,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\10.html
"日本化薬(4272)の買い予想。 miroku さんの売買予想。 目標株価： 1,187円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",日本化薬,2016/06/08,05:51,買い予想,mirokuさん,79.97,"1,054.0",+110.34,"1,187",長期(数ヶ月～数年),個人投資家の予想,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\11.html
"日本化薬(4272)の買い予想。 あんぷ さんの売買予想。 目標株価： 1,201円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",日本化薬,2016/03/14,12:53,買い予想,あんぷさん,-53.4,"1,125.0",+85.43,"1,201",短期(数分～数日),チャート,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\12.html
"日本化薬(4272)の買い予想。 RolyPoly さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,500円",日本化薬,2016/03/11,10:43,買い予想,RolyPolyさん,33.52,"1,202.0",+61.74,"1,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\13.html
日本化薬(4272)の売り予想。 松岡政也 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,日本化薬,2015/11/28,14:32,売り予想,松岡政也さん,-25.38,"1,322.0",-30.75,600,長期(数ヶ月～数年),その他,"【株価分析結果】2015/11/28 01:20
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で妥当圏内と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,366円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。
","1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\14.html
"日本化薬(4272)の売り予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,407円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対",日本化薬,2015/06/11,21:06,売り予想,ファミリア、マクハリさん,148.36,"1,445.0",-3.93,"1,407",短期(数分～数日),個人投資家の予想,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\15.html
"日本化薬(4272)の買い予想。 dover さんの売買予想。 目標株価： 1,975円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",日本化薬,2015/04/11,13:34,買い予想,doverさん,75.34,"1,526.0",-11.73,"1,974",中期(数週間～数ヶ月),チャート,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\16.html
"日本化薬(4272)の買い予想。 ect0926 さんの売買予想。 目標株価： 1,782円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",日本化薬,2015/02/07,13:36,買い予想,ect0926さん,127.49,"1,537.0",-13.69,"1,782",中期(数週間～数ヶ月),その他,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\17.html
"日本化薬(4272)の買い予想。 she*li*g*ord89 さんの売買予想。 目標株価： 2,036円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",日本化薬,2014/07/24,12:50,買い予想,she*li*g*ord89さん,-5.86,"1,292.0",+37.63,"2,036",長期(数ヶ月～数年),その他,,"1,464.0",04月08日,23:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4272-日本化薬/2017-04-08-23-26-30/comment\18.html
