概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日本板硝子(5202)の買い予想。 ixtupann さんの売買予想。 目標株価： 1,546円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に反対",日本板硝子,2017/03/02,10:41,買い予想,ixtupannさん,-32.21,865.0,-25.97,"1,546",長期(数ヶ月～数年),チャート,,787.0,04月09日,02:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\1.html
日本板硝子(5202)の売り予想。 kenmagic さんの売買予想。 目標株価： 434円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「売り」に賛成,日本板硝子,2016/10/16,12:22,売り予想,kenmagicさん,57.74,813.0,+8.74,434,長期(数ヶ月～数年),個人投資家の予想,,787.0,04月09日,02:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\10.html
"日本板硝子(5202)の買い予想。 ushi1222jp さんの売買予想。 目標株価： 1,360円 期間： 中期(数週間~数ヶ月) 理由： チャート 板がらす",日本板硝子,2012/11/30,09:17,買い予想,ushi1222jpさん,151.78,910.0,-38.74,"1,360",中期(数週間～数ヶ月),チャート,,787.0,04月09日,03:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\100.html
"日本板硝子(5202)の買い予想。 HAPIKA さんの売買予想。 目標株価： 1,130円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) さらに上方修正",日本板硝子,2012/11/27,23:38,買い予想,HAPIKAさん,317.31,870.0,-27.45,"1,130",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,787.0,04月09日,03:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\101.html
"日本板硝子(5202)の買い予想。 mys**okyo さんの売買予想。 目標株価： 1,120円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",日本板硝子,2012/11/14,19:20,買い予想,mys**okyoさん,333.02,690.0,+39.56,"1,120",中期(数週間～数ヶ月),その他,"【株価分析結果】2012/11/14 01:51
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「96円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",787.0,04月09日,03:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\102.html
"日本板硝子(5202)の買い予想。 ｻﾝﾄﾞﾗ さんの売買予想。 目標株価： 2,300円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日本板硝子,2012/11/14,02:33,買い予想,ｻﾝﾄﾞﾗさん,423.08,680.0,+44.32,"2,300",長期(数ヶ月～数年),その他,,787.0,04月09日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\103.html
日本板硝子(5202)の買い予想。 wes_mongo さんの売買予想。 目標株価： 880円 期間： 中期(数週間~数ヶ月) 理由： チャート 中期で上昇かな,日本板硝子,2012/11/12,11:12,買い予想,wes_mongoさん,-4.72,690.0,+39.56,880,中期(数週間～数ヶ月),チャート,,787.0,04月09日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\104.html
"日本板硝子(5202)の買い予想。 サブカツ さんの売買予想。 目標株価： 1,090円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日本板硝子,2012/11/07,04:54,買い予想,サブカツさん,315.88,740.0,+17.67,"1,090",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2012/11/07 01:55
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「100円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。",787.0,04月09日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\105.html
"日本板硝子(5202)の買い予想。 korokorokoro さんの売買予想。 目標株価： 1,320円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「売り」に反対",日本板硝子,2012/10/19,00:22,買い予想,korokorokoroさん,-94.69,640.0,+64.86,"1,320",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),上がると思います。,787.0,04月09日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\106.html
日本板硝子(5202)の買い予想。 thankyou84 さんの売買予想。 目標株価： 630円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,日本板硝子,2012/10/09,11:24,買い予想,thankyou84さん,331.95,620.0,+76.13,630,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,787.0,04月09日,03:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5202-日本板硝子/2017-04-09-02-59-30/comment\107.html
