0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
日本水産(1332)の買い予想。 twitter88 さんの売買予想。 目標株価： 740円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価740円,日本水産,2017/03/27,13:08,買い予想,twitter88さん,-0.95,570.0,-22.44,740,長期(数ヶ月～数年),チャート,,526.0,04月08日,16:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\1.html
日本水産(1332)の買い予想。 ホシノ・ルリ さんの売買予想。 目標株価： 573円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価573円,日本水産,2017/01/30,19:08,買い予想,ホシノ・ルリさん,27.02,559.0,-17.29,573,短期(数分～数日),個人投資家の予想,,526.0,04月08日,16:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\10.html
日本水産(1332)の買い予想。 唐変黙 さんの売買予想。 目標株価： 267円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成,日本水産,2011/11/02,13:16,買い予想,唐変黙さん,421.41,256.0,+298.80,267,長期(数ヶ月～数年),その他,"【株価分析結果】2011/11/02 01:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「267円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",526.0,04月08日,16:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\100.html
日本水産(1332)の買い予想。 kawasan さんの売買予想。 目標株価： 311円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,日本水産,2011/08/29,20:56,買い予想,kawasanさん,63.41,284.0,+241.30,311,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,526.0,04月08日,16:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\101.html
日本水産(1332)の買い予想。 fuyodoru さんの売買予想。 目標株価： 305円 期間： 中期(数週間~数ヶ月) 理由： チャート かい,日本水産,2011/08/17,19:08,買い予想,fuyodoruさん,255.61,277.0,+254.58,305,中期(数週間～数ヶ月),チャート,,526.0,04月08日,16:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\102.html
日本水産(1332)の買い予想。 こぶら さんの売買予想。 目標株価： 284円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 黒字らしい,日本水産,2011/06/15,02:37,買い予想,こぶらさん,462.39,262.0,+285.44,284,短期(数分～数日),業績(会社計画の修正発表を含む),,526.0,04月08日,16:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\103.html
日本水産(1332)の買い予想。 good_doog さんの売買予想。 目標株価： 385円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,日本水産,2011/06/13,13:25,買い予想,good_doogさん,605.45,257.0,+296.53,385,中期(数週間～数ヶ月),その他,,526.0,04月08日,16:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\104.html
日本水産(1332)の買い予想。 yoshiaki0326 さんの売買予想。 目標株価： 290円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,日本水産,2011/05/07,11:25,買い予想,yoshiaki0326さん,221.57,235.0,+701.82,290,中期(数週間～数ヶ月),その他,完全出遅れ株。海上の汚染物の可能性で、買いが進まなかったが、急騰の気配が出てきた。220円から辛抱して5000株持っていたが、いよいよ買いが進む感じに。,526.0,04月08日,17:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\105.html
日本水産(1332)の買い予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： チャート ＫＡＩ,日本水産,2011/04/14,12:39,買い予想,これかわぎんぞう2世さん,-377.96,223.0,+385.09,350,中期(数週間～数ヶ月),チャート,,526.0,04月08日,17:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\106.html
日本水産(1332)の売り予想。 flum388859 さんの売買予想。 目標株価： 213円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に賛成,日本水産,2011/03/23,15:50,売り予想,flum388859さん,43.62,237.0,-347.95,213,中期(数週間～数ヶ月),その他,,526.0,04月08日,17:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1332-日本水産/2017-04-08-16-56-23/comment\107.html
