概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日本ガイシ(5333)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 2,350円 期間： 短期(数分~数日) 理由： チャート ･･･下げそう☆",日本碍子,2017/04/07,12:51,売り予想,ひとみん｡｡☆さん,0.86,"2,415.0",-0.35,"2,350",短期(数分～数日),チャート,,"2,417.0",04月09日,03:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\1.html
"日本ガイシ(5333)の買い予想。 まいパパ さんの売買予想。 目標株価： 2,573円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",日本碍子,2016/12/07,22:38,買い予想,まいパパさん,3.9,"2,389.0",+3.21,"2,572",中期(数週間～数ヶ月),個人投資家の予想,,"2,417.0",04月09日,03:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\10.html
"日本ガイシ(5333)の買い予想。 ｾﾙｼﾞ さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",日本碍子,2010/10/11,14:05,買い予想,ｾﾙｼﾞさん,210.1,"1,482.0",+179.21,"1,800",中期(数週間～数ヶ月),チャート,買い,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\100.html
"日本ガイシ(5333)の買い予想。 へんなじじい さんの売買予想。 目標株価： 1,444円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日本碍子,2010/08/23,19:32,買い予想,へんなじじいさん,-256.48,"1,280.0",+252.36,"1,444",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/21 03:17
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,444円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\101.html
"日本ガイシ(5333)の買い予想。 deepst さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) これから",日本碍子,2010/07/09,13:09,買い予想,deepstさん,193.93,"1,425.0",+197.75,"1,600",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\102.html
"日本ガイシ(5333)の買い予想。 takahi さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",日本碍子,2010/06/27,22:18,買い予想,takahiさん,185.57,"1,468.0",+183.63,"1,800",中期(数週間～数ヶ月),その他,,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\103.html
日本ガイシ(5333)の買い予想。 rei5032000 さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,日本碍子,2010/06/17,23:21,買い予想,rei5032000さん,279.61,"1,595.0",+146.36,--,中期(数週間～数ヶ月),チャート,,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\104.html
"日本ガイシ(5333)の売り予想。 lt1*9*63 さんの売買予想。 目標株価： 1,450円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に賛成",日本碍子,2010/05/26,23:24,売り予想,lt1*9*63さん,149.87,"1,553.0",-158.38,"1,450",中期(数週間～数ヶ月),配当(株主優待を含む),,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\105.html
"日本ガイシ(5333)の買い予想。 naomo さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",日本碍子,2010/05/12,15:01,買い予想,naomoさん,248.08,"1,830.0",+91.05,"2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\106.html
"日本ガイシ(5333)の買い予想。 まっき１ さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： チャート かい",日本碍子,2010/04/29,23:06,買い予想,まっき１さん,516.28,"1,865.0",+84.01,"2,500",中期(数週間～数ヶ月),チャート,,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\107.html
"日本ガイシ(5333)の買い予想。 ひちゃ さんの売買予想。 目標株価： 2,100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ｽﾏｸﾞﾘ",日本碍子,2010/04/27,14:49,買い予想,ひちゃさん,296.3,"1,850.0",+86.99,"2,100",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),あがって！,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\108.html
"日本ガイシ,5333,NGKINSULATORS,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日本碍子,2010/04/20,01:09,買い予想,レイリーさん,341.47,"1,800.0",+97.31,--,短期(数分～数日),,,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\109.html
"日本ガイシ(5333)の買い予想。 musashiXP さんの売買予想。 目標株価： 2,695円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",日本碍子,2016/11/15,12:55,買い予想,musashiXPさん,4.55,"2,047.0",+51.25,"2,695",中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/11/15 03:03
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,695円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,417.0",04月09日,03:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\11.html
日本ガイシ(5333)の買い予想。 とらくま さんの売買予想。 目標株価： 0円 理由： その他 かう,日本碍子,2010/04/13,00:38,買い予想,とらくまさん,595.06,"1,843.0",+88.40,--,,その他,,"2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\110.html
"日本ガイシ(5333)の買い予想。 さくらchan さんの売買予想。 目標株価： 2,000円 理由： 配当(株主優待を含む) 株価診断結果「割高」に反対",日本碍子,2010/04/10,12:52,買い予想,さくらchanさん,347.68,"1,870.0",+83.02,"2,000",,配当(株主優待を含む),"【株価分析結果】2010/04/10 03:17
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,699円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,417.0",04月09日,03:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5333-日本碍子/2017-04-09-03-37-15/comment\111.html
