0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日本精工(6471)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,869円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,867円",日本精工,2017/03/27,14:40,買い予想,twitter88さん,-0.95,"1,600.0",-20.43,"2,869",長期(数ヶ月～数年),チャート,,"1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\1.html
"日本精工(6471)の買い予想。 musashiXP さんの売買予想。 目標株価： 1,572円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",日本精工,2016/11/10,12:43,買い予想,musashiXPさん,4.55,"1,129.0",+89.66,"1,571",中期(数週間～数ヶ月),個人投資家の予想,,"1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\10.html
"日本精工(6471)の買い予想。 平塚のねこちゃゎん さんの売買予想。 目標株価： 1,706円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成",日本精工,2016/08/02,21:57,買い予想,平塚のねこちゃゎんさん,28.34,895.0,+187.45,"1,706",長期(数ヶ月～数年),その他,"【株価分析結果】2016/08/02 03:31　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,556円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\11.html
"日本精工(6471)の買い予想。 kiku0514 さんの売買予想。 目標株価： 1,454円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 買い予想 長期 目標株価1,447円",日本精工,2016/07/21,17:14,買い予想,kiku0514さん,65.67,875.0,+198.23,"1,454",長期(数ヶ月～数年),配当(株主優待を含む),,"1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\12.html
日本精工(6471)の買い予想。 t-oku さんの売買予想。 目標株価： 967円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,日本精工,2016/07/11,15:42,買い予想,t-okuさん,47.03,773.0,+261.92,967,中期(数週間～数ヶ月),個人投資家の予想,,"1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\13.html
"日本精工(6471)の買い予想。 ma-cyann さんの売買予想。 目標株価： 1,059円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い",日本精工,2016/07/07,08:57,買い予想,ma-cyannさん,8.04,700.0,+318.88,"1,059",中期(数週間～数ヶ月),個人投資家の予想,,"1,486.0",04月09日,14:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\14.html
"日本精工(6471)の買い予想。 パトちゃんのパパ さんの売買予想。 目標株価： 1,001円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",日本精工,2016/06/29,04:44,買い予想,パトちゃんのパパさん,-33.6,741.0,+285.51,"1,001",短期(数分～数日),配当(株主優待を含む),,"1,486.0",04月09日,14:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\15.html
"日本精工(6471)の買い予想。 富士山五合目 さんの売買予想。 目標株価： 1,234円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 新幹線",日本精工,2016/06/11,12:16,買い予想,富士山五合目さん,54.66,848.0,+213.60,"1,234",中期(数週間～数ヶ月),個人投資家の予想,,"1,486.0",04月09日,14:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\16.html
"日本精工(6471)の買い予想。 夢想人 さんの売買予想。 目標株価： 1,574円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割安」に賛成",日本精工,2016/06/08,22:32,買い予想,夢想人さん,37.1,893.0,+188.51,"1,574",長期(数ヶ月～数年),チャート,"【株価分析結果】2016/06/08 03:22
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,574円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,486.0",04月09日,14:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\17.html
"日本精工(6471)の買い予想。 極楽浄土ケ浜 さんの売買予想。 目標株価： 1,156円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日本精工,2016/06/08,12:11,買い予想,極楽浄土ケ浜さん,310.87,907.0,+181.21,"1,156",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,486.0",04月09日,14:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6471-日本精工/2017-04-09-14-00-18/comment\18.html
