0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日本製紙(3863)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,958円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 65.3pdd",日本製紙,2017/02/26,18:13,売り予想,７本ＤＭさん,0.86,"2,045.0",+6.11,"1,957",中期(数週間～数ヶ月),個人投資家の予想,,"2,000.0",04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\1.html
"日本製紙(3863)の買い予想。 piron-@ さんの売買予想。 目標株価： 1,842円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対",日本製紙,2016/02/11,23:56,買い予想,piron-@さん,30.0,"1,813.0",+29.17,"1,842",短期(数分～数日),チャート,,"2,000.0",04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\10.html
"日本製紙(3863)の買い予想。 zinshirou さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日本製紙,2016/01/27,23:37,買い予想,zinshirouさん,31.98,"1,889.0",+16.55,"4,000",長期(数ヶ月～数年),その他,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\11.html
"日本製紙(3863)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",日本製紙,2015/11/26,20:27,売り予想,松岡政也さん,-25.38,"2,020.0",+2.67,"1,000",長期(数ヶ月～数年),その他,"【株価分析結果】2015/11/26 01:18
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,192円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\12.html
"日本製紙(3863)の買い予想。 NeoTimeWalk さんの売買予想。 目標株価： 2,366円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「売り」に反対",日本製紙,2015/10/18,22:43,買い予想,NeoTimeWalkさん,-72.01,"2,124.0",-16.73,"2,366",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\13.html
"日本製紙(3863)の買い予想。 あおい522 さんの売買予想。 目標株価： 2,099円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対",日本製紙,2015/09/07,16:20,買い予想,あおい522さん,0.25,"1,954.0",+6.54,"2,099",短期(数分～数日),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\14.html
"日本製紙(3863)の買い予想。 生涯現役 さんの売買予想。 目標株価： 2,010円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価2,010円",日本製紙,2015/08/25,20:40,買い予想,生涯現役さん,79.35,"2,002.0",-0.42,"2,010",中期(数週間～数ヶ月),個人投資家の予想,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\15.html
"日本製紙(3863)の買い予想。 kuralis さんの売買予想。 目標株価： 2,511円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価2,509円",日本製紙,2015/08/20,02:34,買い予想,kuralisさん,-6.87,"2,200.0",-25.98,"2,511",中期(数週間～数ヶ月),その他,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\16.html
"日本製紙(3863)の買い予想。 si-- さんの売買予想。 目標株価： 2,249円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価2,249円",日本製紙,2015/07/01,01:35,買い予想,si--さん,-63.35,"2,158.0",-20.95,"2,249",短期(数分～数日),チャート,"まずは前回の高値を目標に
選んだ理由はMACD見ただけ","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\17.html
"日本製紙(3863)の買い予想。 tosaka2734 さんの売買予想。 目標株価： 2,392円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に反対",日本製紙,2015/06/01,07:20,買い予想,tosaka2734さん,-14.98,"2,192.0",-25.03,"2,392",短期(数分～数日),配当(株主優待を含む),,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\18.html
"日本製紙(3863)の買い予想。 kinbeni さんの売買予想。 目標株価： 2,919円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",日本製紙,2015/05/29,21:15,買い予想,kinbeniさん,19.98,"2,192.0",-25.03,"2,919",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/05/29 01:18　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で妥当圏内と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,720円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\19.html
"日本製紙(3863)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 2,931円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価2,931円",日本製紙,2017/02/26,14:49,買い予想,Newジェントルマンさん,-5.41,"2,045.0",-6.39,"2,931",中期(数週間～数ヶ月),その他,,"2,000.0",04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\2.html
"日本製紙(3863)の買い予想。 mg733 さんの売買予想。 目標株価： 2,070円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対",日本製紙,2015/05/23,13:36,買い予想,mg733さん,8.07,"2,098.0",-13.41,"2,070",長期(数ヶ月～数年),その他,"【株価分析結果】2015/05/23 01:18　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,720円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\20.html
"日本製紙(3863)の買い予想。 catz さんの売買予想。 目標株価： 4,067円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",日本製紙,2015/04/06,17:11,買い予想,catzさん,182.23,"1,828.0",+26.60,"4,067",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\21.html
"日本製紙(3863)の買い予想。 moko♡ さんの売買予想。 目標株価： 1,565円 期間： 中期(数週間~数ヶ月) 理由： その他 買い♡",日本製紙,2014/10/16,12:48,買い予想,moko♡さん,338.94,"1,516.0",+90.59,"1,564",中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ ","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\22.html
"日本製紙(3863)の買い予想。 ねとちゃん さんの売買予想。 目標株価： 2,106円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",日本製紙,2014/09/01,09:40,買い予想,ねとちゃんさん,10.59,"1,681.0",+53.79,"2,106",中期(数週間～数ヶ月),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\23.html
"日本製紙(3863)の買い予想。 さすらいのトレーダー さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) バイオマス発電事業化",日本製紙,2014/06/26,22:04,買い予想,さすらいのトレーダーさん,140.41,"1,914.0",+12.62,"3,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"日本製紙は、日本国内に400カ所、約9万ヘクタールの社有林を保有しています。そのうちの2割にあたる約18,000ヘクタールを九州地区に保有し、その多くは宮崎県、熊本県、鹿児島県の南九州に集中しています。それらの森林経営をはじめとする山林事業のノウハウ、安定した品質のチップを生産する技術とともに、製紙工場における自家発電設備の運営技術を生かして、「総合バイオマス企業」として木質バイオマス発電に取り組んでいきます。","2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\24.html
"日本製紙(3863)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 1,821円 期間： 中期(数週間~数ヶ月) 理由： チャート 短期売られ過ぎ",日本製紙,2014/01/28,20:49,買い予想,37 　 工事中 !さん,57.65,"1,770.0",+36.79,"1,821",中期(数週間～数ヶ月),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\25.html
"日本製紙(3863)の買い予想。 みっちゃん55 さんの売買予想。 目標株価： 2,686円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",日本製紙,2014/01/26,21:48,買い予想,みっちゃん55さん,57.95,"1,742.0",+41.95,"2,686",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\26.html
"日本製紙(3863)の買い予想。 shogotaro さんの売買予想。 目標株価： 1,981円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",日本製紙,2014/01/16,13:20,買い予想,shogotaroさん,55.87,"1,885.0",+17.19,"1,981",中期(数週間～数ヶ月),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\27.html
"日本製紙(3863)の買い予想。 短期決戦 さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： その他 k",日本製紙,2014/01/12,10:45,買い予想,短期決戦さん,131.46,"1,922.0",+11.39,"2,500",長期(数ヶ月～数年),その他,k,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\28.html
"日本製紙(3863)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 1,990円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",日本製紙,2013/12/06,17:25,買い予想,地球猛獣群さん,72.7,"1,972.0",+3.89,"1,990",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\29.html
"日本製紙(3863)の買い予想。 dover さんの売買予想。 目標株価： 2,208円 期間： 中期(数週間~数ヶ月) 理由： その他 ..",日本製紙,2017/02/21,11:48,買い予想,doverさん,75.34,"2,106.0",-14.44,"2,208",中期(数週間～数ヶ月),その他,,"2,000.0",04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\3.html
"日本製紙(3863)の売り予想。 WERD さんの売買予想。 目標株価： 1,774円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",日本製紙,2013/12/04,01:52,売り予想,WERDさん,-109.54,"1,934.0",-9.85,"1,774",中期(数週間～数ヶ月),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\30.html
"日本製紙(3863)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 1,604円 期間： 短期(数分~数日) 理由： チャート １０月い－①",日本製紙,2013/10/07,06:50,買い予想,☆プリ☆彡さん,426.89,"1,453.0",+106.85,"1,604",短期(数分～数日),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\31.html
"日本製紙(3863)の買い予想。 素人爺さん さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： チャート 底入りか？",日本製紙,2013/06/21,16:31,買い予想,素人爺さんさん,385.31,"1,410.0",+118.78,"1,500",中期(数週間～数ヶ月),チャート,,"2,000.0",04月08日,22:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\32.html
"日本製紙(3863)の買い予想。 t-oku さんの売買予想。 目標株価： 1,788円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",日本製紙,2013/06/20,17:59,買い予想,t-okuさん,47.03,"1,318.0",+146.92,"1,788",中期(数週間～数ヶ月),その他,買い,"2,000.0",04月08日,22:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\33.html
"日本製紙(3863)の買い予想。 ひろおやじ さんの売買予想。 目標株価： 1,326円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に反対",日本製紙,2013/04/06,08:41,買い予想,ひろおやじさん,163.3,"1,236.0",+175.53,"1,326",中期(数週間～数ヶ月),配当(株主優待を含む),,"2,000.0",04月08日,22:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\35.html
"日本製紙(3863)の買い予想。 むかちゃん さんの売買予想。 目標株価： 1,206円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) k",日本製紙,2013/04/05,19:22,買い予想,むかちゃんさん,505.28,"1,236.0",+175.53,"1,206",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,000.0",04月08日,22:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\36.html
日本製紙(3863)の売り予想。 松猿 さんの売買予想。 目標株価： 844円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 祝儀は終わった,日本製紙,2013/04/05,18:47,売り予想,松猿さん,-119.66,"1,236.0",-175.99,844,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"2,000.0",04月08日,22:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3863-日本製紙/2017-04-08-22-20-27/comment\37.html
