0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
日本通運(9062)の買い予想。 レクサス さんの売買予想。 目標株価： 695円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価695円,日本通運,2017/04/09,13:05,買い予想,レクサスさん,154.68,573.0,-0.49,695,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,572.0,04月10日,11:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\1.html
日本通運(9062)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 434円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し,日本通運,2016/06/26,16:45,買い予想,37 　 工事中 !さん,57.65,430.0,+93.90,434,長期(数ヶ月～数年),その他,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\10.html
日本通運(9062)の買い予想。 ニャニャ丸 さんの売買予想。 目標株価： 570円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想,日本通運,2016/06/22,01:08,買い予想,ニャニャ丸さん,50.51,463.0,+66.94,570,中期(数週間～数ヶ月),チャート,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\11.html
日本通運(9062)の売り予想。 松岡政也 さんの売買予想。 目標株価： 274円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,日本通運,2015/12/19,15:34,売り予想,松岡政也さん,-25.38,546.0,-14.58,273,長期(数ヶ月～数年),その他,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\12.html
日本通運(9062)の買い予想。 いまゆう さんの売買予想。 目標株価： 790円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,日本通運,2015/11/23,17:52,買い予想,いまゆうさん,-2.47,575.0,-1.48,790,中期(数週間～数ヶ月),その他,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\13.html
日本通運(9062)の買い予想。 pinksapphire さんの売買予想。 目標株価： 632円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,日本通運,2015/10/10,19:39,買い予想,pinksapphireさん,40.24,598.0,-12.36,632,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/10 01:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「632円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

",572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\14.html
日本通運(9062)の売り予想。 鯖味噌煮 さんの売買予想。 目標株価： 555円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価551円,日本通運,2015/09/18,19:58,売り予想,鯖味噌煮さん,-13.4,581.0,+3.42,555,中期(数週間～数ヶ月),チャート,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\15.html
日本通運(9062)の買い予想。 あおい522 さんの売買予想。 目標株価： 649円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成,日本通運,2015/09/07,16:22,買い予想,あおい522さん,0.25,574.0,-0.99,649,短期(数分～数日),チャート,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\16.html
日本通運(9062)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 359円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,日本通運,2015/09/07,06:27,売り予想,チャーティスト3さん,-33.49,565.0,-4.52,359,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/09/05 01:56　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「543円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\17.html
日本通運(9062)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 750円 期間： 長期(数ヶ月～数年) 理由： その他 買い,日本通運,2015/06/05,00:45,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,668.0,-40.86,750,長期(数ヶ月～数年),その他,,572.0,04月10日,11:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9062-日本通運/2017-04-10-11-12-27/comment\18.html
