概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日本電信電話(9432)の買い予想。 rEgAIn さんの売買予想。 目標株価： 5,906円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想",日本電信電話,2017/03/27,21:39,買い予想,rEgAInさん,23.94,"4,949.0",-2.81,"5,906",長期(数ヶ月～数年),その他,,"4,901.0",04月10日,12:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\1.html
"日本電信電話(9432)の買い予想。 オサオサ さんの売買予想。 目標株価： 5,363円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日本電信電話,2016/12/13,22:11,買い予想,オサオサさん,1.86,"4,867.0",+1.92,"5,362",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,901.0",04月10日,12:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\10.html
"日本電信電話(9432)の買い予想。 ken*1*3126* さんの売買予想。 目標株価： 1,840円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対",日本電信電話,2012/09/19,02:19,買い予想,ken*1*3126*さん,399.21,"1,817.5",+482.27,"1,840",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/09/15 02:49
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。加えて、この銘柄の株価は妥当圏内ながら、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には買い圧力が強まる可能性があります。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも低い為、相対比較の観点からは割高と判断されます。
","4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\100.html
"日本電信電話(9432)の買い予想。 アジア さんの売買予想。 目標株価： 1,880円 期間： 中期(数週間~数ヶ月) 理由： その他 k",日本電信電話,2012/09/14,23:26,買い予想,アジアさん,609.13,"1,817.5",+482.27,"1,879",中期(数週間～数ヶ月),その他,,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\101.html
"日本電信電話(9432)の買い予想。 motarba さんの売買予想。 目標株価： 2,107円 期間： 中期(数週間~数ヶ月) 理由： その他 出来高上昇、強いチャート形状",日本電信電話,2012/08/15,19:03,買い予想,motarbaさん,456.3,"1,920.0",+882.70,"2,106",中期(数週間～数ヶ月),その他,,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\102.html
"日本電信電話(9432)の買い予想。 arama- さんの売買予想。 目標株価： 2,171円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",日本電信電話,2012/06/14,07:35,買い予想,arama-さん,177.73,"1,670.0",+549.99,"2,171",中期(数週間～数ヶ月),その他,チャンス到来,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\103.html
"日本電信電話(9432)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対",日本電信電話,2012/06/09,02:19,買い予想,ohｔyoch05さん,282.58,"1,662.5",+553.75,"2,000",長期(数ヶ月～数年),その他,,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\104.html
"日本電信電話(9432)の買い予想。 moko♡ さんの売買予想。 目標株価： 1,730円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡",日本電信電話,2012/06/07,09:59,買い予想,moko♡さん,338.94,"1,647.5",+561.38,"1,729",中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
","4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\105.html
"日本電信電話(9432)の買い予想。 当屋 さんの売買予想。 目標株価： 1,735円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",日本電信電話,2012/06/06,23:23,買い予想,当屋さん,379.22,"1,652.5",+558.82,"1,735",中期(数週間～数ヶ月),その他,,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\106.html
"日本電信電話(9432)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 1,697円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対",日本電信電話,2012/06/05,18:24,買い予想,【ランキング１位】神様【５冠王】さん,591.12,"1,647.5",+561.38,"1,696",長期(数ヶ月～数年),その他,,"4,901.0",04月10日,12:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9432-日本電信電話/2017-04-10-12-22-47/comment\107.html
