0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ＮＥＣ(6701)の買い予想。 Hamamura Hideaki さんの売買予想。 目標株価： 325円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,日本電気,2017/04/09,09:37,買い予想,Hamamura Hideakiさん,対象外,成り行き ,,325,中期(数週間～数ヶ月),個人投資家の予想,,264.0,04月09日,16:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\1.html
ＮＥＣ(6701)の買い予想。 みわっち さんの売買予想。 目標株価： 422円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,日本電気,2017/02/26,01:45,買い予想,みわっちさん,4.17,282.0,-19.15,421,中期(数週間～数ヶ月),個人投資家の予想,,264.0,04月09日,16:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\10.html
ＮＥＣ(6701)の買い予想。 kazzn43 さんの売買予想。 目標株価： 448円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 消費税変更含め景気が向上するとIT投資が活発となる,日本電気,2014/02/02,17:44,買い予想,kazzn43さん,-39.97,296.0,-31.70,448,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,264.0,04月09日,16:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\100.html
ＮＥＣ(6701)の買い予想。 hir*m*tu877* さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 350円目標,日本電気,2014/02/01,11:56,買い予想,hir*m*tu877*さん,97.88,296.0,-31.70,350,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),当面は350円目標その後は400円もある。,264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\101.html
ＮＥＣ(6701)の買い予想。 mmasatak さんの売買予想。 目標株価： 371円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,日本電気,2014/01/23,15:10,買い予想,mmasatakさん,-20.95,285.0,-21.95,371,短期(数分～数日),業績(会社計画の修正発表を含む),従来からが評価低すぎ、株価が安すぎる。ここに来てようやく注目されてきた感あり。,264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\102.html
ＮＥＣ(6701)の買い予想。 ワッキー2号 さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,日本電気,2014/01/16,12:15,買い予想,ワッキー2号さん,7.06,284.0,-21.02,450,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/01/16 02:02
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「459円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\103.html
ＮＥＣ(6701)の買い予想。 ect0926 さんの売買予想。 目標株価： 483円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,日本電気,2014/01/10,11:12,買い予想,ect0926さん,127.49,264.0,-1.07,483,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/01/10 01:53
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「483円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\104.html
ＮＥＣ(6701)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 231円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。,日本電気,2013/12/06,16:53,買い予想,地球猛獣群さん,72.7,227.0,+45.09,231,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\105.html
ＮＥＣ(6701)の買い予想。 あきばえ さんの売買予想。 目標株価： 237円 期間： 中期(数週間~数ヶ月) 理由： その他 まだ上がる,日本電気,2013/11/18,11:53,買い予想,あきばえさん,-44.88,228.0,+43.65,237,中期(数週間～数ヶ月),その他,,264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\106.html
ＮＥＣ(6701)の買い予想。 リチウム さんの売買予想。 目標株価： 277円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,日本電気,2013/11/09,18:50,買い予想,リチウムさん,285.04,215.0,+63.48,277,長期(数ヶ月～数年),その他,,264.0,04月09日,16:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6701-日本電気/2017-04-09-16-24-12/comment\107.html
