概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
日本電気硝子(5214)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 550円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,日本電気硝子,2017/03/31,08:56,売り予想,ひとみん｡｡☆さん,0.86,684.0,+14.96,550,中期(数週間～数ヶ月),チャート,,647.0,04月09日,03:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\1.html
日本電気硝子(5214)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 370円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,日本電気硝子,2016/10/15,15:06,売り予想,エグゼクティブ・まっちさん,-14.13,530.0,-63.31,369,長期(数ヶ月～数年),チャート,,647.0,04月09日,03:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\10.html
日本電気硝子(5214)の買い予想。 レイリー さんの売買予想。 期間： 短期(数分~数日) aaaaaaa,日本電気硝子,2009/12/11,23:08,買い予想,レイリーさん,341.47,"1,140.0",-123.22,--,短期(数分～数日),,,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\100.html
"日本電気硝子(5214)の買い予想。 ﾏｻﾌﾟﾝ さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) kai",日本電気硝子,2009/11/06,11:27,買い予想,ﾏｻﾌﾟﾝさん,243.7,"1,000.0",-100.66,"1,100",中期(数週間～数ヶ月),,,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\101.html
日本電気硝子(5214)の買い予想。 aoi5 さんの売買予想。 目標株価： 0円 期間： 長期(数ヶ月～数年) 買い,日本電気硝子,2009/10/27,06:49,買い予想,aoi5さん,333.94,995.0,-99.74,--,長期(数ヶ月～数年),,,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\102.html
日本電気硝子(5214)の売り予想。 空飛ぶ モンティ・パイ さんの売買予想。 100年に一度の大不況が,日本電気硝子,2009/10/13,12:35,売り予想,空飛ぶ モンティ・パイさん,-418.66,967.0,+93.80,--,,,今年もキますから！！,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\103.html
"日本電気硝子,5214,NipponElectricGlass,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日本電気硝子,2009/09/28,23:04,売り予想,kabusureさん,150.34,841.0,+65.25,--,,,　,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\104.html
"日本電気硝子(5214)の買い予想。 桜吹雪@ さんの売買予想。 目標株価： 1,175円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",日本電気硝子,2009/09/16,23:21,買い予想,桜吹雪@さん,189.75,950.0,-90.99,"1,175",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\105.html
"日本電気硝子(5214)の買い予想。 奈破翁 さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 中国国内の液晶ﾃﾚﾋﾞ特需で､株価上昇期待｡",日本電気硝子,2009/09/12,22:51,買い予想,奈破翁さん,27.37,939.0,-88.73,"2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),中国沿岸都市部の経済発展により､内需拡大が予想される｡液晶ﾃﾚﾋﾞ特需などでｶﾞﾗｽ基板の需要が回復傾向にあるため､収益面のﾒﾘｯﾄが､日本電気硝子の株価上昇に貢献すると思います｡中長期で保有します｡以上,647.0,04月09日,03:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\106.html
"日本電気硝子(5214)の買い予想。 wir*s*jp さんの売買予想。 目標株価： 1,120円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日本電気硝子,2009/09/02,11:59,買い予想,wir*s*jpさん,261.19,964.0,-93.80,"1,120",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),会社の経営は悪くない！問題は円高のみ！！,647.0,04月09日,03:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5214-日本電気硝子/2017-04-09-03-10-11/comment\107.html
