概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日東電工(6988)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 8,000円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆",日東電工,2017/04/06,18:51,売り予想,ひとみん｡｡☆さん,0.86,"8,350.0",+1.36,"8,000",中期(数週間～数ヶ月),チャート,,"8,309.0",04月09日,19:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\1.html
"日東電工(6988)の買い予想。 胃が・・・ さんの売買予想。 目標株価： 7,343円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日東電工,2016/03/11,22:35,買い予想,胃が・・・さん,29.56,"7,000.0",+53.13,"7,343",短期(数分～数日),業績(会社計画の修正発表を含む),,"8,309.0",04月09日,19:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\10.html
"日東電工(6988)の買い予想。 SPINEL さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",日東電工,2012/07/17,12:45,買い予想,SPINELさん,217.77,"3,415.0",+407.43,"4,000",中期(数週間～数ヶ月),その他,,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\100.html
"日東電工(6988)の買い予想。 ナイアガラー さんの売買予想。 目標株価： 5,332円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",日東電工,2012/07/06,10:00,買い予想,ナイアガラーさん,329.53,"3,555.0",+380.18,"5,332",中期(数週間～数ヶ月),その他,,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\101.html
"日東電工(6988)の買い予想。 mikey さんの売買予想。 目標株価： 6,170円 期間： 長期(数ヶ月～数年) 理由： チャート かい",日東電工,2012/05/18,14:17,買い予想,mikeyさん,-284.8,"3,080.0",+482.67,"6,170",長期(数ヶ月～数年),チャート,,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\102.html
"日東電工(6988)の買い予想。 batan さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日東電工,2012/05/06,01:29,買い予想,batanさん,234.38,"3,370.0",+416.66,"5,000",長期(数ヶ月～数年),その他,,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\103.html
"日東電工(6988)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",日東電工,2012/05/04,01:37,買い予想,ohｔyoch05さん,282.58,"3,370.0",+416.66,"4,000",中期(数週間～数ヶ月),その他,"ROE 11.53  ROA 7.67 
好財務
融資残上昇・需給改善、取組倍率2.66 

業績復調・13.3増収増益（計画）
PER 12.02   PBR 1.39   
予想配当利回り 2.89   ","8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\104.html
"日東電工(6988)の売り予想。 ふじやまおにぎり さんの売買予想。 目標株価： 3,201円 期間： 中期(数週間~数ヶ月) 理由： チャート うり",日東電工,2012/04/26,07:53,売り予想,ふじやまおにぎりさん,291.24,"3,390.0",-412.69,"3,201",中期(数週間～数ヶ月),チャート,,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\105.html
"日東電工(6988)の買い予想。 UMAHIRO さんの売買予想。 目標株価： 3,500円 期間： 短期(数分~数日) 理由： チャート 再度ﾄﾗｲ",日東電工,2012/04/24,22:42,買い予想,UMAHIROさん,398.26,"3,470.0",+396.46,"3,500",短期(数分～数日),チャート,頭は抑えられてるかもしれませんが､突き抜ける力も持っているはず｡そちらに賭けたいです｡,"8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\106.html
"日東電工(6988)の売り予想。 ブレイク さんの売買予想。 目標株価： 3,087円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",日東電工,2012/04/19,14:06,売り予想,ブレイクさん,-179.41,"3,445.0",-401.57,"3,087",中期(数週間～数ヶ月),チャート,"３５００円くらいに上値抵抗線があると思われる。
また、２８００円くらいに下値支持線があると思われる。
したがって、今後指示線に向かって戻されるのでは？","8,309.0",04月09日,19:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6988-日東電工/2017-04-09-19-51-45/comment\107.html
