概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日清製粉グループ本社(2002)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,660円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 91.2pss",日清製粉グループ本社,2017/03/19,08:43,売り予想,７本ＤＭさん,0.86,"1,739.0",+11.44,"1,659",中期(数週間～数ヶ月),個人投資家の予想,,"1,668.0",04月08日,18:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\1.html
"日清製粉グループ本社(2002)の買い予想。 eijua さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) オリエンタル酵母 業績期待",日清製粉グループ本社,2015/11/28,21:12,買い予想,eijuaさん,-39.39,"1,958.0",-42.26,"2,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\10.html
"日清製粉グループ本社(2002)の売り予想。 としよりのひあみず さんの売買予想。 目標株価： 1,628円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 売り予想 短期 目標株価1,628円",日清製粉グループ本社,2015/11/10,14:51,売り予想,としよりのひあみずさん,-1.51,"1,885.0",+32.58,"1,628",短期(数分～数日),配当(株主優待を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\11.html
日清製粉グループ本社(2002)の売り予想。 松岡政也 さんの売買予想。 目標株価： 900円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,日清製粉グループ本社,2015/11/01,00:46,売り予想,松岡政也さん,-25.38,"1,818.0",+23.30,900,長期(数ヶ月～数年),その他,,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\12.html
日清製粉グループ本社(2002)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 811円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,日清製粉グループ本社,2015/09/07,06:11,売り予想,チャーティスト3さん,-33.49,"1,559.0",-20.06,811,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2015/09/05 01:07　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,348円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\13.html
"日清製粉グループ本社(2002)の買い予想。 カブコロッケ さんの売買予想。 目標株価： 1,796円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,785円",日清製粉グループ本社,2015/06/25,21:08,買い予想,カブコロッケさん,-21.16,"1,641.0",+4.50,"1,796",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\14.html
"日清製粉グループ本社(2002)の買い予想。 xo_*ir*kuma**x さんの売買予想。 目標株価： 3,953円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成",日清製粉グループ本社,2015/05/07,21:35,買い予想,xo_*ir*kuma**xさん,40.09,"1,373.0",+60.88,"3,953",長期(数ヶ月～数年),その他,"【株価分析結果】2015/05/02 01:06　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,401円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\15.html
"日清製粉グループ本社(2002)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,500円",日清製粉グループ本社,2015/05/02,13:42,買い予想,coopee06さん,76.41,"1,390.0",+56.66,"1,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\16.html
"日清製粉グループ本社(2002)の買い予想。 稼ぎ屋 さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 買い予想 中期 目標株価1,800円 ",日清製粉グループ本社,2015/02/04,20:06,買い予想,稼ぎ屋さん,55.4,"1,396.0",+55.20,"1,800",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),NMNがどんなものか、未だ皆さんが承知していないようです。単なる酵母でなく、画期的な、それより人類に取って革命的な商品です。医薬品か健康食品サプリか分かりませんが大化けの匂い。今のうちに密かに仕込む。,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\17.html
"日清製粉グループ本社(2002)の買い予想。 ちえりん さんの売買予想。 目標株価： 2,696円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日清製粉グループ本社,2015/01/27,15:10,買い予想,ちえりんさん,43.53,"1,340.0",+69.39,"2,696",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\18.html
"日清製粉グループ本社(2002)の買い予想。 dover さんの売買予想。 目標株価： 1,835円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",日清製粉グループ本社,2015/01/14,12:29,買い予想,doverさん,75.34,"1,221.0",+103.86,"1,834",長期(数ヶ月～数年),その他,オリエンタル酵母　NMN,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\19.html
"日清製粉グループ本社(2002)の買い予想。 masahira さんの売買予想。 目標株価： 2,200円 期間： 中期(数週間~数ヶ月) 理由： チャート チャート",日清製粉グループ本社,2017/03/01,20:33,買い予想,masahiraさん,137.88,"1,731.0",-10.51,"2,200",中期(数週間～数ヶ月),チャート,,"1,668.0",04月08日,18:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\2.html
"日清製粉グループ本社(2002)の買い予想。 ｾﾞﾗﾆｳﾑ0519 さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",日清製粉グループ本社,2015/01/10,06:33,買い予想,ｾﾞﾗﾆｳﾑ0519さん,29.49,"1,225.0",+102.60,"1,500",中期(数週間～数ヶ月),チャート,,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\20.html
"日清製粉グループ本社(2002)の買い予想。 くーみるく さんの売買予想。 目標株価： 1,575円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日清製粉グループ本社,2015/01/10,00:03,買い予想,くーみるくさん,342.69,"1,225.0",+102.60,"1,575",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,668.0",04月08日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2002-日清製粉グループ本社/2017-04-08-18-51-43/comment\21.html
