0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日産化学工業(4021)の売り予想。 クニハロー さんの売買予想。 目標株価： 3,262円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対",日産化学工業,2017/03/26,11:45,売り予想,クニハローさん,-0.11,"3,320.0",+9.33,"3,262",中期(数週間～数ヶ月),チャート,,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\1.html
"日産化学工業(4021)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",日産化学工業,2015/11/27,20:48,売り予想,松岡政也さん,-25.38,"2,954.0",-24.73,"1,500",長期(数ヶ月～数年),その他,"【株価分析結果】2015/11/27 01:20
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「2,410円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。
","3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\10.html
"日産化学工業(4021)の買い予想。 pinksapphire さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日産化学工業,2015/10/09,14:50,買い予想,pinksapphireさん,40.24,"2,808.0",+40.60,"3,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\11.html
"日産化学工業(4021)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 1,592円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",日産化学工業,2015/09/06,13:29,売り予想,チャーティスト3さん,-33.49,"2,583.0",-69.13,"1,592",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\12.html
日産化学工業(4021)の売り予想。 短期決戦 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： チャート 売り転。,日産化学工業,2015/07/12,09:36,売り予想,短期決戦さん,131.46,"2,787.0",-43.26,500,長期(数ヶ月～数年),チャート,,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\13.html
"日産化学工業(4021)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 2,718円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価2,718円",日産化学工業,2015/06/17,07:03,買い予想,37 　 工事中 !さん,57.65,"2,597.0",+67.01,"2,718",長期(数ヶ月～数年),その他,,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\14.html
"日産化学工業(4021)の買い予想。 mg733 さんの売買予想。 目標株価： 4,095円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対",日産化学工業,2015/05/23,11:59,買い予想,mg733さん,8.07,"2,769.0",+45.18,"4,095",長期(数ヶ月～数年),その他,"【株価分析結果】2015/05/23 01:19　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「2,336円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは類似時価総額の平均値よりも高い為、相対比較の観点からは割高と判断されます。","3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\15.html
"日産化学工業(4021)の買い予想。 t-oku さんの売買予想。 目標株価： 3,032円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割高」に反対",日産化学工業,2015/02/27,16:31,買い予想,t-okuさん,47.03,"2,324.0",+108.28,"3,031",中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2015/02/27 01:38
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,855円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\16.html
"日産化学工業(4021)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 2,345円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",日産化学工業,2015/02/05,20:34,買い予想,ファミリア、マクハリさん,148.36,"2,151.0",+139.86,"2,345",短期(数分～数日),個人投資家の予想,,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\17.html
"日産化学工業(4021)の買い予想。 クイーンズBELL さんの売買予想。 目標株価： 2,240円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",日産化学工業,2015/01/15,18:21,買い予想,クイーンズBELLさん,1.3,"2,080.0",+154.34,"2,240",短期(数分～数日),チャート,,"3,210.0",04月08日,22:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4021-日産化学工業/2017-04-08-22-40-00/comment\18.html
