0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日産自動車(7201)の買い予想。 京子ちゃん さんの売買予想。 目標株価： 1,300円 期間： 長期(数ヶ月～数年) 理由： チャート 転換期･･･",日産自動車,2017/04/06,17:31,買い予想,京子ちゃんさん,3.22,"1,008.5",+0.28,"1,300",長期(数ヶ月～数年),チャート,"為替、１ドル＝１１０円が、上限では･･･。
株価、底値です。
買い。
自動運転、電気自動車が、有望です☆彡
高配当利回りが、魅力的です♪","1,010.5",04月09日,20:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\1.html
"日産自動車(7201)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,358円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,357円",日産自動車,2017/03/27,14:58,買い予想,twitter88さん,-0.95,"1,125.0",-29.19,"1,358",長期(数ヶ月～数年),チャート,,"1,010.5",04月09日,20:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\10.html
"日産自動車(7201)の買い予想。 投資家ライダー さんの売買予想。 目標株価： 1,150円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日産自動車,2016/06/29,20:26,買い予想,投資家ライダーさん,29.83,943.9,+19.76,"1,150",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/29 03:45
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,438円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,010.5",04月09日,20:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\100.html
"日産自動車(7201)の買い予想。 くまー さんの売買予想。 目標株価： 1,323円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日産自動車,2016/06/28,22:36,買い予想,くまーさん,64.61,927.5,+25.14,"1,323",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/28 03:41　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,443円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,010.5",04月09日,20:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\101.html
"日産自動車(7201)の買い予想。 しまーお さんの売買予想。 目標株価： 1,083円 期間： 短期(数分~数日) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",日産自動車,2016/06/18,12:24,買い予想,しまーおさん,5.8,"1,001.0",+2.41,"1,082",短期(数分～数日),個人投資家の予想,"【株価分析結果】2016/06/18 03:49
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,448円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,010.5",04月09日,20:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\102.html
"日産自動車(7201)の買い予想。 mocajaba さんの売買予想。 目標株価： 1,234円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成",日産自動車,2016/06/01,13:57,買い予想,mocajabaさん,12.66,"1,121.5",-28.39,"1,234",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"【株価分析結果】2016/06/01 03:46
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,463円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\103.html
"日産自動車(7201)の買い予想。 鬼丸 さんの売買予想。 目標株価： 1,359円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",日産自動車,2016/05/22,15:49,買い予想,鬼丸さん,37.64,"1,045.5",-9.79,"1,359",中期(数週間～数ヶ月),チャート,,"1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\104.html
"日産自動車(7201)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 o....H/",日産自動車,2016/05/14,00:00,買い予想,ohｔyoch05さん,282.58,"1,028.0",-5.11,"2,000",長期(数ヶ月～数年),その他,"






,
,

,,,


,,,,,,,
果断","1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\105.html
"日産自動車(7201)の買い予想。 さちたくりく さんの売買予想。 目標株価： 1,141円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",日産自動車,2016/05/12,21:35,買い予想,さちたくりくさん,-14.64,"1,068.0",-15.57,"1,141",中期(数週間～数ヶ月),チャート,,"1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\106.html
"日産自動車(7201)の買い予想。 九転十起 さんの売買予想。 目標株価： 1,160円 期間： 短期(数分~数日) 理由： その他 三菱自動車日産が巨額出資事実上傘下に",日産自動車,2016/05/12,20:59,買い予想,九転十起さん,3.45,"1,068.0",-15.57,"1,160",短期(数分～数日),その他,,"1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\107.html
"日産自動車(7201)の買い予想。 モーリィー さんの売買予想。 目標株価： 1,201円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価1,201円",日産自動車,2016/04/25,00:30,買い予想,モーリィーさん,-1.6,"1,074.0",-17.07,"1,201",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,010.5",04月09日,21:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7201-日産自動車/2017-04-09-20-56-04/comment\108.html
