0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"日立建機(6305)の買い予想。 twitter88 さんの売買予想。 目標株価： 4,188円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価4,160円",日立建機,2017/03/27,14:30,買い予想,twitter88さん,-0.95,"2,812.0",-13.85,"4,188",長期(数ヶ月～数年),チャート,,"2,676.0",04月09日,13:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\1.html
"日立建機(6305)の買い予想。 くまー さんの売買予想。 目標株価： 1,946円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",日立建機,2016/06/29,23:19,買い予想,くまーさん,64.61,"1,486.0",+227.52,"1,946",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/29 03:18　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,903円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,676.0",04月09日,13:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\10.html
"日立建機(6305)の買い予想。 dover さんの売買予想。 目標株価： 4,500円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対",日立建機,2011/01/05,10:16,買い予想,doverさん,75.34,"1,991.0",+97.69,"4,500",長期(数ヶ月～数年),その他,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\100.html
"日立建機(6305)の売り予想。 亀七 さんの売買予想。 目標株価： 1,900円 期間： 短期(数分~数日) 理由： その他 週明けは売り",日立建機,2010/12/26,00:09,売り予想,亀七さん,-109.34,"1,940.0",-108.02,"1,900",短期(数分～数日),その他,中国の０.２５％の利上げが影響すると予想します。,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\101.html
"日立建機(6305)の買い予想。 Beet660 さんの売買予想。 目標株価： 1,997円 期間： 短期(数分~数日) 理由： チャート 買い",日立建機,2010/12/23,01:22,買い予想,Beet660さん,53.65,"1,921.0",+111.61,"1,997",短期(数分～数日),チャート,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\102.html
"日立建機(6305)の買い予想。 osky.japan さんの売買予想。 目標株価： 2,700円 期間： 長期(数ヶ月～数年) 理由： その他 いそがないけど",日立建機,2010/12/18,23:28,買い予想,osky.japanさん,378.9,"1,979.0",+100.00,"2,700",長期(数ヶ月～数年),その他,ｺﾂｺﾂだろうけどすこし小走りしそうだよ,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\103.html
日立建機(6305)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い(’(エ)’) ,日立建機,2010/10/26,14:37,買い予想,komko,268.64,"1,806.0",+136.82,--,中期(数週間～数ヶ月),,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\104.html
"日立建機,6305,HCM,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日立建機,2010/10/17,02:35,買い予想,レッドチリさん,189.32,"1,846.0",+127.70,"2,200",,,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\105.html
"日立建機(6305)の買い予想。 masaru40 さんの売買予想。 目標株価： 2,000円 期間： 短期(数分~数日) 理由： チャート 2000は当面の目標",日立建機,2010/09/23,23:22,買い予想,masaru40さん,-6.03,"1,783.0",+142.25,"2,000",短期(数分～数日),チャート,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\106.html
"日立建機(6305)の買い予想。 ｻﾗﾃﾞｨﾝ さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",日立建機,2010/08/11,14:43,買い予想,ｻﾗﾃﾞｨﾝさん,138.87,"1,761.0",+147.58,"2,000",中期(数週間～数ヶ月),チャート,,"2,676.0",04月09日,13:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6305-日立建機/2017-04-09-13-31-30/comment\107.html
