概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
日立製作所(6501)の買い予想。 畦道花の山 さんの売買予想。 目標株価： 708円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価708円,日立製作所,2017/04/07,06:37,買い予想,畦道花の山さん,1.35,587.7,-1.25,708,長期(数ヶ月～数年),その他,,586.1,04月09日,14:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\1.html
日立製作所(6501)の売り予想。 たかまさ0519 さんの売買予想。 目標株価： 523円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,日立製作所,2017/03/03,13:54,売り予想,たかまさ0519さん,8.0,624.2,+16.90,523,中期(数週間～数ヶ月),チャート,,586.1,04月09日,14:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\10.html
日立製作所(6501)の買い予想。 カピバラ課長 さんの売買予想。 目標株価： 858円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,日立製作所,2015/08/16,08:01,買い予想,カピバラ課長さん,-69.37,763.0,-66.30,858,長期(数ヶ月～数年),個人投資家の予想,,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\100.html
日立製作所(6501)の売り予想。 akikusainko さんの売買予想。 目標株価： 767円 期間： 短期(数分~数日) 理由： 個人投資家の予想 売り予想 短期 目標株価767円,日立製作所,2015/08/13,09:10,売り予想,akikusainkoさん,62.54,756.1,+63.55,767,短期(数分～数日),個人投資家の予想,,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\101.html
日立製作所(6501)の買い予想。 mmt2 さんの売買予想。 目標株価： 950円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,日立製作所,2015/08/12,08:23,買い予想,mmt2さん,34.16,768.7,-67.91,950,長期(数ヶ月～数年),個人投資家の予想,,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\102.html
日立製作所(6501)の買い予想。 mtaka33 さんの売買予想。 目標株価： 799円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,日立製作所,2015/08/12,05:23,買い予想,mtaka33さん,-24.7,768.7,-67.91,799,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2015/08/12 01:35　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「787円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\103.html
日立製作所(6501)の売り予想。 三角おにぎり さんの売買予想。 目標株価： 780円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に反対,日立製作所,2015/08/04,22:00,売り予想,三角おにぎりさん,68.23,774.3,+68.74,779,中期(数週間～数ヶ月),チャート,【株価分析結果】2015/08/04 01:35　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「787円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\104.html
"日立製作所(6501)の買い予想。 てっさん＿3088 さんの売買予想。 目標株価： 1,046円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",日立製作所,2015/07/31,18:06,買い予想,てっさん＿3088さん,-23.87,805.5,-77.80,"1,045",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/07/31 01:35
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「787円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。
",586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\105.html
日立製作所(6501)の買い予想。 むなちゃん さんの売買予想。 目標株価： 804円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成,日立製作所,2015/07/31,00:09,買い予想,むなちゃんさん,-74.04,793.0,-74.55,804,短期(数分～数日),チャート,,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\106.html
日立製作所(6501)の買い予想。 shimatyan さんの売買予想。 目標株価： 874円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価874円,日立製作所,2015/07/30,19:44,買い予想,shimatyanさん,10.88,793.0,-74.55,874,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,586.1,04月09日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6501-日立製作所/2017-04-09-14-17-30/comment\107.html
