概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
日立造船(7004)の買い予想。 可を見て進み、難きを知りて退く。 さんの売買予想。 目標株価： 660円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,日立造船,2017/03/29,07:25,買い予想,可を見て進み、難きを知りて退く。さん,-0.18,640.0,-9.77,660,中期(数週間～数ヶ月),その他,,619.0,04月09日,20:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\1.html
"日立造船(7004)の買い予想。 プランニング さんの売買予想。 目標株価： 1,548円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,548円",日立造船,2016/09/19,20:45,買い予想,プランニングさん,58.17,507.0,+62.25,"1,548",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,619.0,04月09日,20:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\10.html
日立造船(7004)の買い予想。 baku baku さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,日立造船,2009/11/20,03:44,買い予想,baku bakuさん,99.79,600.0,+8.53,800,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\100.html
日立造船(7004)の買い予想。 1円が100円 さんの売買予想。 目標株価： 755円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 跳ぶ,日立造船,2009/10/30,07:49,買い予想,1円が100円さん,18.95,600.0,+17.06,755,中期(数週間～数ヶ月),配当(株主優待を含む),11月５日から話題株に変身,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\101.html
"日立造船,7004,HitachiZosen,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",日立造船,2009/10/10,08:48,買い予想,日はまた昇るさん,339.2,565.0,+26.67,1,,,ここの会社の焼却炉は大変優れていて、世界中のごみ問題（ダイオキシン）もきっと解決してくれることでしょう、其れからここも造船技術から海水を真水に変える装置をアラブ各地で造っているそうで、注目するところです,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\102.html
日立造船(7004)の買い予想。 †蘭丸† さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 買い,日立造船,2009/07/31,02:35,買い予想,†蘭丸†さん,199.55,620.0,-0.91,800,中期(数週間～数ヶ月),,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\103.html
日立造船(7004)の買い予想。 biro651 さんの売買予想。 目標株価： 750円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,日立造船,2009/07/06,15:36,買い予想,biro651さん,106.82,605.0,+6.11,750,中期(数週間～数ヶ月),チャート,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\104.html
"日立造船(7004)の買い予想。 3000GT さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割高」に反対",日立造船,2009/06/23,08:10,買い予想,3000GTさん,117.36,615.0,+1.38,"1,000",長期(数ヶ月～数年),チャート,根拠なし,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\105.html
日立造船(7004)の買い予想。 はんちょう さんの売買予想。 目標株価： 2円 期間： 中期(数週間~数ヶ月) 買い,日立造船,2009/06/22,23:04,買い予想,はんちょうさん,65.79,615.0,+1.38,1,中期(数週間～数ヶ月),,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\106.html
日立造船(7004)の買い予想。 makuragi さんの売買予想。 目標株価： 2円 期間： 長期(数ヶ月～数年) 理由： その他 業態の変化を買いたい。,日立造船,2009/05/24,23:22,買い予想,makuragiさん,181.28,520.0,+107.18,1,長期(数ヶ月～数年),その他,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\107.html
日立造船(7004)の買い予想。 影船九番艦 さんの売買予想。 目標株価： 2円 期間： 長期(数ヶ月～数年) 理由： その他 買い,日立造船,2009/05/15,19:25,買い予想,影船九番艦さん,450.24,530.0,+47.21,1,長期(数ヶ月～数年),その他,和製水メジャー参画企業は期待します,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\108.html
日立造船(7004)の買い予想。 setogawa さんの売買予想。 目標株価： 750円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 決算は上方修正,日立造船,2009/05/06,16:42,買い予想,setogawaさん,406.85,540.0,+41.07,750,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"決算の上方修正に加えて信用残の好需給、全体相場の底打ち感
あがる気がします",619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\109.html
日立造船(7004)の買い予想。 ナノプロテスタント さんの売買予想。 目標株価： 592円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価591円,日立造船,2016/09/15,06:51,買い予想,ナノプロテスタントさん,74.56,514.0,+57.53,592,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,619.0,04月09日,20:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\11.html
日立造船(7004)の買い予想。 yca**818 さんの売買予想。 目標株価： 490円 期間： 中期(数週間~数ヶ月) 理由： その他 まだまだあがる,日立造船,2009/01/14,21:54,買い予想,yca**818さん,104.74,420.0,+134.05,490,中期(数週間～数ヶ月),その他,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\110.html
日立造船(7004)の買い予想。 taisyokusya さんの売買予想。 目標株価： 2円 期間： 中期(数週間~数ヶ月) ふふふ,日立造船,2008/12/12,14:33,買い予想,taisyokusyaさん,137.66,395.0,+160.53,1,中期(数週間～数ヶ月),,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\111.html
日立造船(7004)の買い予想。 gangan0403 さんの売買予想。 目標株価： 2円 期間： 長期(数ヶ月～数年) 理由： その他 買い,日立造船,2008/11/27,19:59,買い予想,gangan0403さん,-189.57,375.0,+184.26,1,長期(数ヶ月～数年),その他,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\112.html
日立造船(7004)の買い予想。 nakanaka32 さんの売買予想。 目標株価： 575円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,日立造船,2008/11/20,22:37,買い予想,nakanaka32さん,1456.17,355.0,+210.66,575,中期(数週間～数ヶ月),その他,だぶん上がる,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\113.html
日立造船(7004)の買い予想。 かずポン さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) こんな値段で終わらない,日立造船,2008/11/04,18:32,買い予想,かずポンさん,170.84,440.0,+115.03,600,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),これからじわじわきますよ,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\114.html
日立造船(7004)の買い予想。 ikoinokyuukeijo さんの売買予想。 目標株価： 2円 期間： 長期(数ヶ月～数年) 買い,日立造船,2008/10/10,14:37,買い予想,ikoinokyuukeijoさん,488.22,360.0,+203.79,1,長期(数ヶ月～数年),,,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\115.html
"日立造船(7004)の買い予想。 ﾕｰﾎ さんの売買予想。 目標株価： 1,250円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♪",日立造船,2008/10/10,00:40,買い予想,ﾕｰﾎさん,28.3,355.0,+210.66,"1,250",中期(数週間～数ヶ月),チャート,"いや、、、安いっしょ？

初心者だけど、俺。

業態とか考えると短期的に下がっても将来的にはじわりと上げていってくれそう♪♪

中長期投資のメリット♪↗↗↗",619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\116.html
日立造船(7004)の買い予想。 なんでやねん さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) やばい,日立造船,2008/10/09,00:21,買い予想,なんでやねんさん,-249.45,370.0,+190.59,500,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),安い、安すぎ,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\117.html
日立造船(7004)の買い予想。 かつくん さんの売買予想。 目標株価： 5円 期間： 長期(数ヶ月～数年) 理由： その他 安い！！安すぎる！！,日立造船,2008/10/09,00:11,買い予想,かつくんさん,339.96,370.0,+190.59,5,長期(数ヶ月～数年),その他,安い！！安すぎる！！,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\118.html
"日立造船(7004)の買い予想。 Mr. Frost さんの売買予想。 目標株価： 1,250円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買いでしょう",日立造船,2008/09/04,00:01,買い予想,Mr. Frostさん,95.85,580.0,+18.63,"1,250",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"上がりそうな気配で買ってしまい，
売り損なったまま温存中。
じっくり，上がってほしい～
ここまで待ちましたから！
追加で買うかなぁ。。。",619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\119.html
日立造船(7004)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 538円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し / …,日立造船,2016/09/11,11:32,買い予想,37 　 工事中 !さん,57.65,520.0,+53.59,538,長期(数ヶ月～数年),その他,,619.0,04月09日,20:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\12.html
"日立造船(7004)の買い予想。 johnlucy さんの売買予想。 目標株価： 1,250円 期間： 中期(数週間~数ヶ月) 理由： チャート 低位プラント関連（環境）",日立造船,2008/08/21,16:23,買い予想,johnlucyさん,155.59,585.0,+16.04,"1,250",中期(数週間～数ヶ月),チャート,業績発表も終わったし、そろそろ売り方の買戻しが来るのでは？,619.0,04月09日,20:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7004-日立造船/2017-04-09-20-06-55/comment\120.html
