概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"日野自動車(7205)の売り予想。 Toshi928 さんの売買予想。 目標株価： 1,129円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価1,129円",日野自動車,2017/04/08,00:56,売り予想,Toshi928さん,0.57,成り行き ,,"1,129",中期(数週間～数ヶ月),チャート,,"1,290.0",04月09日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\1.html
"日野自動車(7205)の買い予想。 魔女＆ジジの宅配便 さんの売買予想。 目標株価： 1,288円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 guy",日野自動車,2016/07/02,21:05,買い予想,魔女＆ジジの宅配便さん,7.33,978.0,+90.42,"1,288",長期(数ヶ月～数年),個人投資家の予想,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\10.html
"日野自動車(7205)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 1,059円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し",日野自動車,2016/06/26,17:13,買い予想,37 　 工事中 !さん,57.65,"1,033.0",+70.47,"1,059",長期(数ヶ月～数年),その他,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\11.html
"日野自動車(7205)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 1,417円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日野自動車,2016/06/12,14:24,買い予想,リサ・ランドールさん,137.27,"1,047.0",+65.72,"1,417",長期(数ヶ月～数年),その他,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\12.html
"日野自動車(7205)の買い予想。 pinksapphire さんの売買予想。 目標株価： 1,040円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日野自動車,2016/04/29,15:06,買い予想,pinksapphireさん,40.24,"1,057.0",+62.41,"1,040",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■日野自動車  　1,082円　 -165 円 (-13.2％)　　本日終値　 東証１部 下落率2位
　日野自動車が大幅４日続落。２７日の取引終了後に発表した１７年３月期の連結業績予想で、売上高１兆６７００億円（前期比４．３％減）、営業利益８００億円（同１８．６％減）、純利益５５０億円（同１５．６％減）と２ケタ減益を見込んでいることが嫌気されている。国内トラック・バスは販売台数６万３８００台（前期比４．１％増）と引き続き底堅く推移するとみられているものの、海外トラック・バスは中国経済の減速に伴う新興国市場の成長鈍化や資源安が響き１１万１０００台（同３．８％増）にとどまる見通し。また、想定為替レートを１ドル＝１０５円（前期１２０円）と円高方向に見直したことも響くという。なお、１６年３月期は、売上高１兆７４５５億４０００万円（前の期比３．６％増）、営業利益９８２億８７００万円（同６．９％減）、純利益６５１億３０００万円（同１２．６％減）だった。
","1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\13.html
"日野自動車(7205)の買い予想。 タケシ3939 さんの売買予想。 目標株価： 1,490円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割安」に賛成",日野自動車,2016/02/04,22:58,買い予想,タケシ3939さん,33.72,"1,155.0",+32.99,"1,490",長期(数ヶ月～数年),チャート,"【株価分析結果】2016/02/04 03:37　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,463円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\14.html
日野自動車(7205)の売り予想。 松岡政也 さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,日野自動車,2015/12/10,19:40,売り予想,松岡政也さん,-25.38,"1,445.0",+30.30,700,長期(数ヶ月～数年),その他,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\15.html
"日野自動車(7205)の買い予想。 もんさん さんの売買予想。 目標株価： 1,987円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,987円",日野自動車,2015/11/12,11:25,買い予想,もんさんさん,-23.01,"1,482.0",-37.03,"1,987",長期(数ヶ月～数年),チャート,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\16.html
"日野自動車(7205)の買い予想。 MADMAX さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",日野自動車,2015/10/01,02:32,買い予想,MADMAXさん,31.81,"1,211.0",+18.31,"1,400",中期(数週間～数ヶ月),その他,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\17.html
"日野自動車(7205)の買い予想。 joe_mino さんの売買予想。 目標株価： 1,530円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",日野自動車,2015/09/28,12:35,買い予想,joe_minoさん,14.82,"1,228.0",+14.12,"1,530",長期(数ヶ月～数年),個人投資家の予想,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\18.html
"日野自動車(7205)の買い予想。 takasitokio さんの売買予想。 目標株価： 1,746円 期間： 長期(数ヶ月～数年) 理由： その他 買い",日野自動車,2015/09/16,06:25,買い予想,takasitokioさん,32.21,"1,324.0",-7.51,"1,746",長期(数ヶ月～数年),その他,,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\19.html
"日野自動車(7205)の買い予想。 ゴマダレ さんの売買予想。 目標株価： 1,524円 期間： 中期(数週間~数ヶ月) 理由： その他 中～長期",日野自動車,2017/03/27,15:42,買い予想,ゴマダレさん,-5.84,"1,391.0",-20.85,"1,523",中期(数週間～数ヶ月),その他,,"1,290.0",04月09日,23:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\2.html
"日野自動車(7205)の買い予想。 qianle さんの売買予想。 目標株価： 1,656円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日野自動車,2015/08/28,18:27,買い予想,qianleさん,44.92,"1,334.0",-9.59,"1,656",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\20.html
"日野自動車(7205)の買い予想。 dover さんの売買予想。 目標株価： 1,881円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成",日野自動車,2015/08/19,18:31,買い予想,doverさん,75.34,"1,447.0",-31.04,"1,881",中期(数週間～数ヶ月),チャート,"【株価分析結果】2015/08/19 01:42
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,671円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\21.html
"日野自動車(7205)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： その他 H/nrDh/",日野自動車,2015/07/29,22:41,買い予想,ohｔyoch05さん,282.58,"1,544.0",-93.92,"2,500",長期(数ヶ月～数年),その他,v...V.eX,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\22.html
"日野自動車(7205)の買い予想。 stockshocker さんの売買予想。 目標株価： 2,067円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",日野自動車,2015/06/25,23:05,買い予想,stockshockerさん,376.53,"1,500.0",-40.00,"2,067",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,290.0",04月09日,23:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7205-日野自動車/2017-04-09-23-11-45/comment\23.html
