0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"旭化成(3407)の買い予想。 luna1999 さんの売買予想。 目標株価： 1,112円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",旭化成,2017/04/02,23:11,買い予想,luna1999さん,0.18,"1,088.5",-12.67,"1,112",短期(数分～数日),チャート,,"1,041.0",04月08日,21:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\1.html
旭化成(3407)の買い予想。 ccs2016 さんの売買予想。 目標株価： 840円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価840円,旭化成,2016/07/24,00:22,買い予想,ccs2016さん,21.64,776.5,+96.49,840,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,041.0",04月08日,21:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\10.html
旭化成(3407)の買い予想。 asa*ic*i12 さんの売買予想。 目標株価： 712円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,旭化成,2013/08/01,22:54,買い予想,asa*ic*i12さん,52.02,658.0,+165.08,712,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/08/01 01:32
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「760円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\100.html
旭化成(3407)の売り予想。 WERD さんの売買予想。 目標株価： 576円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成,旭化成,2013/07/28,20:35,売り予想,WERDさん,-109.54,620.0,-193.54,576,中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/07/27 01:28
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「627円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一取引市場の平均値よりも低い為、相対比較の観点からは割高と判断されます。
","1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\101.html
旭化成(3407)の売り予想。 きかん坊将軍！！ さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) しゃりあ,旭化成,2013/06/12,20:17,売り予想,きかん坊将軍！！さん,-13.3,636.0,-181.52,400,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\102.html
旭化成(3407)の買い予想。 sukin ヘッド さんの売買予想。 目標株価： 750円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,旭化成,2013/05/31,18:26,買い予想,sukin ヘッドさん,120.21,686.0,+293.47,750,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\103.html
"旭化成(3407)の買い予想。 高岡隆壱 さんの売買予想。 目標株価： 1,261円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) イヒ",旭化成,2013/05/26,00:17,買い予想,高岡隆壱さん,151.04,680.0,+150.54,"1,261",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\104.html
旭化成(3407)の買い予想。 ハーレー314 さんの売買予想。 目標株価： 680円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,旭化成,2013/04/13,04:42,買い予想,ハーレー314さん,179.47,663.0,+161.69,680,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,041.0",04月08日,22:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\105.html
旭化成(3407)の買い予想。 papamamayuma さんの売買予想。 目標株価： 828円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,旭化成,2013/03/23,08:28,買い予想,papamamayumaさん,171.72,641.0,+177.00,828,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,041.0",04月08日,22:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\106.html
旭化成(3407)の買い予想。 NAO２ さんの売買予想。 目標株価： 550円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,旭化成,2013/01/31,18:43,買い予想,NAO２さん,93.56,534.0,+269.44,550,中期(数週間～数ヶ月),チャート,,"1,041.0",04月08日,22:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\107.html
旭化成(3407)の買い予想。 karavajyo さんの売買予想。 目標株価： 569円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成,旭化成,2013/01/18,18:10,買い予想,karavajyoさん,40.94,526.0,+277.87,569,中期(数週間～数ヶ月),配当(株主優待を含む),,"1,041.0",04月08日,22:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\108.html
旭化成(3407)の買い予想。 レクサス さんの売買予想。 目標株価： 532円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,旭化成,2013/01/03,12:08,買い予想,レクサスさん,154.68,524.0,+280.01,532,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/12/29 01:30
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「490円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","1,041.0",04月08日,22:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\109.html
旭化成(3407)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 840円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価840円,旭化成,2016/07/09,08:31,買い予想,リサ・ランドールさん,137.27,714.9,+129.31,840,長期(数ヶ月～数年),その他,,"1,041.0",04月08日,21:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3407-旭化成/2017-04-08-21-57-59/comment\11.html
