0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"旭硝子(5201)の買い予想。 rEgAIn さんの売買予想。 目標株価： 1,361円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想",旭硝子,2017/03/26,11:36,買い予想,rEgAInさん,23.94,900.0,-5.68,"1,361",長期(数ヶ月～数年),その他,,883.0,04月09日,02:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\1.html
旭硝子(5201)の買い予想。 fsicon さんの売買予想。 目標株価： 599円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価599円,旭硝子,2016/07/26,12:36,買い予想,fsiconさん,11.38,577.0,+150.31,599,中期(数週間～数ヶ月),個人投資家の予想,,883.0,04月09日,02:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\10.html
"旭硝子(5201)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,100円 期間： 短期(数分~数日) 理由： その他 k",旭硝子,2011/04/01,14:45,買い予想,短期決戦さん,131.46,"1,046.0",-44.58,"1,100",短期(数分～数日),その他,k,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\100.html
旭硝子(5201)の売り予想。 takuyakun613 さんの売買予想。 目標株価： 950円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り,旭硝子,2011/03/02,07:39,売り予想,takuyakun613さん,53.13,"1,138.0",+63.46,950,中期(数週間～数ヶ月),チャート,,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\101.html
"旭硝子(5201)の買い予想。 steeple さんの売買予想。 目標株価： 1,088円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",旭硝子,2010/12/19,22:15,買い予想,steepleさん,139.32,939.0,-17.26,"1,088",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\102.html
"旭硝子(5201)の買い予想。 dover さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割高」に反対",旭硝子,2010/12/08,22:44,買い予想,doverさん,75.34,943.0,-18.39,"1,500",長期(数ヶ月～数年),その他,"【株価分析結果】2010/12/08 03:17
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「715円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\103.html
旭硝子(5201)の買い予想。 tatukey さんの売買予想。 目標株価： 996円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 目標株価,旭硝子,2010/12/01,17:44,買い予想,tatukeyさん,140.64,920.0,-11.74,996,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),格下げはおかしいと思います。,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\104.html
"旭硝子(5201)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",旭硝子,2010/11/05,20:55,買い予想,ピエール2世さん,298.82,864.0,+5.92,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\105.html
旭硝子(5201)の買い予想。 ds400serika さんの売買予想。 目標株価： 850円 期間： 短期(数分~数日) 買い,旭硝子,2010/11/02,13:50,買い予想,ds400serikaさん,321.14,783.0,+35.95,850,短期(数分～数日),,,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\106.html
旭硝子(5201)の買い予想。 ｍｏｍｏｎｇａ さんの売買予想。 目標株価： 880円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,旭硝子,2010/10/29,10:22,買い予想,ｍｏｍｏｎｇａさん,401.27,767.0,+42.63,880,中期(数週間～数ヶ月),チャート,,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\107.html
"旭硝子,5201,AsahiGlass,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",旭硝子,2010/09/24,15:32,売り予想,七曲八起さん,98.59,877.0,-2.26,--,短期(数分～数日),,,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\108.html
旭硝子(5201)の売り予想。 eemi さんの売買予想。 目標株価： 668円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,旭硝子,2010/09/24,09:21,売り予想,eemiさん,212.15,874.0,-3.25,668,,業績(会社計画の修正発表を含む),"【株価分析結果】2010/09/23 03:17
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「667円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\109.html
旭硝子(5201)の買い予想。 山本三平 さんの売買予想。 目標株価： 670円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成,旭硝子,2016/07/15,10:12,買い予想,山本三平さん,145.57,586.0,+143.63,670,中期(数週間～数ヶ月),チャート,"【株価分析結果】2016/07/15 03:00
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「670円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",883.0,04月09日,02:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\11.html
旭硝子(5201)の買い予想。 star さんの売買予想。 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,旭硝子,2010/08/15,17:43,買い予想,starさん,115.71,849.0,+11.05,--,,業績(会社計画の修正発表を含む),"次の収益の柱として、太陽電池も伸長してきました。

【株価分析結果】2010/08/14 03:18
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「667円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\110.html
"旭硝子(5201)の買い予想。 PPK さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",旭硝子,2010/07/26,21:43,買い予想,PPKさん,171.46,859.0,+7.61,"1,100",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\111.html
旭硝子(5201)の売り予想。 hati_ さんの売買予想。 目標株価： 677円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,旭硝子,2010/07/19,01:40,売り予想,hati_さん,13.24,822.0,-21.44,677,,業績(会社計画の修正発表を含む),"【株価分析結果】2010/07/17 03:18
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「677円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\112.html
旭硝子(5201)の買い予想。 Nori☆ さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 買い,旭硝子,2010/06/01,08:08,買い予想,Nori☆さん,914.15,976.0,-27.38,--,中期(数週間～数ヶ月),,,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\113.html
旭硝子(5201)の買い予想。 ゆきほたる さんの売買予想。 理由： 業績(会社計画の修正発表を含む) 買ぃ～♪,旭硝子,2010/05/11,15:36,買い予想,ゆきほたるさん,-33.67,"1,104.0",-57.18,--,,業績(会社計画の修正発表を含む),"
旭硝子、１０年１２月期連結業績予想を上方修正、ＦＰＤ用ガラス基板や自動車用が好調に推移

　ガラス大手の旭硝子が１１日引け後に、１０年１２月期連結業績予想の上方修正を発表。売上高は１兆３０００億円（前期比１３．２％増）を据え置いたが、営業利益を１６００億円から１９００億円（同２．２倍）、純利益を９００億円から１１００億円（同５．５倍）に引き上げた。第１四半期（１－３月）業績で、フラットパネルディスプレー（ＦＰＤ）用ガラス基板が堅調に推移。自動車用ガラスについても各国の自動車需要喚起策の効果で出荷が回復したため。

　１０年１２月期第１四半期決算は、売上高３１５０億９４００万円（前年同期比３３．３％増）、営業損益５３９億３４００万円の黒字（前年同期は５９億５４００万円の赤字）、最終損益３９７億３３００万円の黒字（同１３９億９１００万円の赤字）だった。

　終値は１２円安の１０４５円。



［ 株式新聞速報ニュース／ＫＡＢＤＡＳ－ＥＸＰＲＥＳＳ ］

提供：モーニングスター社

",883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\114.html
"旭硝子(5201)の買い予想。 mikaru さんの売買予想。 目標株価： 1,600円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",旭硝子,2010/04/15,21:13,買い予想,mikaruさん,25.81,"1,080.0",-52.13,"1,600",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,883.0,04月09日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5201-旭硝子/2017-04-09-02-53-38/comment\115.html
