0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"明治ホールディングス(2269)の買い予想。 いちくん！ さんの売買予想。 目標株価： 10,604円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",明治ホールディングス,2017/04/04,11:18,買い予想,いちくん！さん,-13.34,"9,620.0",-2.68,"10,604",中期(数週間～数ヶ月),その他,,"9,530.0",04月08日,18:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\1.html
"明治ホールディングス(2269)の買い予想。 グットチッチ さんの売買予想。 目標株価： 8,770円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",明治ホールディングス,2017/01/22,14:00,買い予想,グットチッチさん,39.3,"8,750.0",+25.31,"8,770",短期(数分～数日),個人投資家の予想,,"9,530.0",04月08日,18:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\10.html
"明治ホールディングス(2269)の買い予想。 赤い大地 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： その他 需要増加",明治ホールディングス,2011/04/24,00:12,買い予想,赤い大地さん,-91.9,"1,740.0","+1,272.92","2,000",中期(数週間～数ヶ月),その他,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\100.html
"明治ホールディングス(2269)の買い予想。 黒鮪殿下 さんの売買予想。 目標株価： 1,985円 期間： 長期(数ヶ月～数年) 理由： チャート 下がり過ぎ",明治ホールディングス,2011/03/31,02:57,買い予想,黒鮪殿下さん,441.34,"1,675.0","+1,333.35","1,985",長期(数ヶ月～数年),チャート,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\101.html
"明治ホールディングス(2269)の買い予想。 ことぶき さんの売買予想。 目標株価： 1,950円 期間： 中期(数週間~数ヶ月) 理由： その他 かい",明治ホールディングス,2011/02/02,14:43,買い予想,ことぶきさん,339.76,"1,885.0","+1,153.12","1,950",中期(数週間～数ヶ月),その他,♪チョコレートはメ・イ・ジ。,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\102.html
"明治ホールディングス(2269)の買い予想。 ひが さんの売買予想。 目標株価： 2,057円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) かい",明治ホールディングス,2011/01/20,10:45,買い予想,ひがさん,150.6,"1,867.5","+1,166.60","2,057",短期(数分～数日),業績(会社計画の修正発表を含む),かい,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\103.html
"明治ホールディングス(2269)の買い予想。 みんなの渋柿 さんの売買予想。 目標株価： 2,019円 期間： 長期(数ヶ月～数年) 理由： その他 カ",明治ホールディングス,2011/01/03,01:10,買い予想,みんなの渋柿さん,297.63,"1,850.0","+1,180.32","2,018",長期(数ヶ月～数年),その他,同根の明治乳業と明治製菓が０９年統合。乳業首位、菓子も定番品に強み。医薬品事業も展開。,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\104.html
明治ホールディングス(2269)の買い予想。 カリスマニート さんの売買予想。 目標株価： 180円 期間： 短期(数分~数日) 理由： その他 買い,明治ホールディングス,2010/11/27,20:27,買い予想,カリスマニートさん,275.75,"1,842.5","+1,186.28",180,短期(数分～数日),その他,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\105.html
"明治ホールディングス(2269)の買い予想。 m-hiro7 さんの売買予想。 目標株価： 1,900円 期間： 短期(数分~数日) 理由： チャート 買い",明治ホールディングス,2010/11/13,12:25,買い予想,m-hiro7さん,355.03,"1,840.0","+1,188.28","1,900",短期(数分～数日),チャート,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\106.html
"明治ホールディングス(2269)の買い予想。 masashimaasa さんの売買予想。 目標株価： 2,250円 買い",明治ホールディングス,2010/09/13,15:44,買い予想,masashimaasaさん,296.63,"1,937.5","+1,114.17","2,250",,,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\107.html
明治ホールディングス(2269)の売り予想。 空飛ぶ モンティ・パイ さんの売買予想。 目標株価： 180円 ワールドカップが終わっちゃって,明治ホールディングス,2010/07/09,14:48,売り予想,空飛ぶ モンティ・パイさん,-418.66,"1,902.5","-1,140.20",180,,,つまんないから,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\108.html
"明治ホールディングス(2269)の買い予想。 みんなの荻野式 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",明治ホールディングス,2010/05/24,14:48,買い予想,みんなの荻野式さん,428.41,"1,647.5","+1,360.35","2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\109.html
"明治ホールディングス(2269)の買い予想。 T-F さんの売買予想。 目標株価： 10,450円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価10,450円",明治ホールディングス,2017/01/16,08:49,買い予想,T-Fさん,-4.09,"9,130.0",+12.42,"10,450",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"9,530.0",04月08日,18:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\11.html
"明治ホールディングス(2269)の買い予想。 堕落汚バマ さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： その他 0",明治ホールディングス,2010/05/21,08:59,買い予想,堕落汚バマさん,327.04,"1,697.5","+1,311.90","1,800",中期(数週間～数ヶ月),その他,0,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\110.html
明治ホールディングス(2269)の買い予想。 zeroGspace さんの売買予想。 目標株価： 180円 期間： 中期(数週間~数ヶ月) 買い☆,明治ホールディングス,2010/05/13,13:48,買い予想,zeroGspaceさん,387.63,"1,732.5","+1,279.66",180,中期(数週間～数ヶ月),,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\111.html
"明治ホールディングス(2269)の買い予想。 羅臼 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買いです。",明治ホールディングス,2010/04/26,19:27,買い予想,羅臼さん,949.07,"1,717.5","+2,586.64","2,000",中期(数週間～数ヶ月),配当(株主優待を含む),,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\112.html
"明治ホールディングス(2269)の買い予想。 tomoyasu さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) ﾎｰﾙﾃﾞｨﾝｸﾞｽ！",明治ホールディングス,2010/04/23,10:27,買い予想,tomoyasuさん,1292.68,"1,720.0","+1,291.02","2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),明治がんばれ！,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\113.html
"明治ホールディングス(2269)の買い予想。 hikonyannyan さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 好決算！！",明治ホールディングス,2010/02/12,00:03,買い予想,hikonyannyanさん,387.53,"1,667.5","+1,340.62","1,800",中期(数週間～数ヶ月),配当(株主優待を含む),22年３月配当８０円は魅力,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\114.html
明治ホールディングス(2269)の買い予想。 ketts777 さんの売買予想。 目標株価： 180円 期間： 中期(数週間~数ヶ月) ｋ,明治ホールディングス,2009/11/19,03:07,買い予想,ketts777さん,347.15,"1,740.0","+1,272.92",180,中期(数週間～数ヶ月),,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\115.html
"明治ホールディングス(2269)の買い予想。 うめももちゃん さんの売買予想。 目標株価： 2,050円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) インフル関連銘柄",明治ホールディングス,2009/09/11,10:18,買い予想,うめももちゃんさん,590.37,"1,840.0","+1,188.28","2,050",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),うがい薬・マスク等を取り扱っているので。,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\116.html
明治ホールディングス(2269)の買い予想。 good-luck -77 さんの売買予想。 目標株価： 180円 期間： 中期(数週間~数ヶ月) 理由： その他 やっと・・・,明治ホールディングス,2009/08/25,08:48,買い予想,good-luck -77さん,229.48,"1,915.0","+1,130.61",180,中期(数週間～数ヶ月),その他,"ジェネリックにも明るい兆し。
","9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\117.html
明治ホールディングス(2269)の買い予想。 TAKA29810 さんの売買予想。 目標株価： 180円 期間： 短期(数分~数日) 理由： その他 短期,明治ホールディングス,2009/08/09,13:20,買い予想,TAKA29810さん,256.13,"1,920.0","+1,126.92",180,短期(数分～数日),その他,,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\118.html
"明治ホールディングス(2269)の買い予想。 ふあんきい さんの売買予想。 目標株価： 2,250円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",明治ホールディングス,2009/06/17,23:40,買い予想,ふあんきいさん,331.84,"1,790.0","+1,229.42","2,250",中期(数週間～数ヶ月),その他,3600ここから始まる｡,"9,530.0",04月08日,18:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\119.html
"明治ホールディングス(2269)の買い予想。 vw63493296 さんの売買予想。 目標株価： 10,171円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",明治ホールディングス,2017/01/15,15:44,買い予想,vw63493296さん,12.73,"9,130.0",+12.42,"10,171",短期(数分～数日),個人投資家の予想,,"9,530.0",04月08日,18:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\12.html
明治ホールディングス(2269)の買い予想。 RX78G3 さんの売買予想。 目標株価： 180円 期間： 中期(数週間~数ヶ月) やっぱり、これからイソジンだよなぁ！？,明治ホールディングス,2009/05/04,02:17,買い予想,RX78G3さん,601.44,"1,515.0","+1,504.19",180,中期(数週間～数ヶ月),,"２０００円台に落ちてこないかな？
落ちて欲しいな。
２５００円位に、無理だろうか？
","9,530.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\120.html
"明治ホールディングス(2269)の買い予想。 えいちあい さんの売買予想。 目標株価： 1,750円 期間： 中期(数週間~数ヶ月) 理由： チャート 底を打ったかな？",明治ホールディングス,2009/04/15,22:19,買い予想,えいちあいさん,952.07,"1,455.0","+1,577.95","1,750",中期(数週間～数ヶ月),チャート,"ようやく落ち着いてきたのかな？
上昇に期待しています。","9,530.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\121.html
"明治ホールディングス(2269)の買い予想。 Hermes さんの売買予想。 目標株価： 2,500円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) あ",明治ホールディングス,2009/04/15,22:06,買い予想,Hermesさん,392.18,"1,455.0","+1,577.95","2,500",短期(数分～数日),業績(会社計画の修正発表を含む),,"9,530.0",04月08日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2269-明治ホールディングス/2017-04-08-18-54-52/comment\122.html
