0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
明電舎(6508)の売り予想。 やったるで さんの売買予想。 目標株価： 391円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価391円,明電舎,2017/03/14,11:55,売り予想,やったるでさん,-0.03,403.0,+23.99,391,短期(数分～数日),チャート,,368.0,04月09日,16:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\1.html
明電舎(6508)の買い予想。 そうりょ さんの売買予想。 目標株価： 518円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,明電舎,2016/07/16,09:43,買い予想,そうりょさん,214.24,345.0,+18.13,517,中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/07/16 03:30
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「500円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも高い為、相対比較の観点からは割安と判断されます。

",368.0,04月09日,16:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\10.html
明電舎(6508)の買い予想。 影船九番艦 さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： その他 買い,明電舎,2009/05/15,20:01,買い予想,影船九番艦さん,450.24,340.0,+22.58,--,長期(数ヶ月～数年),その他,和製水メジャー参画企業は期待します,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\100.html
明電舎(6508)の買い予想。 AAI Fund さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート kai,明電舎,2009/04/20,21:57,買い予想,AAI Fundさん,594.97,262.0,+113.96,500,中期(数週間～数ヶ月),チャート,,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\101.html
明電舎(6508)の買い予想。 内国人投資家 さんの売買予想。 期間： 短期(数分~数日) 理由： チャート 短期的に買い,明電舎,2009/02/26,21:33,買い予想,内国人投資家さん,113.39,201.0,+234.84,--,短期(数分～数日),チャート,短期的には買いに転換したと見ています。,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\102.html
明電舎(6508)の買い予想。 東雲和玄 さんの売買予想。 目標株価： 250円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 電気自動車銘柄として,明電舎,2009/02/26,13:32,買い予想,東雲和玄さん,70.52,208.0,+217.37,250,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),夏に発売される三菱自工の「ｉＭｉｅｖ」のモーターは同社製。可能性はかなり高い,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\103.html
明電舎(6508)の買い予想。 たーりく さんの売買予想。 目標株価： 240円 期間： 短期(数分~数日) 理由： チャート 太陽電池,明電舎,2009/02/03,09:29,買い予想,たーりくさん,409.81,236.0,+157.84,240,短期(数分～数日),チャート,,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\104.html
明電舎(6508)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 400円 期間： 長期(数ヶ月～数年) 生産能力を２．５倍に引き上げ,明電舎,2008/12/09,22:04,買い予想,ミミちゃんさん,168.79,214.0,+203.30,400,長期(数ヶ月～数年),,同社がハイブリッド建機向け蓄電装置の生産能力を２．５倍に引き上げることを発表。newsミミ,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\105.html
明電舎(6508)の買い予想。 ma-chann さんの売買予想。 目標株価： 160円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 環境銘柄,明電舎,2008/11/20,23:25,買い予想,ma-channさん,409.73,131.0,+512.28,160,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),環境銘柄！配当もいいし、割安。,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\106.html
明電舎(6508)の買い予想。 ikoinokyuukeijo さんの売買予想。 期間： 長期(数ヶ月～数年) 買い,明電舎,2008/10/08,14:25,買い予想,ikoinokyuukeijoさん,488.22,214.0,+203.30,--,長期(数ヶ月～数年),,,368.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6508-明電舎/2017-04-09-16-03-30/comment\107.html
