0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
昭和シェル石油(5002)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,昭和シェル石油,2017/03/21,17:58,売り予想,ひとみん｡｡☆さん,0.86,"1,125.0",+3.28,900,中期(数週間～数ヶ月),チャート,,"1,111.0",04月09日,02:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\1.html
"昭和シェル石油(5002)の買い予想。 燦然と輝く太陽 さんの売買予想。 目標株価： 1,197円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",昭和シェル石油,2016/12/01,13:29,買い予想,燦然と輝く太陽さん,-1.57,"1,088.0",+5.74,"1,196",中期(数週間～数ヶ月),個人投資家の予想,,"1,111.0",04月09日,02:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\10.html
昭和シェル石油(5002)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 590円 期間： 短期(数分~数日) 理由： その他 ☆おや？,昭和シェル石油,2012/02/20,13:10,買い予想,☆プリ☆彡さん,426.89,559.0,+280.29,590,短期(数分～数日),その他,"
どんだけさ下げたんかー
這い上がるか？","1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\100.html
昭和シェル石油(5002)の買い予想。 Nlakenkent さんの売買予想。 目標株価： 801円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,昭和シェル石油,2012/02/06,17:39,買い予想,Nlakenkentさん,1114.44,531.0,+310.06,801,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2012/02/04 01:36
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「669円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\101.html
昭和シェル石油(5002)の買い予想。 sanchome0512 さんの売買予想。 目標株価： 520円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,昭和シェル石油,2012/01/12,21:47,買い予想,sanchome0512さん,352.89,520.0,+322.63,520,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\102.html
昭和シェル石油(5002)の買い予想。 翠i さんの売買予想。 目標株価： 580円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 買ってよし,昭和シェル石油,2011/12/28,19:34,買い予想,翠iさん,-884.57,516.0,+327.34,580,短期(数分～数日),配当(株主優待を含む),,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\103.html
"昭和シェル石油(5002)の買い予想。 sinzito さんの売買予想。 目標株価： 1,062円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) ソーラー",昭和シェル石油,2011/12/16,12:35,買い予想,sinzitoさん,475.27,534.0,+306.72,"1,062",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\104.html
昭和シェル石油(5002)の買い予想。 zousan1234 さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,昭和シェル石油,2011/12/06,06:23,買い予想,zousan1234さん,215.72,536.0,+304.52,600,中期(数週間～数ヶ月),その他,省エネ関連もりだくさん,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\105.html
昭和シェル石油(5002)の買い予想。 あしすあべば さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,昭和シェル石油,2011/11/22,19:33,買い予想,あしすあべばさん,325.7,494.0,+354.58,700,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\106.html
昭和シェル石油(5002)の買い予想。 tak*has**_sout*u さんの売買予想。 目標株価： 663円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,昭和シェル石油,2011/11/15,00:57,買い予想,tak*has**_sout*uさん,323.99,507.0,+338.20,663,中期(数週間～数ヶ月),チャート,,"1,111.0",04月09日,02:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5002-昭和シェル石油/2017-04-09-02-18-57/comment\107.html
