概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"昭和電工(4004)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,838円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 78.6pss",昭和電工,2017/04/04,21:49,売り予想,７本ＤＭさん,0.86,"1,934.0",+5.88,"1,838",中期(数週間～数ヶ月),個人投資家の予想,,"1,893.0",04月08日,22:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\1.html
"昭和電工(4004)の買い予想。 musashiXP さんの売買予想。 目標株価： 1,984円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",昭和電工,2016/09/20,09:29,買い予想,musashiXPさん,4.55,"1,238.0",+150.21,"1,984",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/09/17 02:32
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,357円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,893.0",04月08日,22:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\10.html
"昭和電工(4004)の買い予想。 Beet660 さんの売買予想。 目標株価： 1,970円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",昭和電工,2010/12/23,01:17,買い予想,Beet660さん,53.65,"1,870.0",+3.34,"1,970",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/12/22 03:12
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「163円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

","1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\100.html
"昭和電工(4004)の買い予想。 のんぶ～です さんの売買予想。 目標株価： 1,860円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 185位",昭和電工,2010/12/08,10:20,買い予想,のんぶ～ですさん,179.24,"1,800.0",+14.53,"1,860",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\101.html
"昭和電工(4004)の買い予想。 fpb さんの売買予想。 目標株価： 2,050円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対",昭和電工,2010/12/04,01:03,買い予想,fpbさん,200.38,"1,800.0",+14.53,"2,050",長期(数ヶ月～数年),その他,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\102.html
"昭和電工(4004)の買い予想。 dover さんの売買予想。 目標株価： 2,200円 個人投資家の意見「売り」に反対",昭和電工,2010/11/27,14:21,買い予想,doverさん,75.34,"1,730.0",+26.62,"2,200",,,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\103.html
"昭和電工(4004)の買い予想。 minko44 さんの売買予想。 目標株価： 3,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買う買う",昭和電工,2010/11/24,11:57,買い予想,minko44さん,145.03,"1,700.0",+32.11,"3,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\104.html
昭和電工(4004)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い(’(エ)’) ,昭和電工,2010/11/05,10:52,買い予想,komko,268.64,"1,520.0",+69.59,--,中期(数週間～数ヶ月),,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\105.html
"昭和電工(4004)の買い予想。 ｍｏｍｏｎｇａ さんの売買予想。 目標株価： 1,680円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",昭和電工,2010/10/25,21:11,買い予想,ｍｏｍｏｎｇａさん,401.27,"1,490.0",+76.71,"1,680",中期(数週間～数ヶ月),チャート,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\106.html
昭和電工(4004)の買い予想。 sinhtaka さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,昭和電工,2010/10/23,15:00,買い予想,sinhtakaさん,-106.08,"1,490.0",+76.71,--,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2010/10/23 03:13
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「140円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。","1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\107.html
"昭和電工(4004)の買い予想。 shigu さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",昭和電工,2010/09/29,01:04,買い予想,shiguさん,281.26,"1,590.0",+54.01,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\108.html
"昭和電工(4004)の買い予想。 shinsp さんの売買予想。 目標株価： 3,700円 期間： 長期(数ヶ月～数年) 個人投資家の意見「売り」に反対",昭和電工,2010/06/11,19:56,買い予想,shinspさん,117.29,"1,770.0",+19.59,"3,700",長期(数ヶ月～数年),,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\109.html
"昭和電工(4004)の買い予想。 たるきち さんの売買予想。 目標株価： 1,358円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価1,351円",昭和電工,2016/09/01,06:00,買い予想,たるきちさん,138.17,"1,278.0",+136.61,"1,358",短期(数分～数日),チャート,,"1,893.0",04月08日,22:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\11.html
"昭和電工(4004)の買い予想。 KIU0108 さんの売買予想。 目標株価： 2,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",昭和電工,2010/05/27,13:08,買い予想,KIU0108さん,205.41,"1,750.0",+23.07,"2,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\110.html
"昭和電工(4004)の買い予想。 ヒロ8316 さんの売買予想。 目標株価： 2,500円 期間： 短期(数分~数日) 個人投資家の意見「買い」に賛成",昭和電工,2010/04/29,09:58,買い予想,ヒロ8316さん,-126.43,"2,150.0",-34.12,"2,500",短期(数分～数日),,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\111.html
"昭和電工,4004,ShowaDenko,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",昭和電工,2010/04/28,17:46,買い予想,ゆきほたるさん,-33.67,"2,150.0",-34.12,--,,,"
昭電工、６月中間期の業績予想を上方修正、ハードディスク生産を月産２５００万枚体制に

　昭和電工が２８日の引け後に、１０年６月中間期連結業績予想の上方修正を発表した。売上高を３７００億円から３８００億円（前期比３２．６％増）、営業利益を１００億円から１３０億円（前期は２２８億６１００万円の赤字）、純利益を３０億円から４０億円（同４６５億３１００万円の赤字）に引き上げた。エレクトロニクスや自動車を中心とした生産回復を受け、アルミニウムほか、化学品、電子・情報の３セグメントにおいて、出荷が当初予想を上回ったため。１０年１２月期業績予想も同時に引き上げたが、下期以降の修正は行わず中間期の修正分の上乗せにとどめている。

　１０年１２月期第１四半期（１０年１－３月）決算は、売上高１８７６億９４００万円（前年同期比５５．１％増）、営業損益７０億２８００万円の黒字（前年同期は１５６億６９００万円の赤字）、最終損益３４億９３００万円の黒字（同２２０億８１００万円の赤字）だった。

　同時に、ハードディスク生産設備の能力を増強すると発表。シンガポール工場でクリーンルームを建設し、製造ラインを導入するほか、全生産拠点で生産性向上のための製造ラインの改修を行う。完工は１１年３月を予定し、全拠点の生産能力は月産２５００万枚（１０年３月末現在同２２００万枚）となる見通し。設備投資額は約１００億円を予定している。

　終値は６円安の２０６円。



［ 株式新聞速報ニュース／ＫＡＢＤＡＳ－ＥＸＰＲＥＳＳ ］

提供：モーニングスター社

","1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\112.html
"昭和電工(4004)の買い予想。 yuk*1*220*1 さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",昭和電工,2010/04/25,13:14,買い予想,yuk*1*220*1さん,-15.7,"2,010.0",-16.69,"2,500",中期(数週間～数ヶ月),その他,,"1,893.0",04月08日,22:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4004-昭和電工/2017-04-08-22-25-21/comment\113.html
