概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ホンダ(7267)の買い予想。 夜桜まー さんの売買予想。 目標株価： 3,488円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",本田技研工業,2017/04/09,07:06,買い予想,夜桜まーさん,-2.22,成り行き ,,"3,488",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/04/08 03:52
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,488円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","3,157.0",04月10日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\1.html
"ホンダ(7267)の買い予想。 ayasesaya さんの売買予想。 目標株価： 3,937円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価3,937円",本田技研工業,2017/03/25,08:10,買い予想,ayasesayaさん,-4.1,"3,393.0",-19.86,"3,937",長期(数ヶ月～数年),チャート,,"3,157.0",04月10日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\10.html
"ホンダ(7267)の買い予想。 zoRox さんの売買予想。 目標株価： 4,183円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成",本田技研工業,2015/03/30,07:48,買い予想,zoRoxさん,1.49,"3,976.5",-58.67,"4,183",短期(数分～数日),その他,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\100.html
"ホンダ(7267)の買い予想。 おーい さんの売買予想。 目標株価： 4,157円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価4,141円",本田技研工業,2015/03/15,10:35,買い予想,おーいさん,-43.39,"4,106.0",-65.79,"4,157",短期(数分～数日),チャート,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\101.html
"ホンダ(7267)の買い予想。 Tos1609 さんの売買予想。 目標株価： 6,562円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価6,562円",本田技研工業,2015/03/12,23:46,買い予想,Tos1609さん,-11.69,"4,146.0",-67.90,"6,562",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\102.html
"ホンダ(7267)の売り予想。 shima_shima さんの売買予想。 目標株価： 3,566円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",本田技研工業,2015/03/09,14:55,売り予想,shima_shimaさん,-93.97,"4,035.0",+61.80,"3,566",長期(数ヶ月～数年),チャート,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\103.html
"ホンダ(7267)の買い予想。 yukopapa さんの売買予想。 目標株価： 4,240円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",本田技研工業,2015/03/06,04:14,買い予想,yukopapaさん,-23.53,"3,995.0",-59.71,"4,240",中期(数週間～数ヶ月),チャート,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\104.html
"ホンダ(7267)の買い予想。 りつこ さんの売買予想。 目標株価： 4,013円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価4,000円",本田技研工業,2015/02/24,09:46,買い予想,りつこさん,-1.08,"3,903.0",-54.42,"4,013",中期(数週間～数ヶ月),その他,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\105.html
"ホンダ(7267)の売り予想。 よしょたん さんの売買予想。 目標株価： 3,843円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価3,827円",本田技研工業,2015/02/22,17:20,売り予想,よしょたんさん,58.39,"3,993.0",+59.46,"3,843",短期(数分～数日),チャート,,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\106.html
"ホンダ(7267)の買い予想。 99sir さんの売買予想。 目標株価： 3,976円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価3,976円",本田技研工業,2015/02/18,10:08,買い予想,99sirさん,26.23,"3,933.5",-56.20,"3,976",短期(数分～数日),業績(会社計画の修正発表を含む),,"3,157.0",04月10日,00:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7267-本田技研工業/2017-04-10-00-03-06/comment\107.html
