概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"東ソー(4042)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,400円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,398円",東ソー,2017/03/27,13:41,買い予想,twitter88さん,-0.95,955.0,+1.78,"1,400",長期(数ヶ月～数年),チャート,,962.0,04月08日,22:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\1.html
東ソー(4042)の買い予想。 coopee06 さんの売買予想。 目標株価： 720円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価720円,東ソー,2016/10/09,14:43,買い予想,coopee06さん,76.41,657.0,+131.57,720,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,962.0,04月08日,22:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\10.html
東ソー(4042)の買い予想。 packrat さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： その他 そろそろ,東ソー,2009/02/25,11:06,買い予想,packratさん,630.96,148.0,"+1,562.05",--,中期(数週間～数ヶ月),その他,,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\100.html
東ソー(4042)の売り予想。 ミミちゃん さんの売買予想。 目標株価： 100円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) カセイソーダの価格交渉が21％安の１トン390ドル,東ソー,2009/02/05,01:01,売り予想,ミミちゃんさん,168.79,183.0,"-1,212.02",100,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"「オーストラリアのアルミナメーカーとの間で進めていた今年１―６月期のカセイソーダの価格交渉が、前期（08年７―12月）に比べ21％安の１トン390ドルで来週中にも決着する見通し」。市場では「今後更なる値下げの可能性が意識.newsミミ


09年3月期の最終損益は260億円の赤字を予想（前期は251億円の黒字）。需要減退で塩化ビニール樹脂やウレタン原料などの収益環境が悪化した。NEWSミミ",962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\101.html
東ソー(4042)の買い予想。 ぴよたろう さんの売買予想。 期間： 短期(数分~数日) 理由： チャート 海,東ソー,2008/12/21,23:15,買い予想,ぴよたろうさん,367.5,236.0,+873.56,--,短期(数分～数日),チャート,,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\102.html
"東ソー,4042,TOSOH,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",東ソー,2008/07/28,16:56,買い予想,香水さん,-279.24,467.0,+300.80,"1,200",,,,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\103.html
東ソー(4042)の買い予想。 PonTaka さんの売買予想。 目標株価： 620円 期間： 中期(数週間~数ヶ月) 原油高だけどポリエチレン値上げ,東ソー,2008/05/21,21:27,買い予想,PonTakaさん,142.45,455.0,+316.23,620,中期(数週間～数ヶ月),,"四季報より～
機能商品好調。だが減価償却増に原燃料高と円高想定、営業減益に減額。ＰＥＲ11台。",962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\104.html
東ソー(4042)の買い予想。 capi6736 さんの売買予想。 目標株価： 480円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 出来高伴い,東ソー,2008/05/12,14:01,買い予想,capi6736さん,87.61,426.0,+357.11,480,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\105.html
東ソー(4042)の買い予想。 八ちゃん さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： その他 中期,東ソー,2008/04/20,20:48,買い予想,八ちゃんさん,227.46,395.0,+407.46,--,中期(数週間～数ヶ月),その他,,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\106.html
東ソー(4042)の買い予想。 hayanie さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： チャート もうそろそろ？,東ソー,2008/04/16,21:33,買い予想,hayanieさん,231.81,370.0,+454.20,450,中期(数週間～数ヶ月),チャート,,962.0,04月08日,22:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4042-東ソー/2017-04-08-22-42-54/comment\107.html
