概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"東レ(3402)の買い予想。 mini mini さんの売買予想。 目標株価： 1,082円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東レ,2017/04/03,14:37,買い予想,mini miniさん,-3.18,996.3,-4.22,"1,082",長期(数ヶ月～数年),個人投資家の予想,,982.5,04月08日,21:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\1.html
"東レ(3402)の買い予想。 ドンタロウ さんの売買予想。 目標株価： 1,097円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,100円",東レ,2017/01/24,11:20,買い予想,ドンタロウさん,75.8,970.2,+3.31,"1,097",長期(数ヶ月～数年),チャート,,982.5,04月08日,21:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\10.html
"東レ(3402)の買い予想。 笑語 さんの売買予想。 目標株価： 1,082円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",東レ,2014/08/20,13:38,買い予想,笑語さん,30.73,720.6,+102.95,"1,081",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\100.html
東レ(3402)の買い予想。 もか7 さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,東レ,2014/08/19,22:21,買い予想,もか7さん,-1.99,729.0,+98.49,800,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\101.html
東レ(3402)の買い予想。 myu2007 さんの売買予想。 目標株価： 750円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成,東レ,2014/08/07,07:21,買い予想,myu2007さん,16.08,694.0,+117.80,750,長期(数ヶ月～数年),配当(株主優待を含む),,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\102.html
東レ(3402)の買い予想。 ツーサン さんの売買予想。 目標株価： 839円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価839円,東レ,2014/07/18,10:48,買い予想,ツーサンさん,-10.61,683.0,+124.27,839,長期(数ヶ月～数年),その他,,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\103.html
東レ(3402)の買い予想。 kainuma さんの売買予想。 目標株価： 760円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,東レ,2014/05/29,17:53,買い予想,kainumaさん,146.37,650.0,+145.02,760,長期(数ヶ月～数年),その他,,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\104.html
東レ(3402)の買い予想。 生涯現役 さんの売買予想。 目標株価： 683円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東レ,2014/05/22,20:44,買い予想,生涯現役さん,79.35,636.0,+154.47,683,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\105.html
東レ(3402)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) レーティング【最上位を継続＋目標株価を増額】 (11月18日,東レ,2014/05/07,22:48,買い予想,☆くまもん☆さん,202.74,654.0,+142.39,900,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"11/18 年初来高値更新 881円
ＰＥＲ ＰＢＲ 利回り 信用倍率 
17.3倍 1.68倍 1.25％ 2.83倍 

880.0円 前日比  +37.9 (+4.50%) 

レーティング【最上位を継続＋目標株価を増額】　(11月18日)
東レ　　　メリル　　　買い　　　　830→930　　　　11/18


11/17 年初来高値更新 857.4円
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.6倍 1.61倍 1.31％ 2.83倍 

 842.1円　 +33.5 (+4.1％) 東証１部 上昇率7位

 　日経新聞が17日付で「東レは米ボーイングから航空機向けに最新の軽量素材の炭素繊維を1兆円分受注する」と報じたことが買い材料視された。報道によると「現行機と次期大型旅客機『７７７Ｘ』の主翼部分に今後10年以上にわたり独占供給する」という。年内にも正式契約するとしており、将来的な業績への寄与を期待した買いが向かった。


11/7 年初来高値更新 774.4円
ＰＥＲ ＰＢＲ 利回り 信用倍率 
15.2倍 1.48倍 1.42％ 2.68倍 

774.0円 前日比  +16.4 (+2.16%) 

レーティング【最上位を継続＋目標株価を増額】　(11月7日)
東レ　　　　野村　　　　買い　　　　830→880　　　　11/7
東レ　　　　ＵＢＳ　　　買い　　　　800→840　　　　11/7
東レ   　　　メリル　　　買い　　　　800→830　　　　11/7


10/30
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.7倍 1.42倍 1.39％ 7.78倍 

717.9円 前日比  +5.5 (+0.77%) 

上期経常を20％上方修正

　10月30日大引け後(18:00)に業績修正を発表。15年3月期第2四半期累計(4-9月)の連結経常利益を従来予想の470億円→564億円(前年同期は465億円)に20.0％上方修正し、増益率が1.0％増→21.2％増に拡大する見通しとなった。
 　なお、通期の経常利益は従来予想の1250億円(前期は1106億円)を据え置いた。


9/19
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.7倍 1.42倍 1.39％ 6.50倍 

717.4円　 +5.4 (+0.8％)　　　

 　18日付の朝刊で「工程時間40％以上短縮可能なSiC向け感光性耐熱レジストを開発」と一部報じられたことが買い材料視された。


9/3
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.9倍 1.44倍 1.38％ 7.11倍 

724.8円 前日比  +1.2 (+0.17%) 

レーティング【最上位を継続＋目標株価を増額】
東レ　　　　シティＧ　　買い　　　　770→820　　　　9/3


8/19
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.8倍 1.43倍 1.39％ 8.97倍 

 720円　 +11.7 (+1.7％)　　　

 　19日付の朝刊で「13種類のがんを採血1回で診断、技術開発へ」と一部報じられたことが買い材料視された。

レーティング【最上位を継続＋目標株価を増額】
東レ　　　　　メリル　　　買い　　　　785→800　　　　8/19


8/18
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.5倍 1.41倍 1.41％ 8.97倍 

708.3円　 +0.9 (+0.1％)　　

 　18日付の朝刊で「タッチパネル用電極材料に参入」と一部報じられたことが買い材料視された。


8/7
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.1倍 1.37倍 1.45％ 9.00倍 

691.7円 前日比  +4.6 (+0.67%) 

4-6月期(1Q)経常は12％増益で着地

　8月7日後場(13:00)に決算を発表。15年3月期第1四半期(4-6月)の連結経常利益は前年同期比12.1％増の224億円に伸び、4-9月期(上期)計画の470億円に対する進捗率は4年平均の43.4％を上回る47.7％に達した。
 　直近3ヵ月の実績である4-6月期(1Q)の売上営業利益率は前年同期の4.5％→4.8％に改善した。


7/29
ＰＥＲ ＰＢＲ 利回り 信用倍率 
16.4倍 1.34倍 1.42％ 12.98倍 

705.1円 前日比  +3.6 (+0.51%) 

レーティング【新規格付け】
東レ　　　　　大和　　　　新規に２　　780　　　　　　 7/29


7/9
ＰＥＲ 16.0倍
ＰＢＲ 1.30倍
利回り  1.46％
信用倍率 12.69倍   

687円　 +7 (+1.0％)　　　

 　日経新聞が9日付で「東レの2014年4～6月期の連結営業利益は前年同期実績から2割程度増えて、220億円前後となったもようだ」と報じたことが買い材料視された。報道によると「炭素繊維が航空機向けなどに順調に出荷を伸ばした。大型テレビ向けのフィルムといった電子部材も好調だった」としており、炭素繊維複合材料や情報通信材料・機器の好調による増益報道を好感した買いが向かった。


6/9
ＰＥＲ 15.3倍 
ＰＢＲ 1.24倍
利回り 1.53％
信用倍率 11.56倍   

655円 前日比  -3 (-0.46%) 

レーティング【最上位を継続】　
東レ　　　　　　みずほ　　　買い　　　　840→770　　　　6/9


5/22
ＰＥＲ 14.8倍
ＰＢＲ 1.21倍
利回り 1.57％
信用倍率 13.52倍 

636円 前日比 +4 (+0.63%) 

自社株買いの実施を発表
36,000,000株（上限とする）200億円（上限とする）
（発行済株式総数（自己株式を除く）に対する割合 2.21％）
取得期間 2014年5月23日から2014年7月31日まで


今期経常は13％増で2期連続最高益更新へ

　5月8日後場(13:00)に決算を発表。14年3月期の連結経常利益は前の期比25.4％増の1106億円になり、15年3月期も前期比13.0％増の1250億円に伸びを見込み、2期連続で過去最高益を更新する見通しとなった。5期連続増収になる。

 　直近3ヵ月の実績である1-3月期(4Q)の連結経常利益は前年同期比30.6％増の318億円に拡大し、売上営業利益率は前年同期の5.3％→6.2％に改善した。

決算発表日 2014/05/085",982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\106.html
"東レ(3402)の買い予想。 東海の博打打ち さんの売買予想。 目標株価： 1,348円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",東レ,2014/05/01,18:21,買い予想,東海の博打打ちさん,-3.56,670.0,+132.20,"1,348",短期(数分～数日),チャート,,982.5,04月08日,21:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3402-東レ/2017-04-08-21-39-27/comment\107.html
