概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"東京エレクトロン(8035)の買い予想。 ピエール＝ドンファン さんの売買予想。 目標株価： 15,000円 期間： 長期(数ヶ月～数年) 理由： その他 予想",東京エレクトロン,2017/04/05,12:34,買い予想,ピエール＝ドンファンさん,-2.12,"12,230.0",-3.04,"15,000",長期(数ヶ月～数年),その他,,"12,100.0",04月10日,02:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\1.html
"東京エレクトロン(8035)の買い予想。 クニハロー さんの売買予想。 目標株価： 12,866円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",東京エレクトロン,2017/01/27,00:16,買い予想,クニハローさん,-0.11,"11,980.0",+2.82,"12,866",中期(数週間～数ヶ月),チャート,,"12,100.0",04月10日,02:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\10.html
"東京エレクトロン(8035)の買い予想。 sanchome0512 さんの売買予想。 目標株価： 4,099円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",東京エレクトロン,2012/01/10,23:47,買い予想,sanchome0512さん,352.89,"4,000.0",+575.75,"4,099",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\100.html
"東京エレクトロン(8035)の買い予想。 しろ011 さんの売買予想。 目標株価： 10,000円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",東京エレクトロン,2011/12/07,10:00,買い予想,しろ011さん,392.53,"4,265.0",+522.31,"10,000",長期(数ヶ月～数年),チャート,,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\101.html
"東京エレクトロン(8035)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 4,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",東京エレクトロン,2011/11/14,18:31,買い予想,goodknight1987さん,319.77,"3,900.0","+1,195.62","4,500",長期(数ヶ月～数年),その他,,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\102.html
"東京エレクトロン(8035)の売り予想。 bur*t* さんの売買予想。 目標株価： 3,618円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に賛成",東京エレクトロン,2011/10/13,17:05,売り予想,bur*t*さん,-573.38,"4,020.0",-571.62,"3,618",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\103.html
"東京エレクトロン(8035)の買い予想。 taqtaq1981 さんの売買予想。 目標株価： 4,083円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",東京エレクトロン,2011/10/11,16:05,買い予想,taqtaq1981さん,591.77,"3,935.0",+589.96,"4,083",短期(数分～数日),業績(会社計画の修正発表を含む),,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\104.html
"東京エレクトロン(8035)の売り予想。 yosi_0701 さんの売買予想。 目標株価： 3,500円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り予想",東京エレクトロン,2011/09/21,10:51,売り予想,yosi_0701さん,74.93,"3,875.0",-603.65,"3,500",短期(数分～数日),業績(会社計画の修正発表を含む),,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\105.html
"東京エレクトロン(8035)の買い予想。 なかなか勝てん さんの売買予想。 目標株価： 4,500円 期間： 中期(数週間~数ヶ月) 理由： チャート 下がりすぎ",東京エレクトロン,2011/09/06,17:45,買い予想,なかなか勝てんさん,217.87,"3,540.0",+687.52,"4,500",中期(数週間～数ヶ月),チャート,,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\106.html
"東京エレクトロン(8035)の買い予想。 ﾁｰﾌ さんの売買予想。 目標株価： 5,200円 期間： 中期(数週間~数ヶ月) 理由： チャート 底値買い",東京エレクトロン,2011/09/04,07:18,買い予想,ﾁｰﾌさん,507.41,"3,590.0",+673.98,"5,200",中期(数週間～数ヶ月),チャート,,"12,100.0",04月10日,02:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8035-東京エレクトロン/2017-04-10-02-53-23/comment\107.html
