0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"東京ドーム(9681)の買い予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,086円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 15.0pkk",東京ドーム,2017/04/09,22:54,買い予想,７本ＤＭさん,0.86,"1,036.0",-1.09,"1,085",中期(数週間～数ヶ月),個人投資家の予想,,"1,035.0",04月10日,14:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\1.html
"東京ドーム(9681)の買い予想。 pinksapphire さんの売買予想。 目標株価： 1,110円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",東京ドーム,2016/04/21,00:46,買い予想,pinksapphireさん,40.24,958.0,+21.96,"1,110",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/04/20 04:40
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「555円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","1,035.0",04月10日,14:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\10.html
東京ドーム(9681)の売り予想。 fogshadow085896 さんの売買予想。 目標株価： 384円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対,東京ドーム,2011/01/31,18:15,売り予想,fogshadow085896さん,52.56,402.0,-447.05,384,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/01/29 03:36
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「254円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。

","1,035.0",04月10日,14:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\100.html
東京ドーム(9681)の売り予想。 押し目買う蔵 さんの売買予想。 目標株価： 368円 期間： 中期(数週間~数ヶ月) 理由： その他 売りかな？,東京ドーム,2011/01/30,22:25,売り予想,押し目買う蔵さん,-276.28,384.0,-481.33,368,中期(数週間～数ヶ月),その他,(?_?),"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\101.html
東京ドーム(9681)の売り予想。 ちぇき さんの売買予想。 目標株価： 396円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「売り」に賛成,東京ドーム,2011/01/30,20:22,売り予想,ちぇきさん,-198.28,384.0,-481.33,396,短期(数分～数日),イベント(増資／合弁・買収／分割等),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\102.html
東京ドーム(9681)の売り予想。 ｴﾘｼﾝ さんの売買予想。 目標株価： 360円 期間： 短期(数分~数日) 理由： その他 売り,東京ドーム,2011/01/30,19:21,売り予想,ｴﾘｼﾝさん,174.79,384.0,-481.33,360,短期(数分～数日),その他,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\103.html
東京ドーム(9681)の買い予想。 まめこ さんの売買予想。 目標株価： 520円 期間： 中期(数週間~数ヶ月) 理由： チャート 下落しすぎ,東京ドーム,2011/01/25,13:53,買い予想,まめこさん,489.69,430.0,+398.10,520,中期(数週間～数ヶ月),チャート,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\104.html
東京ドーム(9681)の売り予想。 てんてんごっと さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り,東京ドーム,2011/01/22,07:10,売り予想,てんてんごっとさん,227.04,422.0,-412.38,400,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\105.html
東京ドーム(9681)の売り予想。 ｷﾂﾈのお面 さんの売買予想。 目標株価： 390円 期間： 中期(数週間~数ヶ月) 売り,東京ドーム,2010/11/30,23:01,売り予想,ｷﾂﾈのお面さん,-113.77,430.0,-399.42,390,中期(数週間～数ヶ月),,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\106.html
東京ドーム(9681)の売り予想。 空飛ぶ モンティ・パイ さんの売買予想。 目標株価： 644円 個人投資家の意見「売り」に賛成,東京ドーム,2010/11/18,12:21,売り予想,空飛ぶ モンティ・パイさん,-418.66,428.0,-402.62,644,,,なんとなくドル資金の巻き戻しがおこったあとみたなカンジだから,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\107.html
東京ドーム(9681)の買い予想。 deepst さんの売買予想。 目標株価： 560円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ビバ,東京ドーム,2010/07/11,22:21,買い予想,deepstさん,193.93,466.0,+345.38,560,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\108.html
東京ドーム(9681)の買い予想。 daisuke1116 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： その他 どーむ,東京ドーム,2010/07/05,02:57,買い予想,daisuke1116さん,161.02,452.0,+364.88,500,長期(数ヶ月～数年),その他,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\109.html
東京ドーム(9681)の買い予想。 monster-cat さんの売買予想。 目標株価： 998円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価499円,東京ドーム,2016/04/20,23:33,買い予想,monster-catさん,23.16,958.0,+21.96,998,短期(数分～数日),チャート,,"1,035.0",04月10日,14:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\11.html
東京ドーム(9681)の買い予想。 スイング仕事人 さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 9月に向けて買いが続く,東京ドーム,2010/06/13,23:50,買い予想,スイング仕事人さん,552.37,484.0,+321.96,700,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\110.html
東京ドーム(9681)の買い予想。 flap さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： チャート かい,東京ドーム,2010/05/11,01:26,買い予想,flapさん,-300.12,520.0,+279.98,600,中期(数週間～数ヶ月),チャート,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\111.html
東京ドーム(9681)の買い予想。 yumeco さんの売買予想。 目標株価： 640円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 創業100周年,東京ドーム,2009/10/09,22:56,買い予想,yumecoさん,142.44,548.0,+251.15,640,中期(数週間～数ヶ月),配当(株主優待を含む),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\112.html
東京ドーム(9681)の買い予想。 frelon さんの売買予想。 目標株価： 660円 期間： 中期(数週間~数ヶ月) 理由： チャート みんかぶシストレ － シグナルランキングから予想,東京ドーム,2009/09/24,19:51,買い予想,frelonさん,-48.44,582.0,+219.86,660,中期(数週間～数ヶ月),チャート,"シグナル発生日時：2009/9/24　
シグナル発生内容：買いシグナルランキング 24位（59件）　

現在のシグナルランキング：
http://st.minkabu.jp/","1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\113.html
東京ドーム(9681)の買い予想。 keepura さんの売買予想。 目標株価： 642円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,東京ドーム,2009/08/27,18:00,買い予想,keepuraさん,162.99,582.0,+219.86,642,中期(数週間～数ヶ月),チャート,,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\114.html
"東京ドーム,9681,TOKYODOME,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",東京ドーム,2009/08/14,22:27,売り予想,kabusureさん,150.34,572.0,-229.67,4,,,　,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\115.html
東京ドーム(9681)の売り予想。 tyoukai さんの売買予想。 目標株価： 520円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り,東京ドーム,2009/07/28,20:58,売り予想,tyoukaiさん,90.19,610.0,-197.65,520,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,035.0",04月10日,14:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9681-東京ドーム/2017-04-10-14-50-38/comment\116.html
