0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"東京建物(8804)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 1,783円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東京建物,2017/04/01,12:01,買い予想,徳川慶喜さん,-2.73,"1,485.0",+1.91,"1,783",長期(数ヶ月～数年),個人投資家の予想,,"1,487.0",04月10日,10:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\1.html
"東京建物(8804)の買い予想。 buru-san さんの売買予想。 目標株価： 2,582円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東京建物,2016/02/19,19:23,買い予想,buru-sanさん,1.76,"1,280.0",+47.76,"2,582",長期(数ヶ月～数年),個人投資家の予想,,"1,487.0",04月10日,10:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\10.html
"東京建物(8804)の買い予想。 とおる４１ さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) リバウンド期待",東京建物,2009/05/09,12:41,買い予想,とおる４１さん,501.17,836.0,+223.81,"1,400",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\100.html
東京建物(8804)の売り予想。 カイン＋α さんの売買予想。 目標株価： 9円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) ウリ,東京建物,2009/04/14,00:41,売り予想,カイン＋αさん,-1168.46,814.0,-238.24,8,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\101.html
"東京建物(8804)の買い予想。 ﾐﾊｴﾙ さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 買い",東京建物,2009/04/05,09:01,買い予想,ﾐﾊｴﾙさん,428.06,640.0,+379.44,"1,000",長期(数ヶ月～数年),,,"1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\102.html
東京建物(8804)の売り予想。 まつのすけーーーーーーーー さんの売買予想。 目標株価： 9円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 日本経済に、夢をこめて,東京建物,2009/02/25,19:57,売り予想,まつのすけーーーーーーーーさん,-92.33,424.0,-718.94,8,短期(数分～数日),業績(会社計画の修正発表を含む),"夢を込めてみました。プラスになるように。
変わり者です","1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\103.html
東京建物(8804)の売り予想。 人生逆転HR さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) デベ全部売りじゃ,東京建物,2009/02/20,10:14,売り予想,人生逆転HRさん,-689.32,456.0,-648.54,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\104.html
東京建物(8804)の買い予想。 masmi1654 さんの売買予想。 目標株価： 780円 期間： 中期(数週間~数ヶ月) 理由： チャート 強気,東京建物,2009/02/15,22:11,買い予想,masmi1654さん,304.66,508.0,+551.92,780,中期(数週間～数ヶ月),チャート,,"1,485.0",04月10日,10:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\105.html
東京建物(8804)の売り予想。 ミミちゃん さんの売買予想。 目標株価： 400円 １月の都心オフィス空室率12ヶ月連続上昇,東京建物,2009/02/13,00:14,売り予想,ミミちゃんさん,168.79,530.0,-518.28,400,,,１月の都心オフィス空室率12ヶ月連続上昇NEWSミミ,"1,485.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\106.html
東京建物(8804)の買い予想。 and@ryu さんの売買予想。 目標株価： 640円 期間： 短期(数分~数日) 理由： その他 kai,東京建物,2009/02/02,13:15,買い予想,and@ryuさん,203.31,600.0,+423.69,640,短期(数分～数日),その他,,"1,485.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\107.html
東京建物(8804)の買い予想。 ディーン さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) パニック売り,東京建物,2009/01/13,14:45,買い予想,ディーンさん,283.84,654.0,+365.23,900,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,485.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\108.html
東京建物(8804)の買い予想。 ブルーマウンテン さんの売買予想。 目標株価： 720円 期間： 長期(数ヶ月～数年) 長期で買いました,東京建物,2008/11/24,22:50,買い予想,ブルーマウンテンさん,463.6,560.0,+474.27,720,長期(数ヶ月～数年),,このＰＢＲは、カイでしょう。潰れるよな会社じゃないし、カイましょう。,"1,485.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\109.html
"東京建物(8804)の買い予想。 夢想人 さんの売買予想。 目標株価： 2,200円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",東京建物,2016/02/14,23:24,買い予想,夢想人さん,37.1,"1,105.0",+100.36,"2,200",中期(数週間～数ヶ月),その他,"【株価分析結果】2016/02/13 04:05　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,182円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。","1,487.0",04月10日,10:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\11.html
東京建物(8804)の買い予想。 よさくさん さんの売買予想。 目標株価： 9円 期間： 短期(数分~数日) 買い,東京建物,2008/10/14,14:19,買い予想,よさくさんさん,-112.55,840.0,+221.39,8,短期(数分～数日),,,"1,485.0",04月10日,10:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8804-東京建物/2017-04-10-10-34-18/comment\110.html
