概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"東京急行電鉄(9005)の買い予想。 マッチポイント さんの売買予想。 目標株価： 1,191円 期間： 長期(数ヶ月～数年) 理由： その他 いいよ",東京急行電鉄,2017/03/30,20:09,買い予想,マッチポイントさん,66.7,799.0,+3.91,"1,191",長期(数ヶ月～数年),その他,"パナソニックと東急電鉄、2017年4月3日に合弁会社を設立　最先端技術LinkRayを活用したスマートフォン向け情報配信サービスを開始(PR Times)
2017/03/15(20:19)
http://s.minkabu.jp/stock/9005/news/1253951",809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\1.html
"東京急行電鉄(9005)の買い予想。 t-oku さんの売買予想。 目標株価： 1,048円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東京急行電鉄,2016/11/10,15:35,買い予想,t-okuさん,47.03,806.0,+1.41,"1,047",中期(数週間～数ヶ月),個人投資家の予想,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\10.html
東京急行電鉄(9005)の売り予想。 あひるＺ さんの売買予想。 目標株価： 735円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,東京急行電鉄,2016/10/12,08:06,売り予想,あひるＺさん,-9.07,750.0,-23.50,735,長期(数ヶ月～数年),チャート,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\11.html
東京急行電鉄(9005)の売り予想。 ねおん さんの売買予想。 目標株価： 751円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価751円,東京急行電鉄,2016/08/12,19:06,売り予想,ねおんさん,9.47,802.0,-3.54,751,中期(数週間～数ヶ月),チャート,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\12.html
東京急行電鉄(9005)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 945円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価944円,東京急行電鉄,2016/07/08,17:00,買い予想,リサ・ランドールさん,137.27,879.0,-22.32,945,長期(数ヶ月～数年),その他,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\13.html
東京急行電鉄(9005)の買い予想。 shimom さんの売買予想。 目標株価： 931円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価930円,東京急行電鉄,2016/06/29,20:43,買い予想,shimomさん,-25.5,895.0,-27.00,931,短期(数分～数日),業績(会社計画の修正発表を含む),,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\14.html
東京急行電鉄(9005)の買い予想。 pinksapphire さんの売買予想。 目標株価： 976円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東京急行電鉄,2016/04/21,00:44,買い予想,pinksapphireさん,40.24,980.0,-49.32,976,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■東京急行電鉄  　973円　 +8 円 (+0.8％)　　本日終値
　東京急行電鉄、相鉄ホールディングス、西武ホールディングスなど私鉄各社が上昇したほか、ＪＲ東日本、ＪＲ東海なども物色人気を集めており、電鉄セクターへの買いが目立っている。１９日、政府の産業競争力会議がまとめたＧＤＰ６００兆円に向けた市場創出計画では。ローカルアベノミクスの深化を担う観光立国の構想が挙げられており、そのなかで外国人旅行消費額３．５兆円（２０１５年ベース）を、東京五輪開催年の２０年に８兆円に高める計画が掲げられている。電鉄セクターは訪日外国人を運ぶ物流面のインフラを担うほか、ホテルや不動産事業にも展開しており、ローカルアベノミクスの政策推進と合わせ、ビジネスチャンスが広がっていく。",809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\15.html
東京急行電鉄(9005)の買い予想。 夢想人 さんの売買予想。 目標株価： 934円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割高」に反対,東京急行電鉄,2016/02/12,07:42,買い予想,夢想人さん,37.1,850.0,-13.38,934,中期(数週間～数ヶ月),個人投資家の予想,【株価分析結果】2016/02/11 04:18　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「828円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\16.html
東京急行電鉄(9005)の売り予想。 松岡政也 さんの売買予想。 目標株価： 472円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,東京急行電鉄,2015/12/19,13:19,売り予想,松岡政也さん,-25.38,937.0,+37.93,472,長期(数ヶ月～数年),その他,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\17.html
東京急行電鉄(9005)の買い予想。 しぇりんぐ さんの売買予想。 目標株価： 956円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,東京急行電鉄,2015/08/15,14:46,買い予想,しぇりんぐさん,-46.63,950.0,-41.90,956,長期(数ヶ月～数年),個人投資家の予想,,809.0,04月10日,10:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9005-東京急行電鉄/2017-04-10-10-44-57/comment\18.html
