0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"東京海上ホールディングス(8766)の買い予想。 田園調布 さんの売買予想。 目標株価： 4,800円 期間： 中期(数週間~数ヶ月) 理由： チャート 割安管",東京海上ホールディングス,2017/04/03,22:10,買い予想,田園調布さん,19.15,"4,672.0",-4.19,"4,800",中期(数週間～数ヶ月),チャート,,"4,589.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\1.html
"東京海上ホールディングス(8766)の買い予想。 貧乏公家 さんの売買予想。 目標株価： 5,100円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東京海上ホールディングス,2016/12/20,22:35,買い予想,貧乏公家さん,122.24,"5,019.0",-23.56,"5,100",短期(数分～数日),個人投資家の予想,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\10.html
"東京海上ホールディングス(8766)の買い予想。 みわっち さんの売買予想。 目標株価： 5,877円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 上昇気流",東京海上ホールディングス,2016/12/10,03:58,買い予想,みわっちさん,4.17,"5,360.0",-40.16,"5,877",中期(数週間～数ヶ月),個人投資家の予想,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\11.html
"東京海上ホールディングス(8766)の買い予想。 なおき投資 さんの売買予想。 目標株価： 5,990円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",東京海上ホールディングス,2016/11/19,07:13,買い予想,なおき投資さん,15.05,"4,710.0",-6.45,"5,990",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 04:28
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「5,759円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも高い為、相対比較の観点からは割安と判断されます。
","4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\12.html
"東京海上ホールディングス(8766)の買い予想。 kosh さんの売買予想。 目標株価： 4,600円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い",東京海上ホールディングス,2016/11/14,12:00,買い予想,koshさん,9.57,"4,572.0",+1.92,"4,600",中期(数週間～数ヶ月),個人投資家の予想,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\13.html
"東京海上ホールディングス(8766)の買い予想。 タツ1101 さんの売買予想。 目標株価： 4,877円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価4,877円",東京海上ホールディングス,2016/09/23,17:53,買い予想,タツ1101さん,52.1,"4,073.0",+37.00,"4,877",中期(数週間～数ヶ月),個人投資家の予想,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\14.html
"東京海上ホールディングス(8766)の買い予想。 kooljoker さんの売買予想。 目標株価： 4,502円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価4,502円",東京海上ホールディングス,2016/09/14,21:33,買い予想,kooljokerさん,24.26,"3,883.0",+52.72,"4,502",中期(数週間～数ヶ月),チャート,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\15.html
"東京海上ホールディングス(8766)の買い予想。 咲紅羅坂桜子 さんの売買予想。 目標株価： 4,891円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",東京海上ホールディングス,2016/08/05,08:07,買い予想,咲紅羅坂桜子さん,15.35,"3,745.0",+65.14,"4,890",長期(数ヶ月～数年),チャート,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\16.html
"東京海上ホールディングス(8766)の買い予想。 魔女＆ジジの宅配便 さんの売買予想。 目標株価： 3,757円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 h",東京海上ホールディングス,2016/07/03,15:42,買い予想,魔女＆ジジの宅配便さん,7.33,"3,398.0",+100.83,"3,756",長期(数ヶ月～数年),個人投資家の予想,,"4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\17.html
"東京海上ホールディングス(8766)の買い予想。 くまー さんの売買予想。 目標株価： 4,742円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",東京海上ホールディングス,2016/06/29,23:16,買い予想,くまーさん,64.61,"3,441.0",+96.02,"4,742",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/29 04:23　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「5,314円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","4,593.0",04月10日,10:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8766-東京海上ホールディングス/2017-04-10-10-15-52/comment\18.html
