0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
東京ガス(9531)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 518円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東京瓦斯,2017/04/01,11:59,買い予想,徳川慶喜さん,-2.73,513.7,-1.77,518,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2017/04/01 04:29　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「518円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。,510.8,04月10日,14:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\1.html
東京ガス(9531)の買い予想。 startan さんの売買予想。 目標株価： 529円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価524円,東京瓦斯,2016/07/07,14:55,買い予想,startanさん,125.32,424.3,+57.77,529,長期(数ヶ月～数年),その他,,510.8,04月10日,14:34,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\10.html
東京ガス(9531)の買い予想。 fukuyo51 さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： チャート 上値が重いが,東京瓦斯,2009/07/07,16:39,買い予想,fukuyo51さん,118.85,355.0,+124.55,400,中期(数週間～数ヶ月),チャート,,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\100.html
東京ガス(9531)の買い予想。 pag さんの売買予想。 目標株価： 421円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東京瓦斯,2009/07/05,02:51,買い予想,pagさん,84.42,349.0,+131.58,421,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2009/07/04 03:31
割安

【ファンダメンタルズ分析】
この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
但し、この銘柄の株価が「421円」を超えると割高圏内に入ります。なお、この銘柄は過去2年間においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。


【バリュエーション】
過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。
一方、この銘柄のPSRは同一業種銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種を対象に売上動向が比較されている可能性があります。また、この銘柄は過去2年間、相対比較においてプレミアム評価される傾向にある為、それを考慮します。
結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。 

",510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\101.html
"東京ガス,9531,TOKYOGAS,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",東京瓦斯,2009/06/22,17:12,買い予想,f-boneさん,289.57,347.0,+133.98,--,,,　,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\102.html
東京ガス(9531)の買い予想。 ｶﾌﾞｶﾌﾞｶﾌﾞｺ さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： チャート ｶｳ,東京瓦斯,2009/06/09,08:45,買い予想,ｶﾌﾞｶﾌﾞｶﾌﾞｺさん,406.0,349.0,+131.58,400,中期(数週間～数ヶ月),チャート,仕込んどく,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\103.html
東京ガス(9531)の買い予想。 ﾌﾞﾙｰ鮪 さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,東京瓦斯,2009/06/09,00:24,買い予想,ﾌﾞﾙｰ鮪さん,432.01,349.0,+131.58,400,中期(数週間～数ヶ月),その他,,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\104.html
東京ガス(9531)の買い予想。 強情泥鰌 さんの売買予想。 ＜本文は削除済みです＞ みんかぶ運営事務局,東京瓦斯,2009/05/23,02:30,買い予想,強情泥鰌さん,10.96,355.0,+124.55,--,,,"＜利用規約に抵触する内容のため、本文を削除しました＞
 みんかぶ運営事務局",510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\105.html
東京ガス(9531)の買い予想。 dataplex さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： チャート 上昇トレンド入りか,東京瓦斯,2009/05/11,00:53,買い予想,dataplexさん,154.72,367.0,+111.18,--,中期(数週間～数ヶ月),チャート,,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\106.html
東京ガス(9531)の買い予想。 AAI Fund さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート kai,東京瓦斯,2009/04/16,08:54,買い予想,AAI Fundさん,594.97,352.0,+128.04,500,中期(数週間～数ヶ月),チャート,,510.5,04月10日,14:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9531-東京瓦斯/2017-04-10-14-33-58/comment\107.html
