概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
東京電力ホールディングス(9501)の売り予想。 コーチン鳥 さんの売買予想。 目標株価： 316円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価539円,東京電力ホールディングス,2017/04/09,10:37,売り予想,コーチン鳥さん,25.36,427.0,+1.99,316,短期(数分～数日),その他,,422.0,04月10日,13:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1.html
東京電力ホールディングス(9501)の売り予想。 Kazunori Murai さんの売買予想。 目標株価： 406円 期間： 中期(数週間~数ヶ月) 理由： みんかぶポートフォリオ みんかぶポートフォリオから売りと予想,東京電力ホールディングス,2017/03/17,15:04,売り予想,Kazunori  Muraiさん,-2.03,419.0,-3.39,406,中期(数週間～数ヶ月),みんかぶポートフォリオ,,422.0,04月10日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\10.html
東京電力ホールディングス(9501)の買い予想。 ポップコーンⅢ さんの売買予想。 目標株価： 750円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価750円,東京電力ホールディングス,2016/06/09,16:41,買い予想,ポップコーンⅢさん,-2.44,471.0,-29.58,750,長期(数ヶ月～数年),チャート,,422.0,04月10日,13:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\100.html
東京電力ホールディングス(9501)の売り予想。 yuu0214 さんの売買予想。 目標株価： 266円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,東京電力ホールディングス,2011/11/21,11:23,売り予想,yuu0214さん,257.78,283.0,-140.67,266,中期(数週間～数ヶ月),チャート,,423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1000.html
東京電力ホールディングス(9501)の買い予想。 ひっき さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,東京電力ホールディングス,2011/11/18,22:14,買い予想,ひっきさん,-227.35,291.0,+127.03,350,中期(数週間～数ヶ月),チャート,,423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1001.html
東京電力ホールディングス(9501)の買い予想。 ﾁﾋﾞﾀ さんの売買予想。 目標株価： 293円 期間： 短期(数分~数日) 理由： その他 買い！,東京電力ホールディングス,2011/11/18,08:02,買い予想,ﾁﾋﾞﾀさん,231.49,290.0,+128.45,293,短期(数分～数日),その他,"今日あたり　値が上がらないと
285 ~ 下になるかなぁ～？　
期待込めて　買いに　変更します。",423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1002.html
東京電力ホールディングス(9501)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 330円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,東京電力ホールディングス,2011/11/15,12:20,買い予想,goodknight1987さん,319.77,303.0,+110.74,330,中期(数週間～数ヶ月),その他,,423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1003.html
東京電力ホールディングス(9501)の買い予想。 迷探偵困難 さんの売買予想。 目標株価： 378円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,東京電力ホールディングス,2011/11/13,17:27,買い予想,迷探偵困難さん,220.92,297.0,+237.44,378,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1004.html
東京電力ホールディングス(9501)の買い予想。 11年10月に始めた株初心者 さんの売買予想。 目標株価： 320円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,東京電力ホールディングス,2011/11/11,17:43,買い予想,11年10月に始めた株初心者さん,-451.13,297.0,+118.72,320,短期(数分～数日),チャート,,423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1005.html
東京電力ホールディングス(9501)の売り予想。 gen0414 さんの売買予想。 目標株価： 470円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 当分売らないぞ,東京電力ホールディングス,2011/11/10,22:20,売り予想,gen0414さん,39.71,291.0,-128.98,470,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"株主総会で反対票を投じるために購入した（購入し過ぎた…笑）。次期総会でも責任追及するぞ！
執行部の責任を取らせるまでは、いくら下がっても頑張って持ってます。",423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1006.html
東京電力ホールディングス(9501)の買い予想。 ガチムチうほっ さんの売買予想。 目標株価： 380円 期間： 中期(数週間~数ヶ月) 理由： チャート ここが底値,東京電力ホールディングス,2011/11/10,20:13,買い予想,ガチムチうほっさん,146.99,291.0,+127.03,380,中期(数週間～数ヶ月),チャート,"東電が大幅反発、赤字転落見通しでいったん「悪材料出尽くし」に(株式ネット新聞)
2011/11/07(19:44)
http://minkabu.jp/stock/9501/news/275802",423.0,04月10日,13:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9501-東京電力ホールディングス/2017-04-10-13-01-42/comment\1007.html
