0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"東宝(9602)の買い予想。 rEgAIn さんの売買予想。 目標株価： 3,906円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想",東宝,2017/03/27,21:38,買い予想,rEgAInさん,23.94,"3,000.0",+4.17,"3,906",長期(数ヶ月～数年),その他,,"3,045.0",04月10日,14:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\1.html
"東宝(9602)の買い予想。 parrot さんの売買予想。 目標株価： 3,400円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価3,400円",東宝,2016/10/09,15:16,買い予想,parrotさん,-5.71,"3,215.0",-15.12,"3,400",中期(数週間～数ヶ月),個人投資家の予想,,"3,045.0",04月10日,14:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\10.html
東宝(9602)の買い予想。 taisyokusya さんの売買予想。 期間： 中期(数週間~数ヶ月) ふふふ,東宝,2008/12/12,14:40,買い予想,taisyokusyaさん,137.66,"1,773.0",+203.84,--,中期(数週間～数ヶ月),,,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\100.html
東宝(9602)の買い予想。 gangan0403 さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： その他 買い,東宝,2008/11/14,21:06,買い予想,gangan0403さん,-189.57,"1,780.0",+201.92,--,長期(数ヶ月～数年),その他,,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\101.html
"東宝(9602)の買い予想。 づっちー さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買います",東宝,2008/11/01,19:09,買い予想,づっちーさん,214.32,"1,986.0",+151.48,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"映画が当たれば
","3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\102.html
"東宝(9602)の買い予想。 ひでとし さんの売買予想。 目標株価： 1,700円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです。",東宝,2008/10/28,21:03,買い予想,ひでとしさん,193.2,"1,739.0",+213.39,"1,700",中期(数週間～数ヶ月),チャート,,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\103.html
"東宝,9602,TOHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",東宝,2008/10/21,16:31,買い予想,猫まさひこさん,493.39,"1,734.0",+214.82,--,,チャート,,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\104.html
"東宝,9602,TOHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",東宝,2008/10/14,20:40,買い予想,ごるどらさん,350.13,"1,730.0",+215.98,--,短期(数分～数日),,,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\105.html
"東宝(9602)の買い予想。 はりこ さんの売買予想。 目標株価： 3,500円 期間： 長期(数ヶ月～数年) 理由： その他 絶対に買い（たいなぁ・・・）",東宝,2008/07/31,12:42,買い予想,はりこさん,196.14,"2,255.0",+198.98,"3,500",長期(数ヶ月～数年),その他,"村上春樹著「ノルウェイの森」が映画化です。

20年以上前の作品ですが、現在も生き続けている作品ですし、その間に育ったファンは多数。潜在的なファンも多いことだろうと思います。私も熱烈なファンのひとりとして、ここは買いの一手です。

再来年末あたりに伸びるかなぁ？","3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\106.html
"東宝(9602)の買い予想。 ターライオン さんの売買予想。 目標株価： 2,400円 期間： 短期(数分~数日) 理由： チャート ホニョ効果",東宝,2008/07/23,18:05,買い予想,ターライオンさん,205.6,"2,205.0",+108.19,"2,400",短期(数分～数日),チャート,ポニョ効果で１割ゲットしたら、即売りですかね～,"3,045.0",04月10日,14:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9602-東宝/2017-04-10-14-41-43/comment\107.html
