概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
東急不動産ホールディングス(3289)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 652円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東急不動産ホールディングス,2017/04/01,12:03,買い予想,徳川慶喜さん,-2.73,608.0,-1.87,652,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2017/04/01 02:01　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「652円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。,605.0,04月08日,21:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\1.html
東急不動産ホールディングス(3289)の買い予想。 つころ さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価800円,東急不動産ホールディングス,2016/12/20,07:13,買い予想,つころさん,-17.69,707.0,-41.42,800,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\10.html
東急不動産ホールディングス(3289)の買い予想。 としちゃんさん さんの売買予想。 目標株価： 753円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,東急不動産ホールディングス,2016/12/09,00:34,買い予想,としちゃんさんさん,-40.33,705.0,-40.73,753,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2016/12/08 02:03　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「685円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。,605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\11.html
東急不動産ホールディングス(3289)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 399円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に賛成,東急不動産ホールディングス,2016/10/23,23:20,売り予想,エグゼクティブ・まっちさん,-14.13,571.0,-17.43,399,長期(数ヶ月～数年),チャート,,605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\12.html
東急不動産ホールディングス(3289)の買い予想。 musashiXP さんの売買予想。 目標株価： 730円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東急不動産ホールディングス,2016/10/20,08:34,買い予想,musashiXPさん,4.55,547.0,+29.63,730,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/10/20 02:03
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「609円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\13.html
東急不動産ホールディングス(3289)の買い予想。 千なり さんの売買予想。 目標株価： 572円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成,東急不動産ホールディングス,2016/10/19,16:18,買い予想,千なりさん,2.45,547.0,+29.63,572,中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2016/10/19 02:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「606円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

",605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\14.html
東急不動産ホールディングス(3289)の買い予想。 ff86jj さんの売買予想。 目標株価： 590円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 @,東急不動産ホールディングス,2016/10/13,22:50,買い予想,ff86jjさん,22.03,532.0,+38.48,590,長期(数ヶ月～数年),個人投資家の予想,,605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\15.html
東急不動産ホールディングス(3289)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 585円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,東急不動産ホールディングス,2016/10/05,15:17,買い予想,kouboudaisiさん,12.36,535.0,+36.67,585,中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/10/05 02:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「606円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\16.html
東急不動産ホールディングス(3289)の買い予想。 春夏冬二升五合 さんの売買予想。 目標株価： 569円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価567円,東急不動産ホールディングス,2016/10/04,21:20,買い予想,春夏冬二升五合さん,11.37,537.0,+35.47,569,短期(数分～数日),業績(会社計画の修正発表を含む),,605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\17.html
東急不動産ホールディングス(3289)の買い予想。 moko♡ さんの売買予想。 目標株価： 568円 期間： 中期(数週間~数ヶ月) 理由： その他 買い♪,東急不動産ホールディングス,2016/09/20,14:33,買い予想,moko♡さん,338.94,543.0,+31.94,568,中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ 
",605.0,04月08日,21:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3289-東急不動産ホールディングス/2017-04-08-21-15-42/comment\18.html
