0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ＪＲ東日本(9020)の買い予想。 twitter88 さんの売買予想。 目標株価： 11,317円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価11,314円",東日本旅客鉄道,2017/03/27,16:48,買い予想,twitter88さん,-0.95,"9,806.0",-0.40,"11,317",長期(数ヶ月～数年),チャート,,"9,766.0",04月10日,10:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\1.html
"ＪＲ東日本(9020)の買い予想。 buriburiburi さんの売買予想。 目標株価： 10,050円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",東日本旅客鉄道,2016/11/02,16:22,買い予想,buriburiburiさん,18.23,"9,055.0",+23.14,"10,050",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/02 04:32　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「10,829円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","9,766.0",04月10日,10:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\10.html
"ＪＲ東日本(9020)の買い予想。 RAiZ さんの売買予想。 目標株価： 5,874円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 代表的なディフェンシブ銘柄",東日本旅客鉄道,2012/03/21,06:42,買い予想,RAiZさん,277.29,"5,310.0",+240.01,"5,874",長期(数ヶ月～数年),配当(株主優待を含む),特損なども含む純利益は減額傾向だが、売上高は安定的。景気が回復傾向になれば出張が増え、多少の売上高の成長も見込める。電気代の上昇が経営にどう影響するかが懸念されるが、長期的（数年）な投資としては良いと思う。,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\100.html
"ＪＲ東日本(9020)の買い予想。 中学生 さんの売買予想。 目標株価： 5,582円 期間： 中期(数週間~数ヶ月) 理由： その他 今こそ買い",東日本旅客鉄道,2012/03/09,23:35,買い予想,中学生さん,286.63,"5,440.0",+227.48,"5,582",中期(数週間～数ヶ月),その他,,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\101.html
"ＪＲ東日本(9020)の買い予想。 稲穂実る さんの売買予想。 目標株価： 568,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) ほっぽや",東日本旅客鉄道,2011/11/14,23:36,買い予想,稲穂実るさん,410.9,"4,810.0",+294.52,"568,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\102.html
"ＪＲ東日本(9020)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 5,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",東日本旅客鉄道,2011/11/14,17:24,買い予想,goodknight1987さん,319.77,"4,810.0",+294.52,"5,500",長期(数ヶ月～数年),その他,,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\103.html
"ＪＲ東日本(9020)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 5,071円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",東日本旅客鉄道,2011/10/22,16:40,買い予想,リサ・ランドールさん,137.27,"4,600.0",+320.95,"5,071",中期(数週間～数ヶ月),その他,,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\104.html
"ＪＲ東日本(9020)の買い予想。 moko♡ さんの売買予想。 目標株価： 4,777円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡",東日本旅客鉄道,2011/09/21,21:07,買い予想,moko♡さん,338.94,"4,555.0",+326.93,"4,777",中期(数週間～数ヶ月),チャート,mokoファンド♡  ,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\105.html
"ＪＲ東日本(9020)の買い予想。 やじうまうなぎ さんの売買予想。 目標株価： 5,500円 期間： 中期(数週間~数ヶ月) 理由： チャート 短期間投資",東日本旅客鉄道,2011/09/17,07:02,買い予想,やじうまうなぎさん,312.56,"4,590.0",+322.27,"5,500",中期(数週間～数ヶ月),チャート,"多少上下はするが、10/27で５５００円程度の伸び。
何かイベントがあれば、投資期間を延長","9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\106.html
"ＪＲ東日本(9020)の買い予想。 山立て さんの売買予想。 目標株価： 6,877円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",東日本旅客鉄道,2011/09/05,00:32,買い予想,山立てさん,238.45,"4,580.0",+323.59,"6,877",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"9,762.0",04月10日,10:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9020-東日本旅客鉄道/2017-04-10-10-53-11/comment\107.html
