0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
東洋紡(3101)の買い予想。 ゴマダレ さんの売買予想。 目標株価： 263円 期間： 長期(数ヶ月～数年) 理由： その他 ＠＠,東洋紡,2017/03/28,09:41,買い予想,ゴマダレさん,-5.84,202.0,-15.48,262,長期(数ヶ月～数年),その他,,192.0,04月08日,21:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\1.html
東洋紡(3101)の買い予想。 新茶小姐 さんの売買予想。 目標株価： 205円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東洋紡,2016/02/02,21:26,買い予想,新茶小姐さん,12.59,155.0,+66.04,205,短期(数分～数日),業績(会社計画の修正発表を含む),,192.0,04月08日,21:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\10.html
東洋紡(3101)の買い予想。 影船九番艦 さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： その他 買い,東洋紡,2009/05/15,19:36,買い予想,影船九番艦さん,450.24,155.0,+66.04,--,長期(数ヶ月～数年),その他,和製水メジャー参画企業は期待します,192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\100.html
東洋紡(3101)の買い予想。 ベルーナ=アイリ さんの売買予想。 ＜本文は削除済みです＞ みんかぶ運営事務局,東洋紡,2009/05/01,02:30,買い予想,ベルーナ=アイリさん,76.21,144.0,+92.81,--,,,"＜利用規約に抵触する内容のため、本文を削除しました＞
 みんかぶ運営事務局",192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\101.html
東洋紡(3101)の買い予想。 さだみつ さんの売買予想。 ＜本文は削除済みです＞ みんかぶ運営事務局,東洋紡,2009/05/01,01:11,買い予想,さだみつさん,117.32,144.0,+92.81,--,,,"＜利用規約に抵触する内容のため、本文を削除しました＞
 みんかぶ運営事務局",192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\102.html
東洋紡(3101)の売り予想。 とおる４１ さんの売買予想。 目標株価： 100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 赤字転落,東洋紡,2009/02/07,09:13,売り予想,とおる４１さん,501.17,138.0,-113.33,100,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),08年度 9カ月連結、当期赤字転落58.23億円、09年3月予想85億円の赤字,192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\103.html
東洋紡(3101)の買い予想。 naokiee さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) mizu,東洋紡,2009/01/30,04:26,買い予想,naokieeさん,371.24,131.0,+130.24,--,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\104.html
東洋紡(3101)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 180円 期間： 長期(数ヶ月～数年) 非繊維部門の展開力大きい,東洋紡,2008/12/13,17:48,買い予想,ミミちゃんさん,168.79,137.0,+112.08,180,長期(数ヶ月～数年),,"炭素繊維、燃料電池など非繊維部門の展開力大きい。高利回りも魅力。
newsミミ
",192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\105.html
東洋紡(3101)の買い予想。 taisyokusya さんの売買予想。 期間： 中期(数週間~数ヶ月) ふふふ,東洋紡,2008/12/12,14:53,買い予想,taisyokusyaさん,137.66,138.0,+109.21,--,中期(数週間～数ヶ月),,,192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\106.html
東洋紡(3101)の買い予想。 heiann さんの売買予想。 目標株価： 130円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです,東洋紡,2008/12/03,21:34,買い予想,heiannさん,221.49,121.0,+164.50,130,中期(数週間～数ヶ月),チャート,,192.0,04月08日,21:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3101-東洋紡/2017-04-08-21-03-35/comment\107.html
