0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"東洋製罐グループホールディングス(5901)の買い予想。 taaanaaakaaa さんの売買予想。 目標株価： 1,886円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",東洋製罐グループホールディングス,2017/04/04,20:48,買い予想,taaanaaakaaaさん,4.94,"1,783.0",-1.11,"1,886",中期(数週間～数ヶ月),チャート,,"1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\1.html
"東洋製罐グループホールディングス(5901)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",東洋製罐グループホールディングス,2015/12/04,17:29,売り予想,松岡政也さん,-25.38,"2,440.0",+77.15,"1,100",長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/04 01:26
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,728円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\10.html
"東洋製罐グループホールディングス(5901)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 1,975円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,956円",東洋製罐グループホールディングス,2015/08/01,06:17,買い予想,37 　 工事中 !さん,57.65,"1,838.0",-9.59,"1,975",長期(数ヶ月～数年),その他,,"1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\11.html
"東洋製罐グループホールディングス(5901)の売り予想。 ！(＊^^＊) さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売りに賛成",東洋製罐グループホールディングス,2015/06/18,06:04,売り予想,,66.49,"2,018.0",+33.81,"1,800",中期(数週間～数ヶ月),個人投資家の予想,"買われすぎ
包装容器関連事業の収益力に力がない","1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\12.html
"東洋製罐グループホールディングス(5901)の売り予想。 kabuagarusagaru さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り",東洋製罐グループホールディングス,2015/05/19,17:19,売り予想,kabuagarusagaruさん,48.93,"1,908.0",+38.74,"1,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"①今後の原油高で減益。(事業の86％が 包装容器関連)
②決算内容。
③IFISの目標株価コンセンサス 1,300 円。

▼2015/3決算
　　決算期　　売上高　 営業益　 経常益　 最終益
予　2015.03　792,000　25,500　24,500　13,000　
実　2015.03　784,362　15,080　23,851　 3,604

▼2016/3決算
　　決算期　　売上高　 営業益　 経常益　 最終益
予  2016.03　810,000　20,000　23,000　10,000","1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\13.html
"東洋製罐グループホールディングス(5901)の買い予想。 じゃがじゅらん さんの売買予想。 目標株価： 1,939円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",東洋製罐グループホールディングス,2015/05/04,16:14,買い予想,じゃがじゅらんさん,84.74,"1,837.0",-9.44,"1,939",長期(数ヶ月～数年),チャート,,"1,777.0",04月09日,12:57,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\14.html
"東洋製罐グループホールディングス(5901)の買い予想。 qwertxx さんの売買予想。 目標株価： 1,850円 期間： 中期(数週間~数ヶ月) 理由： その他 ｂ",東洋製罐グループホールディングス,2015/02/13,01:44,買い予想,qwertxxさん,67.04,"1,519.0",+48.11,"1,850",中期(数週間～数ヶ月),その他,,"1,777.0",04月09日,12:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\15.html
"東洋製罐グループホールディングス(5901)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,455円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東洋製罐グループホールディングス,2015/01/21,19:15,買い予想,ファミリア、マクハリさん,148.36,"1,362.0",+86.43,"1,455",短期(数分～数日),個人投資家の予想,,"1,777.0",04月09日,12:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\16.html
"東洋製罐グループホールディングス(5901)の買い予想。 生涯現役 さんの売買予想。 目標株価： 1,434円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価1,434円",東洋製罐グループホールディングス,2015/01/06,13:12,買い予想,生涯現役さん,79.35,"1,414.0",+72.79,"1,434",中期(数週間～数ヶ月),個人投資家の予想,,"1,777.0",04月09日,12:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\17.html
"東洋製罐グループホールディングス(5901)の買い予想。 qxdnh424 さんの売買予想。 目標株価： 2,100円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",東洋製罐グループホールディングス,2014/12/25,23:59,買い予想,qxdnh424さん,-29.16,"1,553.0",+40.83,"2,100",長期(数ヶ月～数年),個人投資家の予想,,"1,777.0",04月09日,12:58,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5901-東洋製罐グループホールディングス/2017-04-09-12-57-20/comment\18.html
