概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
東海カーボン(5301)の買い予想。 可を見て進み、難きを知りて退く。 さんの売買予想。 目標株価： 520円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,東海カーボン,2017/03/20,03:52,買い予想,可を見て進み、難きを知りて退く。さん,-0.18,501.0,-18.16,520,中期(数週間～数ヶ月),その他,,470.0,04月09日,03:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\1.html
東海カーボン(5301)の買い予想。 kosh さんの売買予想。 目標株価： 390円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い,東海カーボン,2016/11/14,12:02,買い予想,koshさん,9.57,372.0,+74.14,390,中期(数週間～数ヶ月),個人投資家の予想,,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\10.html
東海カーボン(5301)の買い予想。 musashiXP さんの売買予想。 目標株価： 443円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東海カーボン,2016/10/07,11:07,買い予想,musashiXPさん,4.55,288.0,+178.71,443,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/10/07 03:02
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「317円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは日本株全体の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\11.html
東海カーボン(5301)の売り予想。 松岡政也 さんの売買予想。 目標株価： 180円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,東海カーボン,2015/12/02,19:56,売り予想,松岡政也さん,-25.38,376.0,-71.84,180,長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/02 01:25
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「356円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\12.html
"東海カーボン(5301)の買い予想。 ウォーレン・バフェット敬愛 さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",東海カーボン,2015/09/16,18:00,買い予想,ウォーレン・バフェット敬愛さん,276.34,298.0,+163.17,"1,100",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/09/16 01:28　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「319円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\13.html
東海カーボン(5301)の買い予想。 みィ さんの売買予想。 目標株価： 380円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) レーティング,東海カーボン,2015/09/14,10:59,買い予想,みィさん,66.87,287.0,+180.32,380,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"レーティング引下げより下げすぎｗ

安いから買います！

",470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\14.html
東海カーボン(5301)の売り予想。 チャーティスト3 さんの売買予想。 目標株価： 181円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対,東海カーボン,2015/09/06,13:45,売り予想,チャーティスト3さん,-33.49,282.0,-190.58,181,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/09/05 01:29　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「319円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\15.html
東海カーボン(5301)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 320円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,東海カーボン,2015/09/03,00:52,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,288.0,+178.71,320,中期(数週間～数ヶ月),その他,,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\16.html
東海カーボン(5301)の買い予想。 takayukifrg さんの売買予想。 目標株価： 377円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価377円,東海カーボン,2015/05/26,02:30,買い予想,takayukifrgさん,2.6,370.0,+76.08,377,短期(数分～数日),チャート,,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\17.html
東海カーボン(5301)の買い予想。 生涯現役 さんの売買予想。 目標株価： 358円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価358円,東海カーボン,2015/05/13,09:10,買い予想,生涯現役さん,79.35,354.0,+92.37,358,中期(数週間～数ヶ月),個人投資家の予想,,470.0,04月09日,03:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5301-東海カーボン/2017-04-09-03-28-44/comment\18.html
