0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ＪＲ東海(9022)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 17,575円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 60.8pss",東海旅客鉄道,2017/03/29,22:44,売り予想,７本ＤＭさん,0.86,"18,495.0",-1.24,"17,575",中期(数週間～数ヶ月),個人投資家の予想,,"18,485.0",04月10日,11:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\1.html
"ＪＲ東海(9022)の売り予想。 レジェンドミズタニ さんの売買予想。 目標株価： 17,384円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に賛成",東海旅客鉄道,2016/12/17,23:22,売り予想,レジェンドミズタニさん,37.53,"19,500.0",+13.47,"17,383",中期(数週間～数ヶ月),その他,"【株価分析結果】2016/12/17 04:34
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「16,940円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","18,485.0",04月10日,11:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\10.html
"ＪＲ東海(9022)の買い予想。 あつひろ さんの売買予想。 目標株価： 6,990円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",東海旅客鉄道,2011/03/25,01:34,買い予想,あつひろさん,260.9,"6,550.0",+519.61,"6,990",中期(数週間～数ヶ月),チャート,,"18,495.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\100.html
"ＪＲ東海(9022)の売り予想。 空飛ぶ モンティ・パイ さんの売買予想。 目標株価： 6,840円 人口減ってるのに",東海旅客鉄道,2010/11/15,12:29,売り予想,空飛ぶ モンティ・パイさん,-418.66,"6,310.0",-550.28,"6,840",,,"リニアにしないとだめですか？？
新幹線じゃだめですか？？","18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\101.html
"ＪＲ東海(9022)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 7,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",東海旅客鉄道,2010/11/03,00:13,買い予想,ピエール2世さん,298.82,"6,010.0",+591.85,"7,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\102.html
"ＪＲ東海(9022)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 7,914円 期間： 長期(数ヶ月～数年) 個人投資家の意見「買い」に賛成",東海旅客鉄道,2010/10/27,09:52,買い予想,【ランキング１位】神様【５冠王】さん,591.12,"5,980.0",+596.25,"7,913",長期(数ヶ月～数年),,,"18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\103.html
"ＪＲ東海(9022)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 目標株価： 6,840円 期間： 中期(数週間~数ヶ月) 買い",東海旅客鉄道,2010/10/12,11:16,買い予想,komko,268.64,"6,470.0",+529.56,"6,840",中期(数週間～数ヶ月),,,"18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\104.html
"ＪＲ東海(9022)の売り予想。 七曲八起 さんの売買予想。 目標株価： 6,840円 期間： 長期(数ヶ月～数年) 売り",東海旅客鉄道,2010/08/13,14:59,売り予想,七曲八起さん,98.59,"7,130.0",-454.29,"6,840",長期(数ヶ月～数年),,最近整備事故が多すぎる！,"18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\105.html
"ＪＲ東海(9022)の買い予想。 D-PLaNet さんの売買予想。 目標株価： 7,960円 期間： 長期(数ヶ月～数年) 理由： チャート ok",東海旅客鉄道,2010/07/14,19:25,買い予想,D-PLaNetさん,182.55,"7,340.0",+433.08,"7,960",長期(数ヶ月～数年),チャート,,"18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\106.html
"ＪＲ東海(9022)の買い予想。 にっしん♪ さんの売買予想。 目標株価： 7,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",東海旅客鉄道,2010/02/02,15:21,買い予想,にっしん♪さん,198.51,"6,650.0",+507.52,"7,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/02/02 03:34
　割高

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「586,046円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","18,500.0",04月10日,11:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9022-東海旅客鉄道/2017-04-10-11-06-26/comment\107.html
