0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
東芝(6502)の売り予想。 レクサス さんの売買予想。 目標株価： 112円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り予想 中期 目標株価112円,東芝,2017/04/12,07:32,売り予想,レクサスさん,153.93,218.0,-8.34,111,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\1.html
東芝(6502)の売り予想。 kabukabuman さんの売買予想。 目標株価： 150円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に賛成,東芝,2017/04/11,21:22,売り予想,kabukabumanさん,0.98,218.0,-4.17,150,中期(数週間～数ヶ月),その他,,220.2,04月12日,12:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\10.html
東芝(6502)の売り予想。 superok さんの売買予想。 目標株価： 112円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価112円,東芝,2017/04/11,17:16,売り予想,superokさん,-1.18,218.0,-4.17,111,長期(数ヶ月～数年),その他,,220.2,04月12日,12:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\11.html
東芝(6502)の買い予想。 長嶋良純 さんの売買予想。 目標株価： 250円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に反対,東芝,2017/04/11,00:35,買い予想,長嶋良純さん,-4.02,230.4,-13.82,250,短期(数分～数日),その他,,220.2,04月12日,12:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\12.html
東芝(6502)の売り予想。 あつしはな さんの売買予想。 目標株価： 230円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対,東芝,2017/04/10,23:18,売り予想,あつしはなさん,8.39,230.4,+11.35,229,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2017/04/08 03:30　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「280円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは類似時価総額の平均値よりも高い為、相対比較の観点からは割高と判断されます。,220.2,04月12日,12:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\13.html
東芝(6502)の売り予想。 あきらです さんの売買予想。 目標株価： 112円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に賛成,東芝,2017/04/11,23:35,売り予想,あきらですさん,対象外,218.0,-8.34,111,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),監査法人が適正意見を付けない公表。さらに上場廃止の方向へ行ってしまった,220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\2.html
東芝(6502)の売り予想。 lisa さんの売買予想。 目標株価： 100円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 残念と同時に元株主として怒り,東芝,2017/04/11,23:11,売り予想,lisaさん,-0.18,218.0,-4.17,100,短期(数分～数日),業績(会社計画の修正発表を含む),"　東芝は11日、２度にわたり延期していた2016年４～12月期連結決算（米国会計基準）を発表した。最終損益は5325億円の赤字（前年同期は4794億円の赤字）だった。米原子力子会社の会計処理や内部統制をめぐり監査法人と見解が折り合わず、監査法人が決算内容に「適正意見」を付けない異例の公表となった。
　株主から預かったお金を示す自己資本は昨年末時点で2256億円のマイナスとなり、債務超過に陥った。",220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\3.html
東芝(6502)の売り予想。 ゴールドラッシュ雅 さんの売買予想。 目標株価： 190円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り予想 短期 目標株価190円,東芝,2017/04/11,23:09,売り予想,ゴールドラッシュ雅さん,-14.93,218.0,-4.17,190,短期(数分～数日),業績(会社計画の修正発表を含む),,220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\4.html
東芝(6502)の売り予想。 ayami♪ さんの売買予想。 目標株価： 156円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上場廃止か,東芝,2017/04/11,22:50,売り予想,ayami♪さん,0.1,218.0,-4.17,156,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\5.html
東芝(6502)の売り予想。 ピーマンショック！ さんの売買予想。 目標株価： 112円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) もうダメでしょう,東芝,2017/04/11,22:04,売り予想,ピーマンショック！さん,62.97,218.0,-4.17,111,短期(数分～数日),業績(会社計画の修正発表を含む),残念ながらもうおわりでしょう。,220.2,04月12日,12:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6502-東芝/2017-04-12-12-32-31/comment\6.html
