0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
東邦亜鉛(5707)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,東邦亜鉛,2017/04/06,20:57,売り予想,ひとみん｡｡☆さん,0.86,496.0,-2.29,450,中期(数週間～数ヶ月),チャート,,499.0,04月09日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\1.html
東邦亜鉛(5707)の買い予想。 borokus045 さんの売買予想。 目標株価： 475円 期間： 短期(数分~数日) 理由： その他 買い,東邦亜鉛,2016/11/30,01:02,買い予想,borokus045さん,7.84,440.0,+37.48,475,短期(数分～数日),その他,,499.0,04月09日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\10.html
東邦亜鉛(5707)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 295円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,東邦亜鉛,2016/11/12,04:41,売り予想,エグゼクティブ・まっちさん,-14.13,421.0,-53.35,294,長期(数ヶ月～数年),チャート,,499.0,04月09日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\11.html
東邦亜鉛(5707)の買い予想。 fsicon さんの売買予想。 目標株価： 401円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価451円,東邦亜鉛,2016/11/08,12:03,買い予想,fsiconさん,11.38,397.0,+72.34,401,短期(数分～数日),個人投資家の予想,,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\12.html
東邦亜鉛(5707)の買い予想。 himic さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,東邦亜鉛,2016/10/21,09:25,買い予想,himicさん,43.31,369.0,+99.41,400,中期(数週間～数ヶ月),個人投資家の予想,,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\13.html
東邦亜鉛(5707)の買い予想。 musashiXP さんの売買予想。 目標株価： 639円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東邦亜鉛,2016/10/03,10:51,買い予想,musashiXPさん,4.55,340.0,+132.14,639,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\14.html
東邦亜鉛(5707)の買い予想。 くまー さんの売買予想。 目標株価： 375円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,東邦亜鉛,2016/06/27,14:59,買い予想,くまーさん,64.61,291.0,+202.27,375,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2016/06/25 03:04　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「336円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\15.html
東邦亜鉛(5707)の買い予想。 pinksapphire さんの売買予想。 目標株価： 319円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,東邦亜鉛,2016/05/15,05:16,買い予想,pinksapphireさん,40.24,304.0,+181.46,319,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■東邦亜鉛  　303円　 +20 円 (+7.1％)　　本日終値
　12日に決算を発表。「今期最終は黒字浮上へ」が好感された。東邦亜鉛  が5月12日大引け後(15:00)に決算を発表。16年3月期の連結最終損益は162億円の赤字(前の期は27.4億円の黒字)に転落したが、17年3月期は20億円の黒字にＶ字回復する見通しとなった。",499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\16.html
東邦亜鉛(5707)の売り予想。 midorimati さんの売買予想。 目標株価： 240円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に反対,東邦亜鉛,2016/02/26,21:42,売り予想,midorimatiさん,-54.95,295.0,-197.60,240,中期(数週間～数ヶ月),その他,,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\17.html
東邦亜鉛(5707)の売り予想。 3oec901 さんの売買予想。 目標株価： 213円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価213円,東邦亜鉛,2016/02/24,11:48,売り予想,3oec901さん,24.85,294.0,-199.24,213,短期(数分～数日),チャート,,499.0,04月09日,12:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5707-東邦亜鉛/2017-04-09-12-20-25/comment\18.html
