0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"松井証券(8628)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,034円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,034円",松井証券,2017/03/27,16:29,買い予想,twitter88さん,-0.95,909.0,-9.69,"1,034",長期(数ヶ月～数年),チャート,,877.0,04月10日,09:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\1.html
松井証券(8628)の売り予想。 u6540152 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に反対,松井証券,2016/10/19,16:17,売り予想,u6540152さん,-33.77,812.0,-23.81,600,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2016/10/19 04:24　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「971円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,877.0,04月10日,09:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\10.html
松井証券(8628)の売り予想。 浜口 さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 売り,松井証券,2009/03/22,19:19,売り予想,浜口さん,-305.2,616.0,-121.86,500,中期(数週間～数ヶ月),配当(株主優待を含む),,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\100.html
松井証券(8628)の買い予想。 inbmost さんの売買予想。 目標株価： 700円 期間： 短期(数分~数日) 理由： チャート ゴジラのごとく,松井証券,2009/02/08,18:58,買い予想,inbmostさん,399.16,658.0,+95.07,700,短期(数分～数日),チャート,,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\101.html
松井証券(8628)の売り予想。 坂東太郎 さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り,松井証券,2009/01/21,11:40,売り予想,坂東太郎さん,350.56,643.0,-209.62,400,短期(数分～数日),業績(会社計画の修正発表を含む),,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\102.html
"松井証券,8628,MATSUISECURITIES,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",松井証券,2008/10/15,18:37,買い予想,猫まさひこさん,493.39,655.0,+96.81,--,,チャート,,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\103.html
松井証券(8628)の買い予想。 ローズクォーツ さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： チャート まだまだ上がるかな～。,松井証券,2008/09/26,20:35,買い予想,ローズクォーツさん,214.72,777.0,+36.96,800,中期(数週間～数ヶ月),チャート,,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\104.html
松井証券(8628)の売り予想。 金の延べ棒 さんの売買予想。 目標株価： 710円 期間： 中期(数週間~数ヶ月) 理由： その他 どうにもこうにも,松井証券,2008/09/15,23:37,売り予想,金の延べ棒さん,-92.61,743.0,-52.43,710,中期(数週間～数ヶ月),その他,大手証券だからといって変わりません。,878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\105.html
"松井証券(8628)の買い予想。 hyily200 さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 貯蓄から投資へ",松井証券,2008/09/12,00:13,買い予想,hyily200さん,43.13,779.0,+36.13,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"ここは財務もいいし、配当も上々。
東証の出来高が個人の投資活動が活発化すればかなり業績も回復するでしょう。
でも、市況が最悪なので、他のネット証券とのロングショートでリスクヘッジしたほうがいいかも。
基本、超長期で。",878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\106.html
松井証券(8628)の買い予想。 しろうとかんさい さんの売買予想。 目標株価： 865円 期間： 短期(数分~数日) 理由： チャート 買いましょう。,松井証券,2008/08/23,20:30,買い予想,しろうとかんさいさん,147.22,777.0,+36.96,865,短期(数分～数日),チャート,"　日経平均株に組み込まれる、とかで、結構にぎやかな銘柄だ。短期資金投入者にとってはたまらない値の荒い動きをする。社長はスタンドパフォーマンスに強く、否が応でも目がそこにいってしまう。株価も同じだ、同業の岩井証券や野村証券のような堂々さは感じられない。社長の個性も、そして株価も私には同じように見えてしまう。昔はもっと地味な会社だったんだけどなぁ。とにかく、ここは早い戻りを期待してスルスルッと800円は超えてく
るだろう。私は800円台に乗せるのに2日あれば、とみている。そこから865円までは1週間もかからないのでは。しかし、私はそんな株でも、ここは780円になれば買い、802円になれば売る、という筋書きを持っている。それ以上はのぞまない、たとえ、もっと上がった、としても。",878.0,04月10日,09:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8628-松井証券/2017-04-10-09-48-49/comment\107.html
