0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"横浜ゴム(5101)の買い予想。 tukudazaki さんの売買予想。 目標株価： 2,898円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い時",横浜ゴム,2017/03/24,18:14,買い予想,tukudazakiさん,1.77,"2,187.0",-10.40,"2,897",長期(数ヶ月～数年),個人投資家の予想,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\1.html
"横浜ゴム(5101)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 1,450円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に反対",横浜ゴム,2016/08/03,21:12,買い予想,kouboudaisiさん,12.36,"1,322.0",+168.85,"1,450",中期(数週間～数ヶ月),個人投資家の予想,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\10.html
"横浜ゴム(5101)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 1,628円 期間： 長期(数ヶ月～数年) 理由： その他 買い",横浜ゴム,2016/06/29,16:33,買い予想,リサ・ランドールさん,137.27,"1,289.0",+180.45,"1,628",長期(数ヶ月～数年),その他,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\11.html
"横浜ゴム(5101)の買い予想。 くまー さんの売買予想。 目標株価： 2,742円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",横浜ゴム,2016/06/27,14:41,買い予想,くまーさん,64.61,"1,232.0",+201.96,"2,742",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/06/25 02:58　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,754円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\12.html
横浜ゴム(5101)の売り予想。 ちえりん さんの売買予想。 目標株価： 862円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に反対,横浜ゴム,2016/04/05,08:39,売り予想,ちえりんさん,43.53,"1,714.0",-65.53,862,長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\13.html
"横浜ゴム(5101)の買い予想。 ほのえ さんの売買予想。 目標株価： 1,940円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 160402 フランス 1764",横浜ゴム,2016/04/03,06:06,買い予想,ほのえさん,9.63,"1,754.0",+57.22,"1,940",中期(数週間～数ヶ月),個人投資家の予想,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\14.html
"横浜ゴム(5101)の買い予想。 ジンチャン さんの売買予想。 目標株価： 2,049円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価2,031円",横浜ゴム,2016/03/22,20:42,買い予想,ジンチャンさん,49.46,"1,849.0",+39.67,"2,049",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\15.html
"横浜ゴム(5101)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,080円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",横浜ゴム,2015/12/01,20:22,売り予想,松岡政也さん,-25.38,"2,162.0",+6.97,"1,080",長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/01 01:25
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,377円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\16.html
"横浜ゴム(5101)の買い予想。 hihihihihi さんの売買予想。 目標株価： 2,369円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価2,357円",横浜ゴム,2015/11/10,14:42,買い予想,hihihihihiさん,9.35,"2,191.0",-10.90,"2,369",中期(数週間～数ヶ月),チャート,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\17.html
横浜ゴム(5101)の売り予想。 短期決戦 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： チャート 売り転。,横浜ゴム,2015/07/25,12:33,売り予想,短期決戦さん,131.46,"2,380.0",+32.37,500,長期(数ヶ月～数年),チャート,,"2,108.0",04月09日,02:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5101-横浜ゴム/2017-04-09-02-39-57/comment\18.html
