概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"武田薬品工業(4502)の買い予想。 aiuto さんの売買予想。 目標株価： 5,447円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成",武田薬品工業,2017/04/07,09:19,買い予想,aiutoさん,7.48,"5,226.0",+0.16,"5,447",短期(数分～数日),その他,"さて、どうなるか？
","5,230.0",04月08日,23:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\1.html
"武田薬品工業(4502)の買い予想。 るび〜 さんの売買予想。 目標株価： 5,500円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価5,500円",武田薬品工業,2017/01/15,21:41,買い予想,るび〜さん,-0.45,"4,865.0",+21.27,"5,500",長期(数ヶ月～数年),チャート,【買い】武田薬品工業㈱（4502）米社買収が好材料となり5日続伸。さらなる値上がりに期待= フェアトレード　西村剛(達人の予想)2017/01/15(14:25)http://minkabu.jp/stock/4502/news/1215313,"5,230.0",04月08日,23:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\10.html
"武田薬品工業(4502)の売り予想。 Perfic さんの売買予想。 目標株価： 4,239円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 武田",武田薬品工業,2014/02/17,00:01,売り予想,Perficさん,11.0,"4,759.0",-28.20,"4,239",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\100.html
"武田薬品工業(4502)の売り予想。 lerywfh8 さんの売買予想。 目標株価： 4,431円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",武田薬品工業,2014/02/09,18:13,売り予想,lerywfh8さん,-144.28,"4,700.0",-32.12,"4,431",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2014/02/08 01:39
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,488円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\101.html
"武田薬品工業(4502)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 4,943円 期間： 短期(数分~数日) 理由： その他 ★☆",武田薬品工業,2014/02/05,14:56,買い予想,☆プリ☆彡さん,426.89,"4,703.0",+31.80,"4,943",短期(数分～数日),その他,"本日はパナソニクと物産が決算後の動き◎だった
武田はどうか
あと三菱UFｊリース
横河も、もうすぐでありますが
日経、陰線が大きいのを数えてみる
ふむ
下値を探ってさまよっていると妄想してみる
自立反発VS下値模索
VSじゃないなあ






","5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\102.html
"武田薬品工業(4502)の売り予想。 patents2 さんの売買予想。 目標株価： 4,545円 期間： 短期(数分~数日) 理由： その他 株価診断結果「割高」に賛成",武田薬品工業,2014/01/25,20:45,売り予想,patents2さん,-32.48,"4,750.0",-28.79,"4,545",短期(数分～数日),その他,"【株価分析結果】2014/01/25 01:36
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,545円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\103.html
"武田薬品工業(4502)の買い予想。 avoidfuct さんの売買予想。 目標株価： 6,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 気絶",武田薬品工業,2014/01/21,02:48,買い予想,avoidfuctさん,20.34,"4,853.0",+22.03,"6,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\104.html
"武田薬品工業(4502)の買い予想。 ひでおくん さんの売買予想。 目標株価： 9,680円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",武田薬品工業,2014/01/15,22:19,買い予想,ひでおくんさん,76.17,"4,850.0",+22.22,"9,680",短期(数分～数日),チャート,チャート、話題性、妙味あり,"5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\105.html
"武田薬品工業(4502)の買い予想。 にしもり さんの売買予想。 目標株価： 9,650円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",武田薬品工業,2014/01/10,14:48,買い予想,にしもりさん,30.19,"4,825.0",+23.80,"9,650",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\106.html
"武田薬品工業(4502)の買い予想。 リッキー さんの売買予想。 目標株価： 5,302円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",武田薬品工業,2014/01/08,22:46,買い予想,リッキーさん,-31.89,"4,825.0",+23.80,"5,302",中期(数週間～数ヶ月),配当(株主優待を含む),,"5,230.0",04月08日,23:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4502-武田薬品工業/2017-04-08-23-41-23/comment\107.html
