概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"沖電気工業(6703)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,115円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価2,113円",沖電気工業,2017/03/27,14:47,買い予想,twitter88さん,-0.95,"1,661.0",-9.92,"2,115",中期(数週間～数ヶ月),チャート,,"1,604.0",04月09日,16:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\1.html
"沖電気工業(6703)の買い予想。 gpmd80 さんの売買予想。 目標株価： 1,510円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",沖電気工業,2016/07/11,00:37,買い予想,gpmd80さん,70.75,"1,290.0",+68.99,"1,510",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,604.0",04月09日,16:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\10.html
沖電気工業(6703)の買い予想。 七男 さんの売買予想。 目標株価： 900円 期間： 中期(数週間~数ヶ月) 理由： チャート いっぱいいっぱいです,沖電気工業,2012/05/04,09:29,買い予想,七男さん,171.76,"1,300.0",+66.27,900,中期(数週間～数ヶ月),チャート,,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\100.html
"沖電気工業(6703)の買い予想。 kotatyu さんの売買予想。 目標株価： 1,610円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",沖電気工業,2012/05/01,13:46,買い予想,kotatyuさん,27.5,"1,310.0",+63.60,"1,610",短期(数分～数日),チャート,,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\101.html
"沖電気工業(6703)の買い予想。 cpf**447 さんの売買予想。 目標株価： 1,460円 期間： 中期(数週間~数ヶ月) 理由： チャート kai",沖電気工業,2012/04/10,07:50,買い予想,cpf**447さん,287.32,"1,320.0",+60.96,"1,460",中期(数週間～数ヶ月),チャート,,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\102.html
"沖電気工業(6703)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 1,340円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成",沖電気工業,2012/04/04,00:17,買い予想,ohｔyoch05さん,282.58,"1,190.0",+98.68,"1,340",短期(数分～数日),その他,"防衛関連。（北朝鮮ミサイル発射（4月12から16日）迫り思惑買い） 

13.3増益（計画）。
株価・売買残上昇。","1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\103.html
"沖電気工業(6703)の買い予想。 nomu7777 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) とりあえず 150円まで",沖電気工業,2012/03/25,22:33,買い予想,nomu7777さん,-37.79,"1,070.0",+141.64,"1,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),そのくらいは、いけるのでは・・・・過去の株価からして・・・・,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\104.html
"沖電気工業(6703)の買い予想。 あきひこ６２ さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： その他 前の高値抜きそうです。明日にも！",沖電気工業,2012/01/25,18:02,買い予想,あきひこ６２さん,66.5,780.0,+300.03,"3,000",長期(数ヶ月～数年),その他,"社長の会見を聞いて、
銀行のATMに期待している。
特に中国を含めたアジアでの販売期待。
８０円少し超えれば、
以前の高値を上回る。。。
するとすぐに１００円超える。","1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\105.html
沖電気工業(6703)の買い予想。 morimoriman さんの売買予想。 目標株価： 820円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,沖電気工業,2012/01/23,03:30,買い予想,morimorimanさん,4.61,750.0,+323.41,820,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\106.html
沖電気工業(6703)の買い予想。 むかちゃん さんの売買予想。 目標株価： 670円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,沖電気工業,2011/12/28,10:49,買い予想,むかちゃんさん,505.28,680.0,+385.97,670,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,604.0",04月09日,16:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6703-沖電気工業/2017-04-09-16-46-02/comment\107.html
