概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"清水建設(1803)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 1,115円 期間： 中期(数週間~数ヶ月) 理由： チャート 割安",清水建設,2017/04/08,12:35,買い予想,徳川慶喜さん,-2.73,成り行き ,,"1,115",中期(数週間～数ヶ月),チャート,,"1,014.0",04月08日,18:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\1.html
"清水建設(1803)の買い予想。 Kたん さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",清水建設,2016/11/20,16:19,買い予想,Kたんさん,5.39,998.0,+4.27,"1,200",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),2020までは、上がり下りはあっても上がるんじゃないでしょうか！？「東京オリンピック」、「リニア新幹線」、「パリ協定による設備更新」、「各種復興事業(福島原発、熊本、鳥取)」など各種イベントや復興事業による受注上昇、利益の上昇に期待！！資材高騰、人件費高騰は、今のところあまりなさそうだが、人材不足が問題にならなければ人件費の高騰もそのまま影響なく、業績を伸ばせられるのでは！！,"1,014.0",04月08日,18:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\10.html
清水建設(1803)の買い予想。 HAPIKA さんの売買予想。 目標株価： 418円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,清水建設,2012/12/15,11:02,買い予想,HAPIKAさん,317.31,288.0,+715.83,418,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\100.html
清水建設(1803)の買い予想。 mochikun さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： チャート 買,清水建設,2012/12/09,20:38,買い予想,mochikunさん,369.76,266.0,+798.56,300,中期(数週間～数ヶ月),チャート,,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\101.html
清水建設(1803)の買い予想。 feeltr さんの売買予想。 目標株価： 272円 期間： 中期(数週間~数ヶ月) 理由： その他 なんとなく,清水建設,2012/12/01,14:17,買い予想,feeltrさん,520.79,253.0,+854.20,272,中期(数週間～数ヶ月),その他,,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\102.html
清水建設(1803)の買い予想。 ベントレー好き さんの売買予想。 目標株価： 260円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,清水建設,2012/11/25,10:39,買い予想,ベントレー好きさん,123.33,248.0,+877.15,260,短期(数分～数日),チャート,,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\103.html
清水建設(1803)の買い予想。 レクサス さんの売買予想。 目標株価： 312円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,清水建設,2012/11/15,22:05,買い予想,レクサスさん,154.68,248.0,+877.15,312,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/11/15 01:07
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「312円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも低い為、相対比較の観点からは割高と判断されます。
","1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\104.html
清水建設(1803)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 232円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,清水建設,2012/11/13,18:10,買い予想,【ランキング１位】神様【５冠王】さん,591.12,226.0,+990.22,232,長期(数ヶ月～数年),その他,,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\105.html
清水建設(1803)の買い予想。 akinokaze さんの売買予想。 目標株価： 288円 期間： 中期(数週間~数ヶ月) 理由： チャート 上がりそう,清水建設,2012/09/22,15:53,買い予想,akinokazeさん,327.69,262.0,+815.09,288,中期(数週間～数ヶ月),チャート,,"1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\106.html
清水建設(1803)の買い予想。 プ～ さんの売買予想。 目標株価： 321円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,清水建設,2012/08/27,14:24,買い予想,プ～さん,427.24,259.0,+827.82,321,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/08/25 01:08
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「321円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\107.html
清水建設(1803)の買い予想。 moko♡ さんの売買予想。 目標株価： 244円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,清水建設,2012/08/03,22:29,買い予想,moko♡さん,338.94,236.0,+936.21,244,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
","1,014.0",04月08日,18:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\108.html
清水建設(1803)の買い予想。 むかちゃん さんの売買予想。 目標株価： 242円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) k,清水建設,2012/07/29,21:28,買い予想,むかちゃんさん,505.28,244.0,+896.20,242,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,014.0",04月08日,18:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\109.html
"清水建設(1803)の買い予想。 なおき投資 さんの売買予想。 目標株価： 1,294円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",清水建設,2016/11/19,07:20,買い予想,なおき投資さん,15.05,998.0,+4.27,"1,293",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 01:10
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,315円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,014.0",04月08日,18:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1803-清水建設/2017-04-08-18-00-09/comment\11.html
