概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
王子ホールディングス(3861)の買い予想。 Daisuke Mori さんの売買予想。 目標株価： 599円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成,王子ホールディングス,2017/04/01,13:24,買い予想,Daisuke Moriさん,20.72,521.0,-4.91,599,短期(数分～数日),チャート,,513.0,04月08日,22:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\1.html
王子ホールディングス(3861)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 287円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,王子ホールディングス,2016/10/11,21:25,売り予想,エグゼクティブ・まっちさん,-14.13,408.0,-73.87,287,長期(数ヶ月～数年),チャート,,513.0,04月08日,22:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\10.html
王子ホールディングス(3861)の買い予想。 rui*u*igo*ove さんの売買予想。 目標株価： 550円 期間： 長期(数ヶ月～数年) 理由： その他 買い,王子ホールディングス,2008/11/23,02:09,買い予想,rui*u*igo*oveさん,320.27,450.0,+39.17,550,長期(数ヶ月～数年),その他,,513.0,04月08日,22:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\100.html
王子ホールディングス(3861)の買い予想。 闘志火太陽 さんの売買予想。 目標株価： 650円 期間： 長期(数ヶ月～数年) 理由： その他 生活出需品,王子ホールディングス,2008/10/17,10:03,買い予想,闘志火太陽さん,307.48,459.0,+32.83,650,長期(数ヶ月～数年),その他,市場は日々乱高下の続く今だからこそ需要のある企業の株を持っておきたい所だと思いました。,513.0,04月08日,22:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\101.html
王子ホールディングス(3861)の買い予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) ＫＡＩ,王子ホールディングス,2008/10/14,10:25,買い予想,これかわぎんぞう2世さん,-377.96,456.0,+34.92,700,中期(数週間～数ヶ月),,,513.0,04月08日,22:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\102.html
王子ホールディングス(3861)の買い予想。 マダラン さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,王子ホールディングス,2008/10/14,08:39,買い予想,マダランさん,373.78,446.0,+42.08,500,中期(数週間～数ヶ月),チャート,,513.0,04月08日,22:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\103.html
王子ホールディングス(3861)の買い予想。 三歩で忘れる さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 日経採用銘柄買い,王子ホールディングス,2008/10/12,12:22,買い予想,三歩で忘れるさん,273.13,446.0,+42.08,--,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,513.0,04月08日,22:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\104.html
王子ホールディングス(3861)の買い予想。 BathAgent さんの売買予想。 目標株価： 700円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 業績好調、需給関係良好,王子ホールディングス,2008/08/12,01:32,買い予想,BathAgentさん,154.26,574.0,-30.71,700,短期(数分～数日),業績(会社計画の修正発表を含む),"短期
目標122%
",513.0,04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\105.html
王子ホールディングス(3861)の買い予想。 駅前 さんの売買予想。 期間： 長期(数ヶ月～数年) 買い,王子ホールディングス,2008/06/18,19:13,買い予想,駅前さん,244.48,501.0,+6.24,--,長期(数ヶ月～数年),,,513.0,04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\106.html
"王子ホールディングス,3861,OjiHoldings,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",王子ホールディングス,2008/05/03,08:36,買い予想,さらたまさん,159.13,481.0,+18.32,500,,,,513.0,04月08日,22:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\107.html
