0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"神戸製鋼所(5406)の買い予想。 畦道花の山 さんの売買予想。 目標株価： 1,262円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,262円",神戸製鋼所,2017/04/08,10:13,買い予想,畦道花の山さん,1.35,成り行き ,,"1,262",長期(数ヶ月～数年),その他,,964.0,04月09日,03:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\1.html
"神戸製鋼所(5406)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,055円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 70.2pk",神戸製鋼所,2017/02/15,21:25,売り予想,７本ＤＭさん,0.86,"1,105.0",+36.02,"1,054",中期(数週間～数ヶ月),個人投資家の予想,,964.0,04月09日,03:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\10.html
"神戸製鋼所(5406)の買い予想。 yndnot さんの売買予想。 目標株価： 2,660円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",神戸製鋼所,2013/05/20,04:50,買い予想,yndnotさん,76.59,"1,370.0",-84.47,"2,660",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\100.html
"神戸製鋼所(5406)の買い予想。 おぉＭｙゴッド さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",神戸製鋼所,2013/05/16,10:03,買い予想,おぉＭｙゴッドさん,46.81,"1,320.0",-76.90,"6,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\101.html
"神戸製鋼所(5406)の買い予想。 ほもおだほもお さんの売買予想。 目標株価： 1,400円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割高」に反対",神戸製鋼所,2013/05/11,17:55,買い予想,ほもおだほもおさん,-74.23,"1,310.0",-75.32,"1,400",短期(数分～数日),チャート,"【株価分析結果】2013/05/11 01:51
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「107円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
",964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\102.html
"神戸製鋼所(5406)の買い予想。 best2010 さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",神戸製鋼所,2013/04/30,09:50,買い予想,best2010さん,35.57,"1,270.0",-68.73,"1,900",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),好決算に期待,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\103.html
"神戸製鋼所(5406)の買い予想。 star_kabunusiiii さんの売買予想。 目標株価： 2,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) かい",神戸製鋼所,2013/04/28,12:30,買い予想,star_kabunusiiiiさん,45.51,"1,290.0",-72.08,"2,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),黒,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\104.html
"神戸製鋼所(5406)の買い予想。 delpiero さんの売買予想。 目標株価： 1,960円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",神戸製鋼所,2013/04/27,22:14,買い予想,delpieroさん,247.82,"1,290.0",-72.08,"1,960",短期(数分～数日),業績(会社計画の修正発表を含む),,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\105.html
"神戸製鋼所(5406)の買い予想。 かるびんびん さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： その他 かい",神戸製鋼所,2013/03/14,19:54,買い予想,かるびんびんさん,198.88,"1,210.0",-58.04,"2,000",中期(数週間～数ヶ月),その他,,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\106.html
"神戸製鋼所(5406)の売り予想。 kaimonnjp さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： チャート そろそろ",神戸製鋼所,2013/03/12,17:21,売り予想,kaimonnjpさん,-100.87,"1,220.0",+59.43,"1,000",中期(数週間～数ヶ月),チャート,短期に上げすぎ,964.0,04月09日,04:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5406-神戸製鋼所/2017-04-09-03-59-09/comment\107.html
