0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"積水ハウス(1928)の買い予想。 up.down さんの売買予想。 目標株価： 1,918円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価1,918円",積水ハウス,2017/04/06,14:26,買い予想,up.downさん,0.28,"1,762.0",+4.19,"1,918",中期(数週間～数ヶ月),チャート,,"1,789.0",04月08日,18:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\1.html
"積水ハウス(1928)の買い予想。 石の上にも三年 さんの売買予想。 目標株価： 2,150円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",積水ハウス,2017/03/09,22:30,買い予想,石の上にも三年さん,-11.7,"1,870.5",-12.54,"2,150",中期(数週間～数ヶ月),個人投資家の予想,,"1,789.0",04月08日,18:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\10.html
"積水ハウス(1928)の買い予想。 たけぴさ さんの売買予想。 目標株価： 1,222円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 10",積水ハウス,2012/10/31,20:35,買い予想,たけぴささん,283.17,815.0,+339.48,"1,222",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,789.0",04月08日,18:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\100.html
積水ハウス(1928)の買い予想。 アジア さんの売買予想。 目標株価： 742円 期間： 中期(数週間~数ヶ月) 理由： その他 k,積水ハウス,2012/09/07,08:53,買い予想,アジアさん,609.13,750.0,+393.55,742,中期(数週間～数ヶ月),その他,,"1,789.0",04月08日,18:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\101.html
積水ハウス(1928)の買い予想。 t-oku さんの売買予想。 目標株価： 822円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成,積水ハウス,2012/06/30,17:58,買い予想,t-okuさん,47.03,753.0,+390.85,822,中期(数週間～数ヶ月),その他,"【株価分析結果】2012/06/30 01:09
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で妥当圏内と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「791円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値と同水準の為、相対比較の観点からは妥当圏内と判断されます。

","1,789.0",04月08日,18:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\102.html
積水ハウス(1928)の買い予想。 かんちゃんじ～じ さんの売買予想。 目標株価： 890円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,積水ハウス,2012/06/06,12:56,買い予想,かんちゃんじ～じさん,268.52,664.0,+481.35,890,中期(数週間～数ヶ月),チャート,,"1,789.0",04月08日,18:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\103.html
積水ハウス(1928)の買い予想。 レクサス さんの売買予想。 目標株価： 791円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,積水ハウス,2012/05/27,15:13,買い予想,レクサスさん,154.68,666.0,+479.05,791,短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2012/05/26 01:09
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「791円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","1,789.0",04月08日,18:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\104.html
積水ハウス(1928)の買い予想。 むかちゃん さんの売買予想。 目標株価： 667円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,積水ハウス,2012/05/20,20:53,買い予想,むかちゃんさん,505.28,665.0,+480.20,667,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,789.0",04月08日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\105.html
積水ハウス(1928)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 689円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,積水ハウス,2012/05/18,13:20,買い予想,【ランキング１位】神様【５冠王】さん,591.12,670.0,+474.49,689,長期(数ヶ月～数年),その他,,"1,789.0",04月08日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\106.html
積水ハウス(1928)の買い予想。 空人 さんの売買予想。 目標株価： 986円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) そらんちゅ通信,積水ハウス,2012/04/16,19:07,買い予想,空人さん,372.13,759.0,+385.51,986,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"長い目で見れば買い。

極めて高い可能性で，住宅・マンションの需要は増える。




","1,789.0",04月08日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1928-積水ハウス/2017-04-08-18-40-06/comment\107.html
