0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"第一三共(4568)の買い予想。 こんにちは♪ さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 ",第一三共,2017/04/06,12:43,買い予想,こんにちは♪さん,18.56,"2,465.0",+0.34,"3,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,469.0",04月09日,00:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\1.html
"第一三共(4568)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 2,498円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価2,492円",第一三共,2016/10/25,15:46,買い予想,リサ・ランドールさん,137.27,"2,381.5",+10.32,"2,498",長期(数ヶ月～数年),その他,,"2,469.0",04月09日,00:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\10.html
"第一三共(4568)の買い予想。 ひでじぃ さんの売買予想。 目標株価： 1,700円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",第一三共,2011/06/27,12:05,買い予想,ひでじぃさん,222.32,"1,533.0",+173.43,"1,700",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"ロキソニンSも絶好調ですし、
他の状況を見ても、上ぶれするでしょう。
今が買い。","2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\100.html
"第一三共(4568)の売り予想。 tacticiankn さんの売買予想。 目標株価： 1,364円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に賛成",第一三共,2011/05/17,16:33,売り予想,tacticianknさん,-48.74,"1,526.0",-175.90,"1,364",短期(数分～数日),業績(会社計画の修正発表を含む),インドの対ドル為替の問題やＦＤＡの問題など、まだまだ問題山積み。,"2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\101.html
"第一三共(4568)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,600円 期間： 短期(数分~数日) 理由： その他 k",第一三共,2011/05/14,17:19,買い予想,短期決戦さん,131.46,"1,535.0",+172.83,"1,600",短期(数分～数日),その他,k,"2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\102.html
"第一三共(4568)の買い予想。 ルーーキーーズ さんの売買予想。 目標株価： 1,700円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に反対",第一三共,2011/03/21,09:38,買い予想,ルーーキーーズさん,158.61,"1,600.0",+154.26,"1,700",中期(数週間～数ヶ月),配当(株主優待を含む),かなり割安水準にあり。,"2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\103.html
"第一三共(4568)の買い予想。 ﾛﾍﾞｯﾄ さんの売買予想。 目標株価： 1,911円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",第一三共,2011/03/10,00:36,買い予想,ﾛﾍﾞｯﾄさん,-97.22,"1,727.0",+122.00,"1,911",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\104.html
"第一三共(4568)の買い予想。 損切り大魔王 さんの売買予想。 目標株価： 1,850円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",第一三共,2011/03/06,19:39,買い予想,損切り大魔王さん,141.5,"1,740.0",+118.97,"1,850",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),買い,"2,469.0",04月09日,00:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\105.html
"第一三共(4568)の買い予想。 スギオｐｃ さんの売買予想。 目標株価： 1,922円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",第一三共,2011/03/05,01:55,買い予想,スギオｐｃさん,253.41,"1,740.0",+118.97,"1,922",中期(数週間～数ヶ月),チャート,"急激に下げすぎている。
さまざまな買収案件があり即効性は低くとも価値はかなりある！！","2,469.0",04月09日,00:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\106.html
"第一三共(4568)の買い予想。 ぽぽろ さんの売買予想。 目標株価： 1,783円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",第一三共,2011/03/01,08:55,買い予想,ぽぽろさん,411.22,"1,780.0",+109.91,"1,783",短期(数分～数日),イベント(増資／合弁・買収／分割等),,"2,469.0",04月09日,00:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\107.html
"第一三共(4568)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 2,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",第一三共,2011/02/11,22:44,買い予想,ピエール2世さん,298.82,"1,870.0",+90.93,"2,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,469.0",04月09日,00:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4568-第一三共/2017-04-09-00-42-24/comment\108.html
