0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"第一生命ホールディングス(8750)の買い予想。 ma-cyann さんの売買予想。 目標株価： 2,043円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い",第一生命ホールディングス,2017/04/10,08:57,買い予想,ma-cyannさん,8.04,"1,870.0",+1.44,"2,042",中期(数週間～数ヶ月),個人投資家の予想,,"1,863.5",04月10日,10:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\1.html
"第一生命ホールディングス(8750)の売り予想。 ｺﾞｰﾙﾄﾞ万作 さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： その他 あやしい動き",第一生命ホールディングス,2017/03/14,00:25,売り予想,ｺﾞｰﾙﾄﾞ万作さん,207.58,"2,319.5",+53.69,"1,900",中期(数週間～数ヶ月),その他,確信は持てませんが。,"1,863.5",04月10日,10:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\10.html
"第一生命ホールディングス(8750)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",第一生命ホールディングス,2013/09/05,09:01,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,"1,376.0",+104.05,"2,500",長期(数ヶ月～数年),その他,,"1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\100.html
"第一生命ホールディングス(8750)の買い予想。 神さま仏さま さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",第一生命ホールディングス,2013/08/21,01:24,買い予想,神さま仏さまさん,98.57,"1,324.0",+119.30,"1,600",中期(数週間～数ヶ月),チャート,,"1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\101.html
"第一生命ホールディングス(8750)の買い予想。 リリベス さんの売買予想。 目標株価： 1,420円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割安」に賛成",第一生命ホールディングス,2013/08/17,12:36,買い予想,リリベスさん,-2.97,"1,326.0",+118.69,"1,420",短期(数分～数日),チャート,"【株価分析結果】2013/08/17 02:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「195,495円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\102.html
"第一生命ホールディングス(8750)の買い予想。 バスコ・ダ・ガマ さんの売買予想。 目標株価： 1,737円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 絶対買い",第一生命ホールディングス,2013/06/25,22:23,買い予想,バスコ・ダ・ガマさん,54.59,"1,350.0",+111.53,"1,736",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"国内生保第２位の実績もさながら、業績の発表時に一時は年初来高値を更新した事もあり、今の安さは買い時。
配当金も高めなので、長期的に保有するのも有りな株式。","1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\103.html
"第一生命ホールディングス(8750)の買い予想。 みのるマン さんの売買予想。 目標株価： 2,118円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",第一生命ホールディングス,2013/05/28,07:47,買い予想,みのるマンさん,-64.46,"1,407.0",+95.49,"2,118",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2013/05/28 02:27
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「221,923円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\104.html
"第一生命ホールディングス(8750)の売り予想。 ｼｰﾊﾞｽjr さんの売買予想。 目標株価： 1,420円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り",第一生命ホールディングス,2013/05/20,22:35,売り予想,ｼｰﾊﾞｽjrさん,171.66,"1,682.0",-33.72,"1,420",中期(数週間～数ヶ月),チャート,,"1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\105.html
"第一生命ホールディングス(8750)の買い予想。 HAPIKA さんの売買予想。 目標株価： 1,600円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",第一生命ホールディングス,2013/04/02,16:07,買い予想,HAPIKAさん,317.31,"1,187.0",+165.89,"1,600",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\106.html
"第一生命ホールディングス(8750)の買い予想。 tomkayo さんの売買予想。 目標株価： 1,420円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",第一生命ホールディングス,2013/03/13,15:30,買い予想,tomkayoさん,119.22,"1,313.0",+122.68,"1,420",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,859.5",04月10日,10:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8750-第一生命ホールディングス/2017-04-10-10-03-39/comment\107.html
