概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"荏原(6361)の買い予想。 twitter88 さんの売買予想。 目標株価： 4,906円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価4,906円",荏原製作所,2017/03/27,14:31,買い予想,twitter88さん,-0.95,"3,400.0",-1.75,"4,906",長期(数ヶ月～数年),チャート,,"3,380.0",04月09日,13:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\1.html
"荏原(6361)の買い予想。 rEgAIn さんの売買予想。 目標株価： 4,210円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想",荏原製作所,2016/06/18,21:45,買い予想,rEgAInさん,23.94,"2,730.0",+67.60,"4,210",長期(数ヶ月～数年),その他,,"3,380.0",04月09日,13:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\10.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2008/03/11,23:50,買い予想,雷雷さん,220.12,"1,470.0",+369.28,5,,,そろそろ良いんじゃない？,"3,380.0",04月09日,13:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\100.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2008/02/20,00:04,売り予想,charlyさん,-78.5,"1,560.0",-331.93,5,,,ダイバージェンスが出ているのですが、チャートで見るとまだ売りかな。,"3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\101.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2008/01/27,23:08,買い予想,気分上昇さん,79.04,"1,615.0",+310.59,5,,,"これからは、環境関連に注目！
温暖化防止に頑張って欲しい！

荏原は世界経済フォーラムを材料視、株価は続伸(株式新聞社)
2008/01/25(16:46)
http://minkabu.jp/stock/6361/news/9545","3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\102.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2008/01/09,20:49,買い予想,ひまわりおばさん,401.83,"1,820.0",+243.58,5,,,これからです,"3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\103.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2008/01/09,20:23,買い予想,いかさん,167.96,"1,820.0",+243.58,5,,,がんばれ,"3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\104.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2007/12/26,13:25,買い予想,あしたのジョ～さん,132.17,"1,920.0",+216.08,5,,,"荏原は安値から３連騰、羽田工場売却で今期純益を上方修正(東洋経済新報社)
2007/12/26(09:51)
http://minkabu.jp/stock/6361/news/8759","3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\105.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2007/09/03,00:07,買い予想,BathAgentさん,154.26,"2,625.0",+81.67,5,,,"中期注目
目標600","3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\106.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2007/08/28,16:01,買い予想,麦酒館さん,-487.16,"2,550.0",+184.88,5,,,昔はかなり人気の銘柄だったが、最近は低迷している。団塊の世代が退職金で買ってみるのでは・・・。500をわったら、仕掛けてもおもしろいと思う。,"3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\107.html
"荏原,6361,EBARA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",荏原製作所,2007/06/16,23:35,買い予想,NAOYUKIさん,54.26,"2,900.0",+46.96,5,,,かい,"3,380.0",04月09日,13:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6361-荏原製作所/2017-04-09-13-44-27/comment\108.html
