概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＪＲ西日本(9021)の売り予想。 up.down さんの売買予想。 目標株価： 6,638円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価6,582円",西日本旅客鉄道,2017/04/05,12:49,売り予想,up.downさん,0.28,"7,222.0",-5.03,"6,638",中期(数週間～数ヶ月),チャート,,"7,337.0",04月10日,11:01,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\1.html
"ＪＲ西日本(9021)の買い予想。 なおき投資 さんの売買予想。 目標株価： 8,580円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",西日本旅客鉄道,2016/11/19,07:31,買い予想,なおき投資さん,15.05,"6,628.0",+30.89,"8,580",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 04:33
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「7,458円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","7,337.0",04月10日,11:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\10.html
"ＪＲ西日本(9021)の買い予想。 にっしん♪ さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「妥当圏内」に反対",西日本旅客鉄道,2010/02/02,15:05,買い予想,にっしん♪さん,198.51,"3,150.0",+378.96,"3,500",中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2010/02/02 03:34
　妥当圏内

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で妥当圏内と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄の株価は妥当圏内ながら、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には買い圧力が強まる可能性があります。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。

","7,330.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\100.html
"ＪＲ西日本(9021)の買い予想。 (*≧∀≦)♪なにわ22 あ22-10 さんの売買予想。 目標株価： 3,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",西日本旅客鉄道,2009/11/06,19:59,買い予想,,355.33,"3,170.0",+749.56,"3,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"会社の規模的には、350000円程度は目指してほしいもの。
企画商品「西日本パス」は好評ですよ。","7,330.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\101.html
"ＪＲ西日本,9021,WestJapanRailway,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",西日本旅客鉄道,2009/08/18,22:55,買い予想,RX78G3さん,601.44,"3,050.0",+400.71,--,短期(数分～数日),,,"7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\102.html
"ＪＲ西日本(9021)の買い予想。 らや さんの売買予想。 目標株価： 7,000円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) YesでもＮｏでもない中庸の答え",西日本旅客鉄道,2009/07/29,12:15,買い予想,らやさん,1.83,"3,020.0",+407.52,"7,000",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),"NES･･･(´･ω･) 
残高の激変する預金としてコツコツ買ってます。 
バラマキ高速しぇんえん政策（笑）の選挙後の手のひら返しに淡い期待。
渋滞で飛ばしにくい、出にくい！","7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\103.html
"ＪＲ西日本(9021)の買い予想。 タオ_ さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",西日本旅客鉄道,2009/07/20,12:25,買い予想,タオ_さん,448.78,"3,080.0",+394.04,"3,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\104.html
"ＪＲ西日本(9021)の買い予想。 赤髪のサンクス さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",西日本旅客鉄道,2009/07/12,22:34,買い予想,赤髪のサンクスさん,671.14,"3,150.0",+378.96,"3,200",中期(数週間～数ヶ月),チャート,,"7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\105.html
"ＪＲ西日本,9021,WestJapanRailway,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",西日本旅客鉄道,2009/06/24,11:08,買い予想,新卒MBAさん,434.31,"3,180.0",+372.70,--,,,　,"7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\106.html
"ＪＲ西日本,9021,WestJapanRailway,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",西日本旅客鉄道,2009/06/22,17:15,買い予想,f-boneさん,289.57,"3,210.0",+366.56,--,,,　,"7,335.0",04月10日,11:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9021-西日本旅客鉄道/2017-04-10-11-01-41/comment\107.html
