0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"豊田通商(8015)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 5,521円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価5,400円",豊田通商,2017/02/26,15:30,買い予想,Newジェントルマンさん,-5.41,"3,320.0",+0.77,"5,521",中期(数週間～数ヶ月),その他,,"3,330.0",04月10日,02:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\1.html
"豊田通商(8015)の買い予想。 pinksapphire さんの売買予想。 目標株価： 2,994円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",豊田通商,2016/04/14,04:43,買い予想,pinksapphireさん,40.24,"2,539.0",+88.47,"2,994",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/04/13 04:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,994円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","3,330.0",04月10日,02:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\10.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2008/10/14,06:42,買い予想,猫まさひこさん,493.39,888.0,+781.67,--,,チャート,,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\100.html
豊田通商(8015)の買い予想。 ikoinokyuukeijo さんの売買予想。 期間： 長期(数ヶ月～数年) 買い,豊田通商,2008/10/10,13:48,買い予想,ikoinokyuukeijoさん,488.22,828.0,+858.91,--,長期(数ヶ月～数年),,,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\101.html
"豊田通商(8015)の買い予想。 のろ さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 買い",豊田通商,2008/10/06,01:24,買い予想,のろさん,218.49,"1,200.0",+504.50,"1,600",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\102.html
"豊田通商(8015)の買い予想。 Air さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 業務提携",豊田通商,2008/09/29,22:16,買い予想,Airさん,90.88,"1,304.0",+441.58,"1,500",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\103.html
"豊田通商(8015)の買い予想。 zxe さんの売買予想。 目標株価： 1,410円 期間： 長期(数ヶ月～数年) 理由： その他 そろそろ",豊田通商,2008/09/27,10:11,買い予想,zxeさん,502.99,"1,419.0",+382.75,"1,410",長期(数ヶ月～数年),その他,"豊田通商がインドで保険仲介事業に参入(株式新聞)
2008/09/26(16:57)
http://minkabu.jp/stock/8015/news/17120","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\104.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2008/09/08,13:13,売り予想,mikeyさん,-284.8,"1,825.0",-234.65,--,中期(数週間～数ヶ月),,,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\105.html
"豊田通商(8015)の買い予想。 ま～やん♪ さんの売買予想。 目標株価： 2,800円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 出遅れ感！？",豊田通商,2008/05/03,11:15,買い予想,ま～やん♪さん,2.92,"2,330.0",+121.92,"2,800",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),資源関連の中でも出遅れ感がある中、PBRは低めなので、狙い目だと・・・,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\106.html
"豊田通商(8015)の買い予想。 富士山うどん さんの売買予想。 目標株価： 2,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) そろそろ",豊田通商,2008/04/14,23:59,買い予想,富士山うどんさん,0.02,"2,080.0",+170.75,"2,600",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),急上昇してくれるはず...,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\107.html
"豊田通商(8015)の買い予想。 norihei さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) なんとなく",豊田通商,2008/04/08,17:37,買い予想,noriheiさん,2.49,"2,050.0",+177.41,"2,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),　あがりそうです。根拠のない理由ですが、↑いきますよ。,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\108.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2008/04/06,17:03,買い予想,RHPさん,84.64,"2,100.0",+166.41,--,,,買いです。,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\109.html
"豊田通商(8015)の買い予想。 tk@85 さんの売買予想。 目標株価： 3,200円 期間： 長期(数ヶ月～数年) 理由： チャート 長期",豊田通商,2016/02/09,16:45,買い予想,tk@85さん,44.97,"2,317.0",+124.20,"3,200",長期(数ヶ月～数年),チャート,,"3,330.0",04月10日,02:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\11.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2008/02/13,11:28,買い予想,Riku2008さん,126.46,"2,485.0",+96.57,--,,,"ここ最近もみ合い続きだが、
業績良しで割安感あり。
テクニカルとしてもはらみを抜ける感じがあり。
トヨタが伸びてる影響も受けるか。
中期。","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\110.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/12/20,00:17,買い予想,じきさん,45.64,"3,050.0",+26.01,--,,,最近までずっと注目してきましたが、そろそろ買ってもよいかな。,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\111.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/10/26,17:10,買い予想,兜町キャサリンさん,198.68,"3,130.0",+18.07,--,,,"3620円期待。

割安商社セクター。
信用取組み0.2倍で超良好！！

3090円買い。
","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\112.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/07/30,00:37,買い予想,イサムさん,2.1,"3,080.0",+22.98,--,,,"豊田通商が好人気、トヨタグループの好業績銘柄(株式新聞社)
2007/07/27(17:59)
http://minkabu.jp/stock/8015/news/4032
すごい伸びてるなー。

トヨタグループでもいろいろあるんですねー。","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\113.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/07/11,08:54,買い予想,ひろけんさん,36.99,"2,965.0",+34.90,--,,,"買い
業績は悪くありません
あまり騰がらないかも。でも、
損失の心配がすくないと思う","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\114.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/07/10,09:51,買い予想,StockTubeさん,84.95,"2,940.0",+37.62,--,,,"丸紅が1100円を突破していますが
上がっても1180円ほどで1200円は厳しいのでは？
同じ商社株ということで
こちらの銘柄を物色する流れがきてもおかしくない気がします。","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\115.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/06/28,22:20,買い予想,seacoさん,37.14,"2,855.0",+47.21,--,,,個人的に付き合いがあったので,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\116.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/05/31,20:45,買い予想,まりなさん,-60.27,"3,000.0",+31.18,--,,,トヨタの商社だし。っていうかトヨタがすごいのでその影響で追い風になると思う。利益増額、自動車関連続伸で、連続最高益なので買いなのでは。,"3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\117.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/05/08,11:33,買い予想,たけちゃんマンさん,2.49,"2,890.0",+43.19,--,,,"とりあえずトヨタ関連だから。でもトヨタ本体の回復も時間がかかる見通しだとか。。ここは我慢の一手
","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\118.html
"豊田通商,8015,TOYOTATSUSHO,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",豊田通商,2007/05/05,10:54,買い予想,ウィノナさん,-31.84,"2,890.0",+43.19,--,,,"業績は順調。
そろそろテクニカル的に上昇しそう。","3,330.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\119.html
"豊田通商(8015)の買い予想。 BIGMAC555 さんの売買予想。 目標株価： 2,744円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価2,744円",豊田通商,2016/01/22,10:56,買い予想,BIGMAC555さん,46.57,"2,498.0",+94.59,"2,744",中期(数週間～数ヶ月),その他,,"3,330.0",04月10日,02:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8015-豊田通商/2017-04-10-02-23-29/comment\12.html
