概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"資生堂(4911)の買い予想。 twitter88 さんの売買予想。 目標株価： 3,690円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価3,689円",資生堂,2017/03/27,14:11,買い予想,twitter88さん,-0.95,"2,947.0",-2.36,"3,690",長期(数ヶ月～数年),チャート,,"2,923.5",04月09日,02:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\1.html
"資生堂(4911)の買い予想。 みわっち さんの売買予想。 目標株価： 2,894円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",資生堂,2016/10/08,03:02,買い予想,みわっちさん,4.17,"2,633.5",+31.20,"2,894",中期(数週間～数ヶ月),個人投資家の予想,,"2,923.5",04月09日,02:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\10.html
"資生堂(4911)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 1,318円 期間： 中期(数週間~数ヶ月) 理由： その他 ★☆資生堂で",資生堂,2012/06/12,07:24,買い予想,☆プリ☆彡さん,426.89,"1,193.0",+412.23,"1,318",中期(数週間～数ヶ月),その他,"
ぜいたくざんまい‥　　　ｼｭﾀﾀ","2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\100.html
"資生堂(4911)の買い予想。 tk0218 さんの売買予想。 目標株価： 1,450円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 高くてもper30倍まで",資生堂,2012/05/26,10:05,買い予想,tk0218さん,272.64,"1,232.0",+390.18,"1,450",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"2010年頃のPERを見ると、最低約16倍～20倍超で推移。
なので、880円ほどまで下落する可能性があるが、今は明らかに売られすぎ。
よって、PER26倍ほどの1450円まで戻す可能性あり。
ただし、そこで損切り必要。

それにしても、PER40倍を超えるって異常に高すぎますね。","2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\101.html
"資生堂(4911)の買い予想。 (*´ω`*) さんの売買予想。 目標株価： 1,450円 期間： 中期(数週間~数ヶ月) 理由： チャート 現在株価 1,260円",資生堂,2012/05/21,20:08,買い予想,,268.22,"1,265.0",+372.59,"1,450",中期(数週間～数ヶ月),チャート,,"2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\102.html
"資生堂(4911)の買い予想。 霧々舞 さんの売買予想。 目標株価： 1,386円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",資生堂,2012/05/08,07:07,買い予想,霧々舞さん,323.81,"1,342.0",+334.89,"1,386",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/05/08 01:51
　割安","2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\103.html
"資生堂(4911)の買い予想。 U6 さんの売買予想。 目標株価： 1,381円 期間： 短期(数分~数日) 理由： チャート チャートは上がりそう",資生堂,2012/05/08,01:23,買い予想,U6さん,195.18,"1,342.0",+334.89,"1,381",短期(数分～数日),チャート,,"2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\104.html
"資生堂(4911)の買い予想。 batan さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",資生堂,2012/05/06,16:38,買い予想,batanさん,234.38,"1,340.0",+335.82,"1,400",中期(数週間～数ヶ月),その他,,"2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\105.html
"資生堂(4911)の買い予想。 やじうまうなぎ さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 明日からのインターネットサービスに期待",資生堂,2012/03/20,18:42,買い予想,やじうまうなぎさん,312.56,"1,467.0",+282.13,"2,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\106.html
"資生堂(4911)の買い予想。 ohｔyoch05 さんの売買予想。 目標株価： 1,518円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",資生堂,2012/02/23,22:23,買い予想,ohｔyoch05さん,282.58,"1,381.0",+317.40,"1,518",中期(数週間～数ヶ月),その他,,"2,923.5",04月09日,02:14,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4911-資生堂/2017-04-09-02-10-55/comment\107.html
