概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
野村ホールディングス(8604)の売り予想。 skybb さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,野村ホールディングス,2017/04/08,22:35,売り予想,skybbさん,29.76,656.3,+0.00,600,中期(数週間～数ヶ月),チャート,,658.6,04月10日,09:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\1.html
野村ホールディングス(8604)の買い予想。 aloegel さんの売買予想。 目標株価： 770円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価770円,野村ホールディングス,2017/02/26,12:22,買い予想,aloegelさん,-7.55,727.1,-26.04,770,中期(数週間～数ヶ月),その他,,658.6,04月10日,09:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\10.html
野村ホールディングス(8604)の売り予想。 ドーリーガール さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対,野村ホールディングス,2015/07/07,20:31,売り予想,ドーリーガールさん,25.86,868.5,+68.29,800,中期(数週間～数ヶ月),個人投資家の予想,,654.7,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\100.html
"野村ホールディングス(8604)の買い予想。 masaichi さんの売買予想。 目標株価： 1,065円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,065円",野村ホールディングス,2015/07/07,05:02,買い予想,masaichiさん,-52.58,890.1,-74.18,"1,065",中期(数週間～数ヶ月),その他,,654.7,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\101.html
野村ホールディングス(8604)の買い予想。 株ちゃん好き さんの売買予想。 目標株価： 868円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 買い予想 中期 目標株価868円,野村ホールディングス,2015/06/26,06:55,買い予想,株ちゃん好きさん,-58.36,830.8,-59.17,868,中期(数週間～数ヶ月),配当(株主優待を含む),【買い】野村ホールディングス下落銘柄の反発期待です＝マエストロの株式ボナセーラ(達人の予想)2015/06/23(08:20)http://minkabu.jp/stock/8604/news/902086,654.7,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\102.html
野村ホールディングス(8604)の買い予想。 hac*hi*k さんの売買予想。 目標株価： 895円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,野村ホールディングス,2015/06/12,16:03,買い予想,hac*hi*kさん,-32.46,810.8,-53.62,895,中期(数週間～数ヶ月),個人投資家の予想,,654.7,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\103.html
野村ホールディングス(8604)の買い予想。 ミー君 さんの売買予想。 目標株価： 880円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 短期 目標株価880円,野村ホールディングス,2015/06/11,22:18,買い予想,ミー君さん,-35.29,824.7,-57.51,880,中期(数週間～数ヶ月),個人投資家の予想,,654.6,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\104.html
野村ホールディングス(8604)の買い予想。 mosamosa さんの売買予想。 目標株価： 901円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,野村ホールディングス,2015/06/08,11:09,買い予想,mosamosaさん,-67.54,839.4,-61.48,901,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,654.6,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\105.html
野村ホールディングス(8604)の売り予想。 のむらん さんの売買予想。 目標株価： 833円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,野村ホールディングス,2015/06/05,08:31,売り予想,のむらんさん,61.12,843.9,+62.00,833,長期(数ヶ月～数年),チャート,,654.6,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\106.html
"野村ホールディングス(8604)の買い予想。 中村小梅 さんの売買予想。 目標株価： 1,072円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",野村ホールディングス,2015/05/27,16:41,買い予想,中村小梅さん,-5.09,829.9,-58.93,"1,072",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,654.6,04月10日,09:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8604-野村ホールディングス/2017-04-10-09-23-26/comment\107.html
