概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"長谷工コーポレーション(1808)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 1,266円 期間： 中期(数週間~数ヶ月) 理由： チャート 割安",長谷工コーポレーション,2017/04/08,12:53,買い予想,徳川慶喜さん,-2.73,成り行き ,,"1,266",中期(数週間～数ヶ月),チャート,,"1,151.0",04月08日,18:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\1.html
"長谷工コーポレーション(1808)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,532円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,532円",長谷工コーポレーション,2017/02/01,09:28,買い予想,twitter88さん,-0.95,"1,233.0",-19.14,"1,532",長期(数ヶ月～数年),チャート,,"1,151.0",04月08日,18:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\10.html
長谷工コーポレーション(1808)の売り予想。 ブラックキャッツ さんの売買予想。 目標株価： 702円 期間： 短期(数分~数日) 理由： チャート 売り,長谷工コーポレーション,2014/10/21,12:49,売り予想,ブラックキャッツさん,0.74,765.0,-143.85,702,短期(数分～数日),チャート,,"1,151.0",04月08日,18:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\100.html
"長谷工コーポレーション(1808)の買い予想。 うめP さんの売買予想。 目標株価： 2,556円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",長谷工コーポレーション,2014/09/13,12:22,買い予想,うめPさん,77.99,856.0,+97.66,"2,556",長期(数ヶ月～数年),チャート,,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\101.html
長谷工コーポレーション(1808)の売り予想。 akisul さんの売買予想。 目標株価： 714円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価705円,長谷工コーポレーション,2014/09/11,00:03,売り予想,akisulさん,-271.24,876.0,-89.59,714,中期(数週間～数ヶ月),チャート,いったん売りでしょう。,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\102.html
長谷工コーポレーション(1808)の買い予想。 ponta2010 さんの売買予想。 目標株価： 855円 期間： 中期(数週間~数ヶ月) 理由： チャート ２５日線タッチ,長谷工コーポレーション,2014/07/07,22:20,買い予想,ponta2010さん,93.28,800.0,+124.40,855,中期(数週間～数ヶ月),チャート,トレンドは上で２５日線タッチで買い,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\103.html
"長谷工コーポレーション(1808)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",長谷工コーポレーション,2014/06/14,23:43,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,805.0,+121.86,"1,500",長期(数ヶ月～数年),その他,,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\104.html
"長谷工コーポレーション(1808)の買い予想。 ブスの中学生 さんの売買予想。 目標株価： 1,800円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",長谷工コーポレーション,2014/06/09,20:32,買い予想,ブスの中学生さん,-24.85,784.0,+132.74,"1,800",長期(数ヶ月～数年),チャート,,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\105.html
長谷工コーポレーション(1808)の買い予想。 teteppyo さんの売買予想。 目標株価： 854円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,長谷工コーポレーション,2014/06/09,09:08,買い予想,teteppyoさん,228.21,782.0,+133.81,854,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\106.html
長谷工コーポレーション(1808)の買い予想。 hamatan さんの売買予想。 目標株価： 889円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,長谷工コーポレーション,2014/05/25,16:33,買い予想,hamatanさん,136.85,708.0,+177.52,889,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2014/05/24 01:08　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「751円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。,"1,151.0",04月08日,18:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1808-長谷工コーポレーション/2017-04-08-18-06-30/comment\107.html
