0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"関西電力(9503)の買い予想。 クニハロー さんの売買予想。 目標株価： 1,469円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",関西電力,2017/04/04,12:40,買い予想,クニハローさん,-0.11,"1,396.5",-4.07,"1,469",中期(数週間～数ヶ月),チャート,,"1,380.5",04月10日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\1.html
"関西電力(9503)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,973円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,973円",関西電力,2016/12/19,10:52,買い予想,twitter88さん,-0.95,"1,331.0",+9.72,"1,973",長期(数ヶ月～数年),チャート,,"1,380.5",04月10日,14:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\10.html
関西電力(9503)の売り予想。 koikuy さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,16:33,売り予想,koikuyさん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\100.html
関西電力(9503)の売り予想。 iiha555 さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,16:00,売り予想,iiha555さん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\101.html
関西電力(9503)の売り予想。 kisi123 さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,15:49,売り予想,kisi123さん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\102.html
関西電力(9503)の売り予想。 aoya112 さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,15:18,売り予想,aoya112さん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\103.html
関西電力(9503)の売り予想。 tera2013 さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,15:08,売り予想,tera2013さん,-47.59,"1,225.0",-71.26,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\104.html
関西電力(9503)の売り予想。 kusasao さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,11:30,売り予想,kusasaoさん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),機器購買努力がたりない。,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\105.html
関西電力(9503)の売り予想。 katohro さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,11:19,売り予想,katohroさん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),機器購入価格がたかすぎる。その分電気料金を押さえられないと見る。,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\106.html
関西電力(9503)の売り予想。 ozaki01 さんの売買予想。 目標株価： 603円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対,関西電力,2013/04/28,11:06,売り予想,ozaki01さん,-49.28,"1,225.0",-35.63,603,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,381.5",04月10日,14:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9503-関西電力/2017-04-10-14-21-13/comment\107.html
