0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"電通(4324)の買い予想。 twitter88 さんの売買予想。 目標株価： 7,828円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価7,825円",電通,2017/03/27,17:09,買い予想,twitter88さん,-0.95,"6,120.0",-5.15,"7,828",長期(数ヶ月～数年),チャート,,"6,010.0",04月08日,23:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\1.html
"電通(4324)の買い予想。 pinksapphire さんの売買予想。 目標株価： 6,500円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 割安",電通,2016/03/09,17:54,買い予想,pinksapphireさん,40.24,"5,620.0",+19.68,"6,500",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"電通が反発、チェコの有力デジタルエージェンシー「アドエスクプレス社」を買収(株式経済新聞)
2016/03/09(14:21)
http://minkabu.jp/stock/4324/news/1042928","6,010.0",04月08日,23:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\10.html
電通(4324)の買い予想。 リサ・ランドール さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い,電通,2009/04/22,19:59,買い予想,リサ・ランドールさん,137.27,"1,720.0",+709.08,--,中期(数週間～数ヶ月),,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\100.html
"電通(4324)の買い予想。 ローズクォーツ さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： チャート 底？",電通,2009/03/12,19:28,買い予想,ローズクォーツさん,214.72,"1,358.0",+973.90,"3,000",長期(数ヶ月～数年),チャート,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\101.html
"電通(4324)の買い予想。 inbmost さんの売買予想。 目標株価： 1,700円 期間： 短期(数分~数日) 理由： チャート 買いマシ",電通,2009/02/08,19:18,買い予想,inbmostさん,399.16,"1,545.0","+1,643.21","1,700",短期(数分～数日),チャート,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\102.html
電通(4324)の買い予想。 蛙 さんの売買予想。 期間： 長期(数ヶ月～数年) 理由： チャート 感,電通,2008/11/13,15:42,買い予想,蛙さん,269.34,"1,666.0",+741.28,--,長期(数ヶ月～数年),チャート,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\103.html
電通(4324)の買い予想。 うざ桃 さんの売買予想。 期間： 短期(数分~数日) 理由： その他 買い,電通,2008/10/28,10:19,買い予想,うざ桃さん,466.3,"1,374.0",+959.24,--,短期(数分～数日),その他,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\104.html
"電通(4324)の買い予想。 small333 さんの売買予想。 目標株価： 240,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 大丈夫",電通,2008/10/20,18:00,買い予想,small333さん,232.64,"1,749.0",+692.60,"240,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),下がることはないだろうし,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\105.html
"電通,4324,DENTSU,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",電通,2008/10/14,20:07,買い予想,ごるどらさん,350.13,"1,800.0",+664.92,--,短期(数分～数日),,,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\106.html
電通(4324)の買い予想。 三歩で忘れる さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) なんでもいいから買い,電通,2008/10/12,12:44,買い予想,三歩で忘れるさん,273.13,"1,790.0",+670.23,--,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"6,010.0",04月08日,23:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4324-電通/2017-04-08-23-28-58/comment\107.html
