概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"静岡銀行(8355)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,137円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,136円",静岡銀行,2017/03/27,16:15,買い予想,twitter88さん,-0.95,926.0,-15.96,"1,137",長期(数ヶ月～数年),チャート,,875.0,04月10日,06:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\1.html
"静岡銀行(8355)の売り予想。 fsicon さんの売買予想。 目標株価： 1,121円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り予想 中期 目標株価1,121円",静岡銀行,2016/01/07,22:49,売り予想,fsiconさん,11.38,"1,104.0",+58.72,"1,121",中期(数週間～数ヶ月),個人投資家の予想,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\10.html
静岡銀行(8355)の売り予想。 松岡政也 さんの売買予想。 目標株価： 596円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,静岡銀行,2015/12/17,18:34,売り予想,松岡政也さん,-25.38,"1,191.0",+75.20,595,長期(数ヶ月～数年),その他,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\11.html
"静岡銀行(8355)の買い予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,563円 期間： 長期(数ヶ月～数年) 理由： チャート 御祝い。大阪市・住民投票・勝利で、「買い」",静岡銀行,2015/10/20,14:43,買い予想,エグゼクティブ・まっちさん,-14.13,"1,205.0",-78.11,"1,562",長期(数ヶ月～数年),チャート,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\12.html
静岡銀行(8355)の売り予想。 t-oku さんの売買予想。 目標株価： 868円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対,静岡銀行,2015/09/08,17:01,売り予想,t-okuさん,47.03,"1,287.0",+90.80,868,中期(数週間～数ヶ月),個人投資家の予想,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\13.html
"静岡銀行(8355)の買い予想。 bunta2004 さんの売買予想。 目標株価： 1,452円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",静岡銀行,2015/02/24,18:23,買い予想,bunta2004さん,32.08,"1,217.0",-80.14,"1,452",長期(数ヶ月～数年),個人投資家の予想,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\14.html
"静岡銀行(8355)の買い予想。 UCHIMURA さんの売買予想。 目標株価： 1,085円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",静岡銀行,2015/02/01,11:47,買い予想,UCHIMURAさん,-51.24,"1,071.0",-52.30,"1,085",短期(数分～数日),チャート,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\15.html
"静岡銀行(8355)の買い予想。 SPS さんの売買予想。 目標株価： 1,109円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",静岡銀行,2014/09/05,10:28,買い予想,SPSさん,-57.18,"1,099.0",-58.21,"1,109",短期(数分～数日),チャート,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\16.html
"静岡銀行(8355)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 1,133円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。",静岡銀行,2013/12/06,14:05,買い予想,地球猛獣群さん,72.7,"1,103.0",-59.03,"1,133",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\17.html
"静岡銀行(8355)の買い予想。 UCF２１ さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 静岡",静岡銀行,2013/07/02,17:32,買い予想,UCF２１さん,19.92,"1,100.0",-58.42,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),不良債権の少ない地方銀行は良い,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\18.html
"静岡銀行(8355)の買い予想。 ナイルの庭 さんの売買予想。 目標株価： 1,012円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",静岡銀行,2013/06/15,12:32,買い予想,ナイルの庭さん,295.42,953.0,-23.57,"1,012",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\19.html
静岡銀行(8355)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,静岡銀行,2017/03/20,11:38,売り予想,ひとみん｡｡☆さん,0.86,950.0,+22.15,800,中期(数週間～数ヶ月),チャート,,875.0,04月10日,06:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8355-静岡銀行/2017-04-10-06-39-48/comment\2.html
