0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"高島屋(8233)の買い予想。 あきろん さんの売買予想。 目標株価： 1,020円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価1,020円",高島屋,2017/04/08,12:46,買い予想,あきろんさん,-2.07,成り行き ,,"1,020",短期(数分～数日),その他,,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\1.html
高島屋(8233)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 573円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に賛成,高島屋,2016/10/18,14:14,売り予想,エグゼクティブ・まっちさん,-14.13,822.0,-50.16,573,長期(数ヶ月～数年),チャート,,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\10.html
高島屋(8233)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 850円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価850円,高島屋,2016/09/30,19:42,買い予想,37 　 工事中 !さん,57.65,841.0,+41.92,850,長期(数ヶ月～数年),その他,,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\11.html
"高島屋(8233)の買い予想。 ナノプロテスタント さんの売買予想。 目標株価： 2,453円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価2,450円",高島屋,2016/09/15,06:51,買い予想,ナノプロテスタントさん,74.56,819.0,+50.69,"2,453",中期(数週間～数ヶ月),チャート,,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\12.html
高島屋(8233)の売り予想。 toruonokeio さんの売買予想。 目標株価： 795円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 株価診断結果「割安」に反対,高島屋,2016/09/04,05:37,売り予想,toruonokeioさん,-29.84,804.0,-57.65,795,長期(数ヶ月～数年),個人投資家の予想,"【株価分析結果】2016/09/03 04:16　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,111円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。",966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\13.html
"高島屋(8233)の買い予想。 kyonchy さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",高島屋,2016/08/09,19:25,買い予想,kyonchyさん,42.86,779.0,+67.89,"1,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\14.html
"高島屋(8233)の買い予想。 nana1984 さんの売買予想。 目標株価： 1,300円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) インバウンド効果は永遠に",高島屋,2016/08/02,22:11,買い予想,nana1984さん,245.08,760.0,+76.70,"1,300",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/08/02 04:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,132円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\15.html
高島屋(8233)の売り予想。 民家部 さんの売買予想。 目標株価： 78円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 売り,高島屋,2016/07/30,22:49,売り予想,民家部さん,-1.3,772.0,-71.82,78,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\16.html
高島屋(8233)の売り予想。 あらぽん さんの売買予想。 目標株価： 706円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に賛成,高島屋,2016/07/17,21:02,売り予想,あらぽんさん,2.99,784.0,-66.37,705,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),日本人の購買意欲はどん底。,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\17.html
高島屋(8233)の買い予想。 fsicon さんの売買予想。 目標株価： 703円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価703円,高島屋,2016/07/10,17:02,買い予想,fsiconさん,11.38,711.0,+101.58,703,中期(数週間～数ヶ月),個人投資家の予想,,966.0,04月10日,03:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8233-高島屋/2017-04-10-03-39-55/comment\18.html
