0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
鹿島(1812)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 725円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆,鹿島建設,2017/03/30,08:29,売り予想,ひとみん｡｡☆さん,0.86,737.0,+0.77,725,中期(数週間～数ヶ月),チャート,,734.0,04月08日,18:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\1.html
鹿島(1812)の買い予想。 ベラスケス00 さんの売買予想。 目標株価： 821円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,鹿島建設,2017/02/18,01:04,買い予想,ベラスケス00さん,3.35,744.0,-4.20,821,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,734.0,04月08日,18:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\10.html
鹿島(1812)の買い予想。 二湖流 さんの売買予想。 目標株価： 315円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,鹿島建設,2013/02/12,07:54,買い予想,二湖流さん,289.63,287.0,+441.89,315,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/02/09 01:07
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「234円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
",734.0,04月08日,18:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\100.html
鹿島(1812)の買い予想。 かずま。 さんの売買予想。 目標株価： 532円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,鹿島建設,2013/01/23,11:53,買い予想,かずま。さん,251.96,267.0,+496.29,532,長期(数ヶ月～数年),チャート,,734.0,04月08日,18:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\101.html
鹿島(1812)の買い予想。 ﾐﾙｹﾞﾝ さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,鹿島建設,2013/01/13,16:52,買い予想,ﾐﾙｹﾞﾝさん,158.78,298.0,+415.08,500,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,734.0,04月08日,18:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\102.html
鹿島(1812)の買い予想。 ヘタレ葬儀屋 さんの売買予想。 目標株価： 532円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,鹿島建設,2013/01/10,18:06,買い予想,ヘタレ葬儀屋さん,280.1,299.0,+825.50,532,中期(数週間～数ヶ月),チャート,オリンピックは置いといて・・じわじわきまっせｗ,734.0,04月08日,18:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\103.html
鹿島(1812)の買い予想。 ティモ さんの売買予想。 目標株価： 298円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,鹿島建設,2013/01/02,13:28,買い予想,ティモさん,105.47,292.0,+429.46,298,中期(数週間～数ヶ月),その他,公共事業,734.0,04月08日,18:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\104.html
鹿島(1812)の買い予想。 hdx*h08*6 さんの売買予想。 目標株価： 350円 期間： 長期(数ヶ月～数年) 理由： その他 自民党復活,鹿島建設,2012/12/25,10:21,買い予想,hdx*h08*6さん,526.02,281.0,+457.40,350,長期(数ヶ月～数年),その他,自民党復活により公共工事増加,734.0,04月08日,18:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\105.html
鹿島(1812)の買い予想。 ぴょん吉gogo さんの売買予想。 目標株価： 518円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,鹿島建設,2012/12/18,08:36,買い予想,ぴょん吉gogoさん,94.89,262.0,+511.19,518,中期(数週間～数ヶ月),その他,公共工事,734.0,04月08日,18:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\106.html
"鹿島(1812)の買い予想。 HAPIKA さんの売買予想。 目標株価： 1,245円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",鹿島建設,2012/12/15,10:59,買い予想,HAPIKAさん,317.31,258.0,+523.53,"1,245",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,734.0,04月08日,18:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1812-鹿島建設/2017-04-08-18-26-05/comment\107.html
